S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Engineering,Environmental Chemistry,7hrs 19min,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,Environmental Chemistry_Introduction,https://www.youtube.com/watch?v=Ym3HyZGsOg4
2,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec01,https://www.youtube.com/watch?v=bnLE4YxHsyA
3,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec02,https://www.youtube.com/watch?v=cAooAgQVvec
4,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec03,https://www.youtube.com/watch?v=Oue3nA6GrCM
5,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 2: Basic Chemistry Concepts,mod01lec04,https://www.youtube.com/watch?v=iXg9NBi3b5Y
6,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 2: Basic Chemistry Concepts,mod01lec05,https://www.youtube.com/watch?v=EeiV0et_n3M
7,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 2: Basic Chemistry Concepts,mod02lec06,https://www.youtube.com/watch?v=ydHLTHUE-rA
8,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 3: Atmospheric Chemistry,mod02lec07,https://www.youtube.com/watch?v=14qdwRHspiI
9,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 3: Atmospheric Chemistry,mod02lec08,https://www.youtube.com/watch?v=eD0_f30zXnk
10,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 3: Atmospheric Chemistry,mod02lec09,https://www.youtube.com/watch?v=8D0mcCsXTAk
11,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 4: Water Chemistry,mod02lec10,https://www.youtube.com/watch?v=fOowWiFd6Gc
12,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 4: Water Chemistry,mod03lec11,https://www.youtube.com/watch?v=R2n4ClLeQIw
13,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 4: Water Chemistry,mod03lec12,https://www.youtube.com/watch?v=czjqRQ-1qG4
14,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 4: Water Chemistry,mod03lec13,https://www.youtube.com/watch?v=50MOnegsquw
15,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 5: Soil Chemistry,mod03lec14,https://www.youtube.com/watch?v=ozEWJAk4JCc
16,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 5: Soil Chemistry,mod03lec15,https://www.youtube.com/watch?v=r5bdOr8wxJQ
17,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 5: Soil Chemistry,mod04lec16,https://www.youtube.com/watch?v=SBUP4ySMh5w
18,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 6: Environmental Toxicology,mod04lec17,https://www.youtube.com/watch?v=T6HAz4fGXcc
19,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 6: Environmental Toxicology,mod04lec18,https://www.youtube.com/watch?v=oYA4sX-vVjo
20,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 6: Environmental Toxicology,mod04lec19,https://www.youtube.com/watch?v=0ZRERn_Xbbs
21,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 6: Environmental Toxicology,mod04lec20,https://www.youtube.com/watch?v=ApmLW60erxA
22,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 7: Waste Management and Remediation,mod05lec21,https://www.youtube.com/watch?v=uBjZTVzbgyI
23,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 7: Waste Management and Remediation,mod05lec22,https://www.youtube.com/watch?v=IPzCd33XtmQ
24,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 7: Waste Management and Remediation,mod05lec23,https://www.youtube.com/watch?v=yLLooMalRpQ
25,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 8: Analytical Techniques in Environmental Chemistry,mod05lec24,https://www.youtube.com/watch?v=Dxm3Aro56zQ
26,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 8: Analytical Techniques in Environmental Chemistry,mod05lec25,https://www.youtube.com/watch?v=iZj8olJO3O4
27,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 8: Analytical Techniques in Environmental Chemistry,mod06lec26,https://www.youtube.com/watch?v=KMzBFEqpIJY
28,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod06lec27,https://www.youtube.com/watch?v=qplpBkxp_0c
29,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod06lec28,https://www.youtube.com/watch?v=7sHfi_1pM04
30,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod06lec29,https://www.youtube.com/watch?v=RpJDb_GCb3o
31,Environmental Engineering,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod06lec30,https://www.youtube.com/watch?v=zgCWwNC8uLw
