S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Engineering,Environmental toxicology,143hrs 22min,12th,English/Hindi,Module 1: Introduction to Environmental Toxicology,Chapter 10 Environmental Health & Toxicology Lecture VIDEO,https://www.youtube.com/watch?v=MYo7puYZwy8
2,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 1: Introduction to Environmental Toxicology,UCR Environmental Toxicology Graduate Ambassador,https://www.youtube.com/watch?v=L_R2y09u_eQ
3,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 1: Introduction to Environmental Toxicology,Environmental Health and Toxicology,https://www.youtube.com/watch?v=x8tdD1m3MjQ
4,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 1: Introduction to Environmental Toxicology,ASW 2017: Masters Programs - Ecotoxicology & Environment Health,https://www.youtube.com/watch?v=DdWLXbereH0
5,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 2: Ecotoxicology and Risk Assessment,Principles of Toxicology for Environmental Professionals (9/12/2017),https://www.youtube.com/watch?v=uH6-p_KhPxI
6,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 2: Ecotoxicology and Risk Assessment,Environmental Toxicology - Bisphenol A Case Study,https://www.youtube.com/watch?v=7Fo5iUaazNw
7,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 2: Ecotoxicology and Risk Assessment,Environment Toxicology,https://www.youtube.com/watch?v=LcSNhuQY5wM
8,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 2: Ecotoxicology and Risk Assessment,Environmental Toxicology,https://www.youtube.com/watch?v=eIZr7M-kt2s
9,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 3: Environmental Toxins and Human Health,Science for the Public: Evolution and Environmental Toxins,https://www.youtube.com/watch?v=rBZ3qZrjbmA
10,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 3: Environmental Toxins and Human Health,Environmental Toxicity and Environmental Medicine with Detox Overview,https://www.youtube.com/watch?v=KkFWwZBK480
11,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 3: Environmental Toxins and Human Health,How to Detox Environmental Toxins Effectively,https://www.youtube.com/watch?v=783RMIMUzUg
12,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 3: Environmental Toxins and Human Health,"All About Body Detox, Toxicity & Natural Diet, Tips & Information",https://www.youtube.com/watch?v=lTjTHUMLAEQ
13,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 4: Detoxification and Public Health,Soil 2017 | Lecture 10: Terrestrial ecotoxicology for chemical risk assessment (Oliver/Keele),https://www.youtube.com/watch?v=LQAger9Ek0w
14,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 4: Detoxification and Public Health,Part 2: Ecotoxicology: Effects and Risk Mitigation,https://www.youtube.com/watch?v=MsHtGuOHRkw
15,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 4: Detoxification and Public Health,Natural Food Toxins,https://www.youtube.com/watch?v=ivCbW6vBk5w
16,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 4: Detoxification and Public Health,Taking It All In: Environmental toxins and your health — Longwood Seminar,https://www.youtube.com/watch?v=yRWt4omKiWc
17,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 5: Toxicology and Pharmacology,Chemicals in the Environment - Dehumanising Humanity,https://www.youtube.com/watch?v=oq2K1IvRf8M
18,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 5: Toxicology and Pharmacology,Toxicology - Environmental Hazards,https://www.youtube.com/watch?v=1817LBOWUWU
19,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 5: Toxicology and Pharmacology,Toxicology: Urban Municipal Drainage - Global Institute for Water Security,https://www.youtube.com/watch?v=lWH_QEttTsg
20,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 5: Toxicology and Pharmacology,Part-1|Solution of Impotent Questions of Pharmacology & Toxicology,https://www.youtube.com/watch?v=csbueHnob9o
21,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 6: Pharmacology & Toxicology Questions,"Placebo and nocebo: on the pharmacology and toxicology of words and rituals, Fabrizio Benedetti",https://www.youtube.com/watch?v=hvU6bai8i6w
22,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 6: Pharmacology & Toxicology Questions,The Environment and Human Health,https://www.youtube.com/watch?v=fNurLhVqcNs
23,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 6: Pharmacology & Toxicology Questions,Reducing Environmental Toxins with Dr. Devra Davis,https://www.youtube.com/watch?v=prulzXUDyHY
24,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 6: Pharmacology & Toxicology Questions,Toxicology and Human Health,https://www.youtube.com/watch?v=pIpWibqY0WA
25,Environmental Engineering,Environmental toxicology,,12th,English/Hindi,Module 6: Pharmacology & Toxicology Questions,Environment 310 : Arsenic Toxicology,https://www.youtube.com/watch?v=r7rG2Kf3QqQ
