S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Engineering,Soil remediation,2hrs 13min,12th,English/Hindi,Module 1: Introduction to Soil Remediation,Soil Remediation Technology_Solidification/Stabilization Methods,https://www.youtube.com/watch?v=WHApqr6cyYs
2,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 1: Introduction to Soil Remediation,Soil Remediation Technology_Solidification/Stabilization Methods,https://www.youtube.com/watch?v=WHApqr6cyYs
3,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 2: Solidification/Stabilization Methods,Soil Remediation Technology_Electrokinetic Separation Method,https://www.youtube.com/watch?v=medIM7ZPODo
4,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 2: Solidification/Stabilization Methods,Soil Remediation Technology_Soil Washing Method,https://www.youtube.com/watch?v=wpin4FqnJJU
5,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 3: Electrokinetic & Soil Washing Methods,Soil Remediation Technology_Soil Flushing Method,https://www.youtube.com/watch?v=cPXnGHLlZuY
6,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 3: Electrokinetic & Soil Washing Methods,Soil Remediation Technology_Soil Vapor Extraction Method,https://www.youtube.com/watch?v=QGoXMh5a9p8
7,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 4: Soil Flushing & Vapor Extraction,Soil Remediation Technology_Chemical Oxidation/Reduction Method,https://www.youtube.com/watch?v=2iATMtoEkYs
8,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 4: Soil Flushing & Vapor Extraction,Soil Remediation Technology_Landfarming,https://www.youtube.com/watch?v=luvAZArHmtc
9,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 5: Chemical Oxidation/Reduction & Landfarming,Soil Remediation Technology_Thermal Desorption,https://www.youtube.com/watch?v=RnE9APMVtU8
10,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 5: Chemical Oxidation/Reduction & Landfarming,Soil Remediation Technology_Phytoremediation,https://www.youtube.com/watch?v=viPzxZ8vCIk
11,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 6: Thermal Desorption & Phytoremediation,Soil remediation technology_Solvent extraction,https://www.youtube.com/watch?v=BwZbMWYCDFs
12,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 6: Thermal Desorption & Phytoremediation,"Soil remediation technologies_Pyrolysis, incineration, and vitrification",https://www.youtube.com/watch?v=JMe4wYbO8ac
13,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 7: Solvent Extraction & Pyrolysis,"Soil remediation technologies_Biodegradation, Bioventing, Composting",https://www.youtube.com/watch?v=6hrctQfAWyg
14,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 7: Solvent Extraction & Pyrolysis,Groundwater remediation technology_Pump and Treat,https://www.youtube.com/watch?v=75n43JYq0Dk
15,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 8: Biodegradation & Composting,Groundwater remediation technology_Multi-phase extraction (Dual-phase extraction),https://www.youtube.com/watch?v=K3Ni7-F_ceQ
16,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 9: Groundwater Remediation Techniques,Groundwater remediation technology_Air sparging & Soil vapor extraction,https://www.youtube.com/watch?v=nizuV0NuJXY
17,Environmental Engineering,Soil remediation,,12th,English/Hindi,Module 9: Groundwater Remediation Techniques,مباراة كرة الطائرة بالدور قبل النهائي بين الأهلي والزمالك - أنسات قسم أول,https://www.youtube.com/watch?v=DgK4htPqBHQ
