S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Engineering,Sustainable Architecture,13hrs 22min,12th,English/Hindi,Module 1: Introduction to Sustainability,Sustainable Architecture,https://www.youtube.com/watch?v=oRt0zRuFKC4
2,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 1: Introduction to Sustainability,Lecture 01 Introduction to Sustainability,https://www.youtube.com/watch?v=PliP5SyUhT8
3,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 1: Introduction to Sustainability,"Lecture 02 Buildings, Needs and 'Sustainability'",https://www.youtube.com/watch?v=jmPB5_Bxb28
4,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 1: Introduction to Sustainability,Lecture 03 Sustainability and Sustainable Development,https://www.youtube.com/watch?v=CLC8VcgX5YI
5,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 2: Historic and Environmental Impacts of Development,Lecture 04 Historic Origins of Sustainability,https://www.youtube.com/watch?v=WHLZkKnTJFs
6,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 2: Historic and Environmental Impacts of Development,Lecture 05 Pioneers of Sustainable Development,https://www.youtube.com/watch?v=YMZblnnFMjQ
7,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 2: Historic and Environmental Impacts of Development,Lecture 06 Environmental Impacts of Development: Impacts on Water,https://www.youtube.com/watch?v=KPFBK9V44K4
8,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 2: Historic and Environmental Impacts of Development,Lecture 07 Environmental Impacts of Development: Impacts on Land and Air,https://www.youtube.com/watch?v=kKrbM0Y6fjo
9,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 3: Sustainability in Building Sector,Lecture 08 Social and Economic Impacts of Development,https://www.youtube.com/watch?v=R80YyF_HWrc
10,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 3: Sustainability in Building Sector,Lecture 09 Agenda 21 and UN Goals,https://www.youtube.com/watch?v=B1weTHmwcXw
11,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 3: Sustainability in Building Sector,Lecture 10 Established needs for Sustainability in Building Sector,https://www.youtube.com/watch?v=cTugLiv-30Q
12,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 4: Flavours and Indicators of Sustainable Architecture,Lecture 11 Definition and Characteristics of Sustainability,https://www.youtube.com/watch?v=uiPRbeKYVM4
13,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 4: Flavours and Indicators of Sustainable Architecture,Lecture 12 Flavours of Sustainable Architecture,https://www.youtube.com/watch?v=75b-r9pEu-E
14,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 4: Flavours and Indicators of Sustainable Architecture,Lecture 13 Indicators and Terminologies in Sustainable Architecture,https://www.youtube.com/watch?v=OUu9jgrWVjQ
15,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 5: Designing Green Buildings,Lecture 14 Process of Designing Green Buildings,https://www.youtube.com/watch?v=nFBvLIfFFqI
16,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 5: Designing Green Buildings,Lecture 15 Green Building Ratings and Components,https://www.youtube.com/watch?v=VE2tpwGCN0U
17,Environmental Engineering,Sustainable Architecture,,12th,English/Hindi,Module 5: Designing Green Buildings,Lecture 16 Fundamentals of Thermal Comfort,https://www.youtube.com/watch?v=WM09L5aUuyE
