S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Science,13.1 - Environment & Health,32hrs 1min,12th,English/Hindi,Module 1: Water and Sanitation,Safe Water | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpit,https://www.youtube.com/watch?v=4LVaDH_mA5U
2,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Water and Sanitation,Problem Habitation | Problem Village | PSM lectures | Community Medicine lectures | PSM made easy,https://www.youtube.com/watch?v=wpvIWoHZf84
3,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Water and Sanitation,Sources of Water | PSM lectures | Community Medicine lectures,https://www.youtube.com/watch?v=634BEVaNPxM
4,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Water and Sanitation,Difference between Shallow well and Deep Well | PSM lectures | Community Medicine lectures | Arpit,https://www.youtube.com/watch?v=VANgIrrewXA
5,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Water and Sanitation,Sanitary Well | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=wuFKbdrvnpg
6,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Water and Sanitation,Water Pollution | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=weRTxqqNXoc
7,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Water and Sanitation,Diseases of Water | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=nVSSqWGn5kw
8,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Water Purification Methods,Purification of Water  | PSM lectures | Community Medicine lectures | PSM made easy | PSM  revision,https://www.youtube.com/watch?v=Cm1-K9_bOyc
9,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Water Purification Methods,Slow Sand Filter | Vital layer | PSM lectures | Community Medicine lectures | PSM made easy | Arpit,https://www.youtube.com/watch?v=yztfA9vAzUA
10,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Water Purification Methods,Rapid Sand Filter | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=mvG61BYwdGs
11,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Water Purification Methods,Difference between Rapid Sand Filter & Slow Sand Filter | PSM lectures | Community Medicine lectures,https://www.youtube.com/watch?v=-OrBAWMLit0
12,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Water Purification Methods,Chlorination | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=Zr7GJZvbVOU
13,Environmental Science,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Water Purification Methods,Ozonation | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpits,https://www.youtube.com/watch?v=nEcKM-Q8Fy8
