S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Science,Education for Sustainable Development,58hrs 14min,12th,English/Hindi,Module 1: Introduction to Sustainable Development,Lecture 01: Introduction,https://www.youtube.com/watch?v=Xd_BMlksHIw
2,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 1: Introduction to Sustainable Development,Lecture 02: Sustainable Development Goals,https://www.youtube.com/watch?v=CA5gxp6rWfA
3,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 1: Introduction to Sustainable Development,Lecture 03: Sustainable Development Goals (Contd.),https://www.youtube.com/watch?v=gOi7FHCeCig
4,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 1: Introduction to Sustainable Development,Lecture 04: Sustainable Development Goals (Contd.),https://www.youtube.com/watch?v=HFiXwS1vSQc
5,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 05: Education for Sustainable Development,https://www.youtube.com/watch?v=gyAz5ytE_20
6,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 06: Education for Sustainable Development (Contd.),https://www.youtube.com/watch?v=OFBAaQtSnQI
7,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 07:  Education for Sustainable Development (Contd.),https://www.youtube.com/watch?v=mjsvAoX1aaw
8,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 08: Education for Sustainable Development (Contd.),https://www.youtube.com/watch?v=y468hcgmqoI
9,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 09:  Education for Sustainable Development (Contd.),https://www.youtube.com/watch?v=2X5bB41eB6Y
10,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 10: Education for Sustainable Development (Contd.),https://www.youtube.com/watch?v=erLZVF5EqPA
11,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 11: ESD and Global Citizenship,https://www.youtube.com/watch?v=4zStBIIM3y4
12,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 2: Education for Sustainable Development,Lecture 12: ESD and Global Citizenship (Contd.),https://www.youtube.com/watch?v=KGx1XfOqcEk
13,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 3: ESD and Global Citizenship,Lecture 13: ESD and Global Citizenship (Contd.),https://www.youtube.com/watch?v=2XiqlEZ5Vqk
14,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 3: ESD and Global Citizenship,Lecture 14: ESD for Technical & Vocational Education / Training,https://www.youtube.com/watch?v=i3TcHPkVR7M
15,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 3: ESD and Global Citizenship,Lecture 15: ESD for Technical & Vocational Education / Training (Contd.),https://www.youtube.com/watch?v=2ZmbNqA9bJ0
16,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 4: ESD for Technical & Vocational Education / Training,Lecture 16: ESD for Technical & Vocational Education / Training (Contd.),https://www.youtube.com/watch?v=lWwGVGsCle8
17,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 4: ESD for Technical & Vocational Education / Training,Lecture 17: ESD for Technical & Vocational Education / Training (Contd.),https://www.youtube.com/watch?v=7PyVvukSAk8
18,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 4: ESD for Technical & Vocational Education / Training,Lecture 18: ESD for Sustainable Healthcare,https://www.youtube.com/watch?v=z5DXXVTFFD0
19,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 4: ESD for Technical & Vocational Education / Training,Lecture 19: ESD for Sustainable Healthcare (Contd.),https://www.youtube.com/watch?v=Sqkn_M6DvzY
20,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 5: ESD for Sustainable Healthcare,Lecture 20: ESD for Sustainable Healthcare (Contd.),https://www.youtube.com/watch?v=hZVVg_0Qg5U
21,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 5: ESD for Sustainable Healthcare,Lecture 21: ESD for Sustainable Healthcare (Contd.),https://www.youtube.com/watch?v=QXqyIvw56F8
22,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 5: ESD for Sustainable Healthcare,Lecture 22: ESD for Sustainable Healthcare (Contd.),https://www.youtube.com/watch?v=qSUuw4pLhiE
23,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 5: ESD for Sustainable Healthcare,Lecture 23: ESD for Sustainable Healthcare (Contd.),https://www.youtube.com/watch?v=3nJ0IPLIlH4
24,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 5: ESD for Sustainable Healthcare,Lecture 24: ESD for Food Security,https://www.youtube.com/watch?v=ff-90XaXIYQ
25,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 5: ESD for Sustainable Healthcare,Lecture 25: ESD for Food Security (Contd.),https://www.youtube.com/watch?v=SLigOhe_m1k
26,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 6: ESD for Food Security,Lecture 26: ESD for Food Security (Contd.),https://www.youtube.com/watch?v=fN453CaqgO8
27,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 6: ESD for Food Security,Lecture 27: ESD for Food Security (Contd.),https://www.youtube.com/watch?v=eiQSEagrt4w
28,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 6: ESD for Food Security,Lecture 28: ESD for Food Security (Contd.),https://www.youtube.com/watch?v=FMDlWSmyIZE
29,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 6: ESD for Food Security,Lecture 29: Sustainable and Clean Energy,https://www.youtube.com/watch?v=PuRqE7Nvl9A
30,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 6: ESD for Food Security,Lecture 30: Sustainable and Clean Energy (Contd.),https://www.youtube.com/watch?v=wZHEpaF6uvc
31,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 7: Sustainable and Clean Energy,Lecture 31: Sustainable and Clean Energy (Contd.),https://www.youtube.com/watch?v=y_1o7-SzTUs
32,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 7: Sustainable and Clean Energy,Lecture 32: Sustainable and Clean Energy (Contd.),https://www.youtube.com/watch?v=R_MkZ3TlyeY
33,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 7: Sustainable and Clean Energy,Lecture 33: Sustainable and Clean Energy (Contd.),https://www.youtube.com/watch?v=r_9gzvjQK0Q
34,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 7: Sustainable and Clean Energy,Lecture 34: Sustainable and Clean Energy (Contd.),https://www.youtube.com/watch?v=DFHeBl6L3FE
35,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 7: Sustainable and Clean Energy,Lecture 35: Sustainable Education,https://www.youtube.com/watch?v=ETLxl4W_XQ0
36,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 7: Sustainable and Clean Energy,Lecture 36: Sustainable Education (Contd.),https://www.youtube.com/watch?v=N7X5Ozv_lgI
37,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 8: Sustainable Education,Lecture 37: Sustainable Education (Contd.),https://www.youtube.com/watch?v=WoP1sGvOrq0
38,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 8: Sustainable Education,Lecture 38: Sustainable Education (Contd.),https://www.youtube.com/watch?v=g05X_pvQllU
39,Environmental Science,Education for Sustainable Development,,12th,English/Hindi,Module 8: Sustainable Education,Lecture 39: Sustainable Education (Contd.),https://www.youtube.com/watch?v=7vrdXT5ainE
