S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Science,Environmental Chemistry,7hrs 19min,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,Environmental Chemistry_Introduction,https://www.youtube.com/watch?v=Ym3HyZGsOg4
2,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec01,https://www.youtube.com/watch?v=bnLE4YxHsyA
3,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec02,https://www.youtube.com/watch?v=cAooAgQVvec
4,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec03,https://www.youtube.com/watch?v=Oue3nA6GrCM
5,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 2: Atmospheric Chemistry,mod01lec04,https://www.youtube.com/watch?v=iXg9NBi3b5Y
6,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 2: Atmospheric Chemistry,mod01lec05,https://www.youtube.com/watch?v=EeiV0et_n3M
7,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 2: Atmospheric Chemistry,mod02lec06,https://www.youtube.com/watch?v=ydHLTHUE-rA
8,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 2: Atmospheric Chemistry,mod02lec07,https://www.youtube.com/watch?v=14qdwRHspiI
9,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 3: Aquatic Chemistry,mod02lec08,https://www.youtube.com/watch?v=eD0_f30zXnk
10,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 3: Aquatic Chemistry,mod02lec09,https://www.youtube.com/watch?v=8D0mcCsXTAk
11,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 3: Aquatic Chemistry,mod02lec10,https://www.youtube.com/watch?v=fOowWiFd6Gc
12,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 3: Aquatic Chemistry,mod03lec11,https://www.youtube.com/watch?v=R2n4ClLeQIw
13,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 4: Soil Chemistry,mod03lec12,https://www.youtube.com/watch?v=czjqRQ-1qG4
14,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 4: Soil Chemistry,mod03lec13,https://www.youtube.com/watch?v=50MOnegsquw
15,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 4: Soil Chemistry,mod03lec14,https://www.youtube.com/watch?v=ozEWJAk4JCc
16,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 4: Soil Chemistry,mod03lec15,https://www.youtube.com/watch?v=r5bdOr8wxJQ
17,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 5: Environmental Toxicology,mod04lec16,https://www.youtube.com/watch?v=SBUP4ySMh5w
18,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 5: Environmental Toxicology,mod04lec17,https://www.youtube.com/watch?v=T6HAz4fGXcc
19,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 5: Environmental Toxicology,mod04lec18,https://www.youtube.com/watch?v=oYA4sX-vVjo
20,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 5: Environmental Toxicology,mod04lec19,https://www.youtube.com/watch?v=0ZRERn_Xbbs
21,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 6: Waste Management and Remediation,mod04lec20,https://www.youtube.com/watch?v=ApmLW60erxA
22,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 6: Waste Management and Remediation,mod05lec21,https://www.youtube.com/watch?v=uBjZTVzbgyI
23,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 6: Waste Management and Remediation,mod05lec22,https://www.youtube.com/watch?v=IPzCd33XtmQ
24,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 6: Waste Management and Remediation,mod05lec23,https://www.youtube.com/watch?v=yLLooMalRpQ
25,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 7: Environmental Analysis,mod05lec24,https://www.youtube.com/watch?v=Dxm3Aro56zQ
26,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 7: Environmental Analysis,mod05lec25,https://www.youtube.com/watch?v=iZj8olJO3O4
27,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 7: Environmental Analysis,mod06lec26,https://www.youtube.com/watch?v=KMzBFEqpIJY
28,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 7: Environmental Analysis,mod06lec27,https://www.youtube.com/watch?v=qplpBkxp_0c
29,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 8: Environmental Regulations and Policy,mod06lec28,https://www.youtube.com/watch?v=7sHfi_1pM04
30,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 8: Environmental Regulations and Policy,mod06lec29,https://www.youtube.com/watch?v=RpJDb_GCb3o
31,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 8: Environmental Regulations and Policy,mod06lec30,https://www.youtube.com/watch?v=zgCWwNC8uLw
32,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 8: Environmental Regulations and Policy,mod07lec31,https://www.youtube.com/watch?v=-ED80ZfC2M8
33,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod07lec32,https://www.youtube.com/watch?v=jGxdlS0M7YA
34,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod07lec33,https://www.youtube.com/watch?v=IquDOcJLRKY
35,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod07lec34,https://www.youtube.com/watch?v=tFBOgqCo9FU
36,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 9: Global Environmental Issues,mod07lec35,https://www.youtube.com/watch?v=6dx-RDvZjfU
37,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 10: Sustainable Development,mod08lec36,https://www.youtube.com/watch?v=8cksX2pLahY
38,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 10: Sustainable Development,mod08lec37,https://www.youtube.com/watch?v=8y2EmUw23js
39,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 10: Sustainable Development,mod08lec38,https://www.youtube.com/watch?v=mFOrsrBSUWE
40,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 10: Sustainable Development,mod08lec39,https://www.youtube.com/watch?v=mAfW1grOtp4
41,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 11: Current Topics in Environmental Chemistry,mod08lec40,https://www.youtube.com/watch?v=Vc8VKh7rLEU
42,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 11: Current Topics in Environmental Chemistry,mod09lec41,https://www.youtube.com/watch?v=5kSyljlMKUA
43,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 11: Current Topics in Environmental Chemistry,mod09lec42,https://www.youtube.com/watch?v=0jLHmJ7_BO8
44,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 11: Current Topics in Environmental Chemistry,mod09lec43,https://www.youtube.com/watch?v=CKtE77zcO_Q
45,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 12: Environmental Chemistry Research,mod09lec44,https://www.youtube.com/watch?v=6wj04XW06xk
46,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 12: Environmental Chemistry Research,mod09lec45,https://www.youtube.com/watch?v=rACpuE1Wb2c
47,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 12: Environmental Chemistry Research,mod10lec46,https://www.youtube.com/watch?v=ev1CN-WQNdk
48,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 12: Environmental Chemistry Research,mod10lec47,https://www.youtube.com/watch?v=1x73tiX6pCM
49,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 12: Environmental Chemistry Research,mod10lec48,https://www.youtube.com/watch?v=5oX165UhoSQ
50,Environmental Science,Environmental Chemistry,,12th,English/Hindi,Module 12: Environmental Chemistry Research,mod10lec49,https://www.youtube.com/watch?v=13szt84ljEQ
