S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Science,Environmental Impact Assessment,14hrs 2min,12th,English/Hindi,Module 1: Global Environment and EIA Introduction,Environmental Impact Assessment,https://www.youtube.com/watch?v=9-MEVIXr3Ko
2,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 1: Global Environment and EIA Introduction,Lecture 1: State of Global Environment (Air),https://www.youtube.com/watch?v=xCff_WC6se4
3,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 1: Global Environment and EIA Introduction,Lecture 2: State of Global Environment (Biodiversity),https://www.youtube.com/watch?v=BciLqcUOIRo
4,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 1: Global Environment and EIA Introduction,Lecture 3: State of Global Environment (Oceans and Coasts),https://www.youtube.com/watch?v=eIs4M__2QG0
5,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 1: Global Environment and EIA Introduction,Lecture 4: State of Global Environment (Land and Soil),https://www.youtube.com/watch?v=IVYKnOmnhCI
6,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 1: Global Environment and EIA Introduction,Lecture 5: State of Global Environment (Freshwater),https://www.youtube.com/watch?v=ZDROuj1-lB8
7,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 2: EIA in a Global Context,"Lecture 6: Definition, Process and Purpose of EIA",https://www.youtube.com/watch?v=8vymfIfip2w
8,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 2: EIA in a Global Context,"Lecture 7: EIA Impact Areas, Current and Emerging (Part 1)",https://www.youtube.com/watch?v=E_oRwSRdgcQ
9,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 2: EIA in a Global Context,"Lecture 8: EIA Impact Areas, Current and Emerging (Part II)",https://www.youtube.com/watch?v=PrFskfLGHG8
10,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 2: EIA in a Global Context,Lecture 9: EIA Origin in USA and World-Wide Development,https://www.youtube.com/watch?v=GyyyKMH-NhI
11,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 2: EIA in a Global Context,Lecture 10: EIA in India,https://www.youtube.com/watch?v=7RXBhYPqoNM
12,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 3: Sustainable Development and EIA Law,Lecture 11: World Sustainable Development Timeline (1970-1999),https://www.youtube.com/watch?v=4pR877ZFzyE
13,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 3: Sustainable Development and EIA Law,Lecture 12: World Sustainable Development Timeline (2000-2021),https://www.youtube.com/watch?v=N8h3ej5FpsE
14,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 3: Sustainable Development and EIA Law,"Lecture 13: EIA – Law, Policy and Institutional arrangements for EIA system",https://www.youtube.com/watch?v=7EdIFK15M48
15,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 4: EIA Law and Policy (Air and Water),"Lecture 15: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-III) - Air",https://www.youtube.com/watch?v=_mLdjd7WqU4
16,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 4: EIA Law and Policy (Air and Water),"Lecture 14: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-II)- Air",https://www.youtube.com/watch?v=Rit2V0hI5Q8
17,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 4: EIA Law and Policy (Air and Water),"Lecture 16: EIA- Law, Policy and Institutional arrangements for EIA System (Part-IV) Water & Geology",https://www.youtube.com/watch?v=KcY_ejDrQeQ
18,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 4: EIA Law and Policy (Air and Water),"Lecture 17: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part - V) Ecology",https://www.youtube.com/watch?v=aInnQTUOK9c
19,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 5: EIA Law and Policy (Ecology and More),"Lecture 18: EIA- Law, Policy & Institutional Arrangements (Part-VI)  Coastal Ecology & Geomorphology",https://www.youtube.com/watch?v=JDj4lZtQGuo
20,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 5: EIA Law and Policy (Ecology and More),"Lecture 19: EIA – Law, Policy and Institutional arrangements for EIA Systems (Part-VII) - Noise",https://www.youtube.com/watch?v=KnIKQ2R2b7w
21,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 5: EIA Law and Policy (Ecology and More),"Lecture 20:EIA–Law, Policy & Institutional arrangement for EIA System (Part-VIII) Ecosystem Services",https://www.youtube.com/watch?v=rF51muqjKVY
22,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 5: EIA Law and Policy (Ecology and More),"Lecture 21: EIA – Law, Policy and Institutional Arrangements (Part - IX) Cultural Heritage & Health",https://www.youtube.com/watch?v=NR2N57wFOog
23,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 5: EIA Law and Policy (Ecology and More),"Lecture 22: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part X)",https://www.youtube.com/watch?v=6Kd8SszxIcM
24,Environmental Science,Environmental Impact Assessment,,12th,English/Hindi,Module 5: EIA Law and Policy (Ecology and More),"Lecture 23: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part XI)",https://www.youtube.com/watch?v=3A9jh7IxjIs
