S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Science,Environmental Law,100hrs 1min,12th,English/Hindi,Module 1: Introduction to Environmental Law,Environmental law lecture  introduction l Meaning and Types Of Environmental Pollution BY DA Nandan,https://www.youtube.com/watch?v=AoIZ8ZVlEfk
2,Environmental Science,Environmental Law,,12th,English/Hindi,Module 1: Introduction to Environmental Law,Sustainable Development Brief Notes  | Environmental Law || By DA Nandan,https://www.youtube.com/watch?v=UQHFTrynpJQ
3,Environmental Science,Environmental Law,,12th,English/Hindi,Module 1: Introduction to Environmental Law,Polluter Pays Principle || Environmental Law || Polluter pays Principle with case laws |BY DA Nandan,https://www.youtube.com/watch?v=cxdhBt8_onQ
4,Environmental Science,Environmental Law,,12th,English/Hindi,Module 2: International Environmental Law,Public Trust Doctrine under Environmental Law || Public Trust Doctrine Case Laws || By DA Nandan,https://www.youtube.com/watch?v=j7pRuUs_GKY
5,Environmental Science,Environmental Law,,12th,English/Hindi,Module 2: International Environmental Law,Stockholm Conference 1972 || International Events on Environmental  Protection || BY DA Nandan,https://www.youtube.com/watch?v=NGoAgFg_1Pc
6,Environmental Science,Environmental Law,,12th,English/Hindi,Module 2: International Environmental Law,World Charter For Nature 1982 IUCN WWF International Events for Environment Protection By DA Nandan,https://www.youtube.com/watch?v=UXpqivEEBYo
7,Environmental Science,Environmental Law,,12th,English/Hindi,Module 3: International Environmental Law,"Montreal Protocol, 1987 - International events on Environmental Protection || UNEP || By DA Nandan",https://www.youtube.com/watch?v=r4GKB99VrGQ
8,Environmental Science,Environmental Law,,12th,English/Hindi,Module 3: International Environmental Law,Brundtland Report - WCED International Events on Environmental Protection || BY DA Nandan,https://www.youtube.com/watch?v=9uOnY3RxCWY
9,Environmental Science,Environmental Law,,12th,English/Hindi,Module 4: Environmental Law in India,Rio Declaration on Environment & Development l Rio Declaration II Rio Principle ll BY DA Nandan,https://www.youtube.com/watch?v=fU-UfXWiKFs
10,Environmental Science,Environmental Law,,12th,English/Hindi,Module 4: Environmental Law in India,What is Agenda 21 ? || Earth Summit | Resources Development || BY DA Nandan,https://www.youtube.com/watch?v=YF3mAgtMmOw
11,Environmental Science,Environmental Law,,12th,English/Hindi,Module 4: Environmental Law in India,Kyoto Protocol 1997 || Objective & Mechanism of Kyoto Protocol || BY DA Nandan,https://www.youtube.com/watch?v=mHR-T5Fhgj0
12,Environmental Science,Environmental Law,,12th,English/Hindi,Module 5: Environmental Legislation in India,"Constitutional Provisions for Environment Protection |Article 48A,51A(g), 19(1)(g)| PIL | DA Nandan",https://www.youtube.com/watch?v=84bT51eY4mg
13,Environmental Science,Environmental Law,,12th,English/Hindi,Module 5: Environmental Legislation in India,"The Water (Prevention And Control Of Pollution) Act, 1974 || Water Act || By  DA Nandan",https://www.youtube.com/watch?v=B_aAWSycXME
14,Environmental Science,Environmental Law,,12th,English/Hindi,Module 5: Environmental Legislation in India,"The Air (Preventions And Control Of Pollution) Act,  1981 | Air Act | BY DA Nandan",https://www.youtube.com/watch?v=SqZDjTZo3Qw
15,Environmental Science,Environmental Law,,12th,English/Hindi,Module 5: Environmental Legislation in India,"Environment (Protection) Act, 1986",https://www.youtube.com/watch?v=09ke6AB6FYM
