Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
9438,Environmental Science,Marine Biology Playlist,124hrs 12min,12th,English/Hindi,Module 1: Introduction to Marine Ecosystems,Our Planet | Coastal Seas | FULL EPISODE | Netflix,https://www.youtube.com/watch?v=r9PeYPHdpNo
9439,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 1: Introduction to Marine Ecosystems,Reef Life of the Andaman (full marine biology documentary),https://www.youtube.com/watch?v=8ncUVddkK3Q
9440,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 1: Introduction to Marine Ecosystems,Our Planet | High Seas | FULL EPISODE | Netflix,https://www.youtube.com/watch?v=9FqwhW0B3tY
9441,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 1: Introduction to Marine Ecosystems,"Cetaceans, the Giants of the Open Ocean",https://www.youtube.com/watch?v=jLdO9MBI7eQ
9442,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 2:  Ocean Giants and Deep Sea Mysteries,Why Sharks get Creepier the Deeper you Go,https://www.youtube.com/watch?v=L0mxKh6CEss
9443,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 2:  Ocean Giants and Deep Sea Mysteries,Skagerrak - Europe's Unique Marine Animal Habitat | Free Documentary Nature,https://www.youtube.com/watch?v=F08fZFRB8fk
9444,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 2:  Ocean Giants and Deep Sea Mysteries,True Facts: The Smartest Slime,https://www.youtube.com/watch?v=k_GTIL7AECQ
9445,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 3:  Marine Biodiversity and Evolution,"Zoologist Answers: WTF is THAT?? (""Alien"" Invertebrates)",https://www.youtube.com/watch?v=q3ZUGrNsZLM
9446,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 3:  Marine Biodiversity and Evolution,When Elephants Got Weird,https://www.youtube.com/watch?v=GUF-dSv701w
9447,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 3:  Marine Biodiversity and Evolution,The Bird Tier List,https://www.youtube.com/watch?v=ZuVcOwXLnyQ
9448,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 3:  Marine Biodiversity and Evolution,"A brief history of fungi: physiology, reproductive biology, and ecology",https://www.youtube.com/watch?v=HL-DFiwaJjs
9449,Environmental Science,Marine Biology Playlist,,12th,English/Hindi,Module 4: Terrestrial Life and Evolution,"The complex evolution of homo sapiens - 1,000,000 to 30,000 years ago",https://www.youtube.com/watch?v=iM6LSUpanmg
