"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
8060,"Fashion Design","Photoshop & Textile Designing Video Course","56hrs 7min","12th","English/Hindi","Module 1: Introduction to Textile Designing Tools","Textile Designing Video 1 Drowing tools (Hindi)","https://www.youtube.com/watch?v=a4oE55v-Ddo"
8061,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 1: Introduction to Textile Designing Tools","Textile Designing Video 2 I  Selection Tools (Hindi)","https://www.youtube.com/watch?v=kx31oIOeXPA"
8062,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 1: Introduction to Textile Designing Tools","Textile Designing Video 3 I Other IMP tools (Hindi)","https://www.youtube.com/watch?v=3xRLmKEEtiI"
8063,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 1: Introduction to Textile Designing Tools","Textile Designing Video 5 I File Menu (Hindi)","https://www.youtube.com/watch?v=dKuNJFV3a-s"
8064,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 2: Working with Images and Layers","Textile Designing Video 6 I Edit menu (Hindi)","https://www.youtube.com/watch?v=TN2JZw5YkKI"
8065,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 2: Working with Images and Layers","Textile Designing Video 7 I  Image Menu Mode & Adjustments (Hindi)","https://www.youtube.com/watch?v=IXsKzKEkHe4"
8066,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 2: Working with Images and Layers","Textile Designing Video 8 I Image Menu Hindi","https://www.youtube.com/watch?v=1k4atKFVZ_w"
8067,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 2: Working with Images and Layers","Textile Designing Video 9 I Layer Menu (Hindi)","https://www.youtube.com/watch?v=QsmBiPpq_g0"
8068,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 3: Designing Basics and Techniques","Textile Designing Video 11 I Filter Menu (Hindi)","https://www.youtube.com/watch?v=RNg9sthbdRs"
8069,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 3: Designing Basics and Techniques","Textile Designing Video 10 I Select Menu (Hindi)","https://www.youtube.com/watch?v=CpwIyuqj9C4"
8070,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 3: Designing Basics and Techniques","Textile Designing Video 12 I View Menu (Hindi)","https://www.youtube.com/watch?v=s58bzg6FunM"
8071,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 3: Designing Basics and Techniques","Window Menu Video 13 I Textile Designing I Photoshop CS5  (Hindi)","https://www.youtube.com/watch?v=Oy7UYPFP0Ko"
8072,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 4: Exploring Textile Design Concepts","Window Menu Video 14 I  Textile Designing I Photoshop CS (Hindi)","https://www.youtube.com/watch?v=UYUGEQeeHqM"
8073,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 4: Exploring Textile Design Concepts","Textile Designing Video 4 I Other IMP Tools (Hindi)","https://www.youtube.com/watch?v=ZpimWvCKaMw"
8074,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 4: Exploring Textile Design Concepts","Textile Designs Concepts And There Sizes I Textile Designing I Photoshop 2020","https://www.youtube.com/watch?v=6hXTyB5UxJU"
8075,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 5: Creating Motifs and Patterns","How To Create Motifs Video 17 I Textile Designing I Photoshop 2020","https://www.youtube.com/watch?v=K8kIioqF4uo"
8076,"Fashion Design","Photoshop & Textile Designing Video Course","","12th","English/Hindi","Module 5: Creating Motifs and Patterns","How To Create Motifs Video 17 I Textile Designing I Photoshop 2020","https://www.youtube.com/watch?v=K8kIioqF4uo"
