Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
9516,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,54hrs 7min,12th,English/Hindi,Module 1: Thrifting and Resale,Is Thrifting + Reselling Ethical? | The Gentrification of Thrifting,https://www.youtube.com/watch?v=uPs3FOG86aY
9517,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 1: Thrifting and Resale,Sustainable or Greenwashing? How to Evaluate Fashion Brands,https://www.youtube.com/watch?v=oUaBpU4t5-E
9518,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 2: Evaluating Sustainable Fashion,9 Common Misconceptions About Sustainable Fashion,https://www.youtube.com/watch?v=rt-kBnsBzCo
9519,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 2: Evaluating Sustainable Fashion,Is Everlane *Actually* Ethical and Sustainable?,https://www.youtube.com/watch?v=H-8Bub8gyNo
9520,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 3: Sustainable Fashion Misconceptions,ALL THE CLOTHES I BOUGHT IN ONE YEAR (basically a thrift haul lol),https://www.youtube.com/watch?v=pynv2nmrNJA
9521,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 3: Sustainable Fashion Misconceptions,Bestdressed and Sustainable Fashion: Problems + Solutions,https://www.youtube.com/watch?v=A2t5ksOaB3U
9522,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 4: Case Study: Everlane,Is Shopping on Etsy Ethical + Sustainable?,https://www.youtube.com/watch?v=rQAw_AsTBo0
9523,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 4: Case Study: Everlane,Outfits Inspired by The Queen's Gambit (Slow Fashion Edition),https://www.youtube.com/watch?v=HH1akSkFHf0
9524,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 5: Personal Sustainable Fashion Journeys,The Problem(s) With Sustainable Fashion,https://www.youtube.com/watch?v=t5AtGZ7Pnpo
9525,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 5: Personal Sustainable Fashion Journeys,All the Clothes I Bought in 2020 (Slow Fashion + Low Buy),https://www.youtube.com/watch?v=1OSMu7d9PJM
9526,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 5: Personal Sustainable Fashion Journeys,Sweatshops STILL Exist in the US | What we can do about it,https://www.youtube.com/watch?v=64sCC1s-I2Q
9527,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 6: Sustainable Fashion Issues,"7 Sustainable Underwear Brands: Knickey, Organic Basics, Boody & More",https://www.youtube.com/watch?v=e1yn4RuSWmA
9528,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 6: Sustainable Fashion Issues,Is SHEIN Ethical? Deep Dive Into Their Greenwashing,https://www.youtube.com/watch?v=qxBW-omaguo
9529,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 7: Ethical Shopping and Production,Our Dangerous Obsession with Huge Fashion Hauls,https://www.youtube.com/watch?v=E1VvNh7Eh4U
9530,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 7: Ethical Shopping and Production,The Inherent Contradiction of Being a Sustainable Influencer,https://www.youtube.com/watch?v=32uwTP1WkJM
9531,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 8: Fashion Consumption and Hauls,Individual vs. Systemic Change: Fashion Industry Reforms to Know,https://www.youtube.com/watch?v=g6rJz5YKELc
9532,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 8: Fashion Consumption and Hauls,Is Girlfriend Collective Actually Ethical & Sustainable?,https://www.youtube.com/watch?v=wco26EBY_uU
9533,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 9: Sustainable Influencers and Systemic Change,How to Make Your Clothes Last YEARS | Sustainable Care Tips,https://www.youtube.com/watch?v=UfjzYVGZNCU
9534,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 9: Sustainable Influencers and Systemic Change,Renting Clothes Isn't As Sustainable As You Think...Or Is It?,https://www.youtube.com/watch?v=X_SvQt3QjMs
9535,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 10: Clothing Lifespan and Care,"Is it ""Okay"" to Buy Fast Fashion?",https://www.youtube.com/watch?v=Oq_WwIzna_o
9536,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 10: Clothing Lifespan and Care,All the Clothes I Bought in 2021 (Slow Fashion + Low Buy),https://www.youtube.com/watch?v=ka4j007PLzA
9537,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 11: Fast Fashion Alternatives,9 Affordable or FREE Alternatives to Fast Fashion,https://www.youtube.com/watch?v=5MeYyrwJlrg
9538,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 11: Fast Fashion Alternatives,Cleaning out my high school closet at age 27 | donating clothes sustainably,https://www.youtube.com/watch?v=4zqwTIIc4RE
9539,Fashion Design,💃🏻 SUSTAINABLE FASHION 💃🏻,,12th,English/Hindi,Module 12: Sustainable Clothing Disposal,All the Clothes I Bought in 2023 (thrifted + slow fashion),https://www.youtube.com/watch?v=yxRBSbNrbJw
