"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
9601,"Finance","Corporate Finance","123hrs 12min","12th","English/Hindi","Module 1: Introduction to Corporate Finance","Introduction to Corporate Finance by CA. Mannu Goyal","https://www.youtube.com/watch?v=FLWG3LgNFPo"
9602,"Finance","Corporate Finance","","12th","English/Hindi","Module 1: Objectives of Financial Management","Evolution of Finance, Role of Finance Mgr., Profit Vs Wealth Maximization by CA. Mannu Goyal","https://www.youtube.com/watch?v=OGF3gEPOA8w"
9603,"Finance","Corporate Finance","","12th","English/Hindi","Module 1: Financial Decisions and Agency Conflicts","Agency Problem and Costs, Sources of Finance and its Classification by CA. Mannu Goyal","https://www.youtube.com/watch?v=Bfq5mmj-ogc"
9604,"Finance","Corporate Finance","","12th","English/Hindi","Module 1: Sources of Finance","Sources of Finance Part 2 by CA. Mannu Goyal","https://www.youtube.com/watch?v=uha0hqblFsI"
9605,"Finance","Corporate Finance","","12th","English/Hindi","Module 2: International Financing","International Financing (ADR, GDR, IDR and FCCB) by CA. Mannu Goyal","https://www.youtube.com/watch?v=abYqlVGL9bk"
9606,"Finance","Corporate Finance","","12th","English/Hindi","Module 2: Choosing the Right Source of Funds","Factors Affecting the choice of the Source of Funds, Equity Shares by CA. Mannu Goyal","https://www.youtube.com/watch?v=Pl38weGOtUI"
9607,"Finance","Corporate Finance","","12th","English/Hindi","Module 2: Equity Shares and Share Capital","Types of Share Capital, Right Shares, Bonus Shares, Sweat Equity Shares by CA. Mannu Goyal","https://www.youtube.com/watch?v=zaf-hh8xyyY"
9608,"Finance","Corporate Finance","","12th","English/Hindi","Module 2: Preference Shares","Preference Shares and its Types by CA. Mannu Goyal","https://www.youtube.com/watch?v=O930fRWXIok"
9609,"Finance","Corporate Finance","","12th","English/Hindi","Module 3: Time Value of Money - Concepts & Applications","Time Value of Money Part 1 by CA. Mannu Goyal","https://www.youtube.com/watch?v=cnEFYEd8QEk"
9610,"Finance","Corporate Finance","","12th","English/Hindi","Module 3: Time Value of Money - Advanced Techniques","Time Value of Money Part 2 by CA. Mannu Goyal","https://www.youtube.com/watch?v=oY-mmmiD5qA"
9611,"Finance","Corporate Finance","","12th","English/Hindi","Module 3: Capital Budgeting - Introduction & Techniques","Time Value of Money Part 3 by CA. Mannu Goyal","https://www.youtube.com/watch?v=raFDb0U8D9M"
9612,"Finance","Corporate Finance","","12th","English/Hindi","Module 3: Capital Budgeting - Project Evaluation Methods","Capital Budgeting Part 1 by CA. Mannu Goyal","https://www.youtube.com/watch?v=Unjs_BGXI2g"
9613,"Finance","Corporate Finance","","12th","English/Hindi","Module 4: Capital Budgeting - Risk Analysis & Decision Making","Capital Budgeting Part 2 by CA. Mannu Goyal","https://www.youtube.com/watch?v=1QGul81uphk"
9614,"Finance","Corporate Finance","","12th","English/Hindi","Module 4: Capital Budgeting - Special Cases and Applications","Capital Budgeting Part 3 by CA. Mannu Goyal","https://www.youtube.com/watch?v=GErRiN8Icjg"
9615,"Finance","Corporate Finance","","12th","English/Hindi","Module 4: Capital Structure - Theories and Determinants","Capital Budgeting Part 4 by CA. Mannu Goyal","https://www.youtube.com/watch?v=Wxz6zLpeH8M"
9616,"Finance","Corporate Finance","","12th","English/Hindi","Module 4: Capital Structure - Practical Considerations","Capital Budgeting Part 5 by CA. Mannu Goyal","https://www.youtube.com/watch?v=r9ZQk0_Xk5Q"
9617,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Working Capital Management - Overview & Techniques","Capital Budgeting Part 6 by CA. Mannu Goyal","https://www.youtube.com/watch?v=mHwvLyDi318"
9618,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Working Capital Management - Cash & Inventory Management","Capital Budgeting Part 7 by CA. Mannu Goyal","https://www.youtube.com/watch?v=so5x2t2XOrQ"
9619,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Working Capital Management - Receivables Management","Capital Budgeting Part 8 by CA. Mannu Goyal","https://www.youtube.com/watch?v=UTeyN6OTuHg"
9620,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Practical Case Studies in Corporate Finance","Capital Structure Part 1 by CA. Mannu Goyal","https://www.youtube.com/watch?v=7TGzNW0vSBs"
9621,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Practical Case Studies in Corporate Finance","Capital Budgeting Part 9 by CA. Mannu Goyal","https://www.youtube.com/watch?v=lv3kou_162s"
9622,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Practical Case Studies in Corporate Finance","Working Capital Management Part 1 by CA. Mannu Goyal","https://www.youtube.com/watch?v=u2DMk-G8G2U"
9623,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Practical Case Studies in Corporate Finance","Working Capital Management Part 2 by CA. Mannu Goyal","https://www.youtube.com/watch?v=AjwJot16Oyg"
9624,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Practical Case Studies in Corporate Finance","Capital Budgeting Part 10 by CA. Mannu Goyal","https://www.youtube.com/watch?v=TiS919_eYbE"
9625,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Practical Case Studies in Corporate Finance","Time Value of Money Part 4 ( Practical case study) by CA. Mannu Goyal","https://www.youtube.com/watch?v=hOwfvUT678A"
9626,"Finance","Corporate Finance","","12th","English/Hindi","Module 5: Practical Case Studies in Corporate Finance","Corporate Finance Lecture 26","https://www.youtube.com/watch?v=shzdudKPQm4"
