"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
9856,"Finance","Fixed Income CFA","17hrs 1min","12th","English/Hindi","Module 1: Introduction to Fixed Income","Classification of Global FI Markets - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=upTx-hwEjag"
9857,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 1: Introduction to Fixed Income","Use of Inter Bank Offer Rates as Reference Rates for Floating Rate Debt - Fixed Income Markets","https://www.youtube.com/watch?v=1ZSzeDMos_4"
9858,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 1: Introduction to Fixed Income","Primary Markets and Secondary Markets - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=M7XglK6sE50"
9859,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 1: Introduction to Fixed Income","Securities Issued by Sovereign Governments - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=gHwt_RSVnMA"
9860,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 2: Fixed Income Instruments and Markets","Securities Issued by Non-Sovereign Governments - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=NMWEDsfTBSM"
9861,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 2: Fixed Income Instruments and Markets","Types of Debt Issued by Corporations - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=9WZNn41Ryxw"
9862,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 2: Fixed Income Instruments and Markets","Structured Financial Instruments - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=DS7xUO1Vl2o"
9863,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 2: Fixed Income Instruments and Markets","Short Term Funding Alternatives Available to Banks - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=ThOLTFF2jgU"
9864,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 3: Asset-Backed Securities","Repurchase REPO Agreements - Fixed Income Markets - Fixed Income","https://www.youtube.com/watch?v=e5KnGKH8DvQ"
9865,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 3: Asset-Backed Securities","Securitization, Parties Involved in The Process and Benefits of Securitization - Fixed Income","https://www.youtube.com/watch?v=MkMaEleNyZU"
9866,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 3: Asset-Backed Securities","Structures of Securitization including Credit Tranching and Time Tranching Structures - Fixed Income","https://www.youtube.com/watch?v=utDGbErsAMA"
9867,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 3: Asset-Backed Securities","Types & Characteristics of Residential Mortgage Loans - Introduction to Asset Backed Securities","https://www.youtube.com/watch?v=2-2QAlN_3EA"
9868,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 4: Fixed Income Risk and Return","Residential Mortgage Backed Securities (RMBS) - Introduction to Asset Backed Securities","https://www.youtube.com/watch?v=4f32XxQ5r3Y"
9869,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 4: Fixed Income Risk and Return","Mortgage pass through Securities - Introduction to Asset Backed Securities - Fixed Income","https://www.youtube.com/watch?v=HJmCWpC7F7E"
9870,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 4: Fixed Income Risk and Return","Prepayment Risk - Introduction to Asset Backed Securities - Fixed Income","https://www.youtube.com/watch?v=Gb5dANdQbgk"
9871,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 4: Fixed Income Risk and Return","Collateralized Mortgage Obligations (CMO) - Introduction to Asset Backed Securities - Fixed Income","https://www.youtube.com/watch?v=mwL9yUZ6NyQ"
9872,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 4: Fixed Income Risk and Return","Commercial Mortgage Backed Securities (CMBS) - Introduction to Asset Backed Securities","https://www.youtube.com/watch?v=DOy-aKZcm6g"
9873,"Finance","Fixed Income CFA","","12th","English/Hindi","Module 5: Fundamentals of Credit Analysis","Non-Mortgage Backed Securities - Introduction to Asset Backed Securities - Fixed Income","https://www.youtube.com/watch?v=Jg-FtBNUz2o"
