"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
9738,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","31hrs 4min","12th","English/Hindi","Module 1: Introduction to Foreign Exchange Market","FOREIGN EXCHANGE MARKET# VIDEO-1","https://www.youtube.com/watch?v=CSe0b4rwnT4"
9739,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 1: Introduction to Foreign Exchange Market","STRUCTURE OF FOREIGN EXCHANGE MARKET IN INDIA","https://www.youtube.com/watch?v=GPibEnh6HiA"
9740,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 1: Introduction to Foreign Exchange Market","TYPES OF TRANSACTIONS IN FOREX MARKET","https://www.youtube.com/watch?v=v6R4cFJpY3k"
9741,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 2: Exchange Rate Determination","DETERMINATION OF EXCHANGE RATE IN SPOT MARKET","https://www.youtube.com/watch?v=7JW9joeJ1eU"
9742,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 2: Exchange Rate Determination","DETERMINATION OF EXCHANGE RATE IN FORWARD MARKET","https://www.youtube.com/watch?v=WiE9TJPVzW4"
9743,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 2: Exchange Rate Determination","ARBITRAGE IN FORWARD MARKET (PROBLEM-1)","https://www.youtube.com/watch?v=zoy96rNMh0E"
9744,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 3: Arbitrage and its Applications","ARBITRAGE IN FORWARD MARKET-(PROBLEM-2)","https://www.youtube.com/watch?v=8IzfO7jvPX8"
9745,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 3: Arbitrage and its Applications","INTEREST ARBITRAGE-COVERED AND UNCOVERED INTEREST ARBITRAGE","https://www.youtube.com/watch?v=7p8s4a2wgL0"
9746,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 3: Arbitrage and its Applications","ARBITRAGE IN FORWARD MARKET-(PROBLEM-3)","https://www.youtube.com/watch?v=ZZ5azkuhj3s"
9747,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 4: Hedging and International Finance","BID-ASK SPREAD IN FOREIGN EXCHANGE MARKET","https://www.youtube.com/watch?v=I2V1VN6kKRs"
9748,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 4: Hedging and International Finance","CALCULATION OF FORWARD PREMIUM OR DISCOUNT IN FORWARD MARKET IN FOREX","https://www.youtube.com/watch?v=iyGy85dtUCQ"
9749,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 4: Hedging and International Finance","HEDGING AGAINST THE FOREIGN EXCHANGE EXPOSURE","https://www.youtube.com/watch?v=1EkDeeGJCNo"
9750,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 5: Introduction to International Finance","HEDGING IN FORWARD MARKET","https://www.youtube.com/watch?v=2GKVcBgTP8g"
9751,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 5: Introduction to International Finance","HEDGING IN FORWARD MARKET(PROBLEM-1)","https://www.youtube.com/watch?v=AK64_T76Vs8"
9752,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 5: Introduction to International Finance","INTRODUCTION TO INTERNATIONAL FINANCE","https://www.youtube.com/watch?v=3mF-aNHwXYI"
9753,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 6: Balance of Payments and Currency Markets","FEATURES/CHARACTERISTICS OF INTERNATIONAL FINANCE","https://www.youtube.com/watch?v=hFcXCV3VjMU"
9754,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 6: Balance of Payments and Currency Markets","DEFINITION AND SIGNIFICANCE OF INTERNATIONAL FINANCIAL MANAGEMENT","https://www.youtube.com/watch?v=KvRBST1o0RE"
9755,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 6: Balance of Payments and Currency Markets","PREPARATION OF BALANCE OF PAYMENT  (BOP) STATEMENT","https://www.youtube.com/watch?v=qLnjKw97yco"
9756,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 6: Balance of Payments and Currency Markets","PREPRATION OF BALANCE OF PAYMENT (BOP)-VIDEO 2","https://www.youtube.com/watch?v=0TzIiD7uRUY"
9757,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 6: Balance of Payments and Currency Markets","CURRENCY FORWARD MARKET/CHARACTERISTICS OF FORWARD MARKET-CURRENCY.","https://www.youtube.com/watch?v=9YIDSf72bQI"
9758,"Finance","INTERNATIONAL FINANCIAL MANAGEMENT","","12th","English/Hindi","Module 6: Balance of Payments and Currency Markets","MEANING AND DIFFERENCE BETWEEN FORWARD AND FUTURE CONTRACT","https://www.youtube.com/watch?v=b-jDAQ-LjaU"
