"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
9759,"Finance","Learn Financial Modelling - Step by Step","102hrs 23min","12th","English/Hindi","Module 1: Introduction to Financial Modeling","Learn Financial Modelling - Step by Step","https://www.youtube.com/watch?v=QhBLvRu2XSI"
9760,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 1: Introduction to Financial Modeling","Learn Financial Modelling - Step by Step - Session 2","https://www.youtube.com/watch?v=9vAqWaRnfsU"
9761,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 1: Introduction to Financial Modeling","Learn FINANCIAL MODELLING in EXCEL - STEP BY STEP - Session 3","https://www.youtube.com/watch?v=OMQe-JF76rg"
9762,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 1: Introduction to Financial Modeling","Learn Financial Modelling - Step by Step - Session 4 | 3 Statement Financial Modelling","https://www.youtube.com/watch?v=-VIqSzEFvjM"
9763,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 2: Financial Statements and Ratio Analysis","Learn Financial Modelling - Step by Step - Session 5 | Ratio Analysis","https://www.youtube.com/watch?v=t93qZunzHd8"
9764,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 2: Financial Statements and Ratio Analysis","Learn Financial Modelling - Step by Step - Session 6 | Forecasting","https://www.youtube.com/watch?v=Ccv8eAqBSSQ"
9765,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 2: Financial Statements and Ratio Analysis","DCF Excel Modelling | Step by Step - Session 7  | Investment Banking","https://www.youtube.com/watch?v=pdveRcJucX4"
9766,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 3: Forecasting & Valuation","Master WACC Modelling | DCF Modelling | Session - 8 | Investment Banking","https://www.youtube.com/watch?v=Pp_qhxHUziQ"
9767,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 3: Forecasting & Valuation","Master WACC Modelling -2 | DCF Modelling | Session 9 | Investment Banking","https://www.youtube.com/watch?v=qRri_spNhHo"
9768,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 3: Forecasting & Valuation","Master WACC Modelling -3 | DCF Modelling | Session 10 | Investment Banking","https://www.youtube.com/watch?v=N0VG4nbeoBI"
9769,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 3: Forecasting & Valuation","Common Size Statement | Financial Modelling | Session 11 |  Investment banking","https://www.youtube.com/watch?v=csv-QJTubG8"
9770,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 4: Valuation & Modeling","Learn Financial Modelling - Step by Step - Session 12 | Growth Rate","https://www.youtube.com/watch?v=0N3zIEhaq1c"
9771,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 4: Valuation & Modeling","Learn Financial Modelling | Step by Step - Session 13| DCF| Investment Banking","https://www.youtube.com/watch?v=h-rO3pNHHuw"
9772,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 4: Valuation & Modeling","Learn Financial Modelling | Step by Step - Session 14| Relative valuation| Investment Banking","https://www.youtube.com/watch?v=1aAh_CbnOj0"
9773,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 4: Valuation & Modeling","Learn Financial Modelling | Step by Step - Session 15| Relative valuation| Investment Banking","https://www.youtube.com/watch?v=DpKdORBG224"
9774,"Finance","Learn Financial Modelling - Step by Step","","12th","English/Hindi","Module 5: Sensitivity & Scenario Analysis","Sensitivity Analysis | Learn Financial Modeling | Step by Step| Session 16","https://www.youtube.com/watch?v=cdPqgPmZQjM"
