Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
9796,Finance,NOC Jan 2020: Behavioral and Personal Finance,18hrs 21min,12th,English/Hindi,Module 1: Introduction to Behavioral Economics and Finance,Behavioral and Personal Finance,https://www.youtube.com/watch?v=MPooO1msEfo
9797,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 1: Introduction to Behavioral Economics and Finance,Lecture 01: Introduction to Behavioral Economics and Finance,https://www.youtube.com/watch?v=5JGz3ua_48o
9798,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 1: Economics of Decision Making,Lecture 02: Introduction to Behavioral Economics and Finance (Contd.),https://www.youtube.com/watch?v=atRgQAYzO78
9799,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 1: Economics of Decision Making,Lecture 03: Economics of Decision Making,https://www.youtube.com/watch?v=fQb4zXcAjuw
9800,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 2: Decision Making Under Risk and Uncertainty,Lecture 04: Economics of Decision Making (Contd.),https://www.youtube.com/watch?v=eU524VR58Ww
9801,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 2: Decision Making Under Risk and Uncertainty,Lecture 05: Decision Making Under Risk and Uncertainty,https://www.youtube.com/watch?v=0KmgdWooYo0
9802,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 2: Non-expected Utility Preferences,Lecture 06: Decision Making Under Risk and Uncertainty (Contd.),https://www.youtube.com/watch?v=v8Mhoo4byXg
9803,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 2: Non-expected Utility Preferences,Lecture 07: Non-expected Utility Preferences,https://www.youtube.com/watch?v=KLlutZbSglI
9804,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 3: Prospect Theory and Behavioral Biases,Lecture 08: Non-expected Utility Preferences (Contd.),https://www.youtube.com/watch?v=Gi25hNM5I-w
9805,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 3: Prospect Theory and Behavioral Finance,Lecture 09: Prospect Theory and Behavioral Biases,https://www.youtube.com/watch?v=Wubeb8KXUww
9806,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 3: Prospect Theory and Behavioral Finance,Lecture 10: Prospect Theory and Behavioral Finance,https://www.youtube.com/watch?v=PFfhbPcJzuE
9807,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,"Module 3: Beliefs, Biases and Heuristics",Lecture 11: Prospect Theory and Behavioral Finance (Contd.),https://www.youtube.com/watch?v=Ksr8D47Npew
9808,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,"Module 4: Beliefs, Biases and Heuristics","Lecture 12: Beliefs, Biases and Heuristics",https://www.youtube.com/watch?v=kPQcZgjHYtU
9809,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,"Module 4: Beliefs, Biases and Heuristics","Lecture 13: Beliefs, Biases and Heuristics (Contd.)",https://www.youtube.com/watch?v=mj4KTR0EC0g
9810,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 4: Biases and Financial Decision-Making,"Lecture 14: Beliefs, Biases and Heuristics (Contd.)",https://www.youtube.com/watch?v=tS-4zFwG-RE
9811,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 4: Biases and Financial Decision-Making,Lecture 15: Biases and Financial Decision-Making,https://www.youtube.com/watch?v=V4jLDpJzvs8
9812,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 5: Overconfidence and Investor Behavior & Valuation of Financial Assets,Lecture 16: Biases and Financial Decision-Making (Contd.),https://www.youtube.com/watch?v=PUUoAyXW3XI
9813,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 5: Valuation of Financial Assets,Lecture 17: Overconfidence and Investor Behavior,https://www.youtube.com/watch?v=csO6w1Hn_pk
9814,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 5: Valuation of Financial Assets,Lecture 18: Valuation of Financial Assets,https://www.youtube.com/watch?v=ZwS85YsydYw
9815,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 5: Protfolio Return and Risk,Lecture 19: Valuation of Financial Assets (Contd.),https://www.youtube.com/watch?v=a0LJHqohIcI
9816,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 6: Protfolio Return and Risk & Personal Financial Goals,Lecture 20: Valuation of Financial Assets (Contd.),https://www.youtube.com/watch?v=-MsNuNU68Xw
9817,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 6: Planning Personal Finances & Personal Financial Statements,Lecture 21: Protfolio Return and Risk,https://www.youtube.com/watch?v=__lV8Yw4ge4
9818,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 6: Taxes and Financial Planning,Lecture 22: Protfolio Return and Risk (Contd.),https://www.youtube.com/watch?v=B5HEXO6MzLI
9819,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 6: Taxes and Financial Planning,Lecture 23: Personal Financial Goals,https://www.youtube.com/watch?v=sE3s-yj1zyc
9820,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 7: Portfolios for Individual Investors & Investment Alternatives for Individual Investors,Lecture 24: Planning Personal Finances,https://www.youtube.com/watch?v=oephC4K8-ds
9821,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 7: Investing in Mutual Funds & Fixed Income Investments,Lecture 25: Personal Financial Statements,https://www.youtube.com/watch?v=uCUtB_0FzqE
9822,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 7: Fixed Income Investments & Purchasing Decisons,Lecture 26: Taxes and Financial Planning,https://www.youtube.com/watch?v=NiQCDDxR5rY
9823,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 7: Consumer Credit Decisions & Loans and Amortization,Lecture 27: Taxes and Financial Planning (Contd.),https://www.youtube.com/watch?v=cx89mrtkGG4
9824,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Loans and Amortization & Credit Card as Source of Consumer Credit,Lecture 28: Portfolios for Individual Investors,https://www.youtube.com/watch?v=SzFA8MDVDGs
9825,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Alternative Investment,Lecture 29: Investment Alternatives for Individual Investors,https://www.youtube.com/watch?v=i8Z3tVZUrX8
9826,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Alternative Investment & Structured Finance,Lecture 30: Investing in Mutual Funds,https://www.youtube.com/watch?v=tkwxowUVQSo
9827,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 31: Fixed Income Investments,https://www.youtube.com/watch?v=chSJlAalpaA
9828,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 32: Fixed Income Investments (Contd.),https://www.youtube.com/watch?v=nBwBHEEW2Kk
9829,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 33: Purchasing Decisons,https://www.youtube.com/watch?v=xuydVHPICxc
9830,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 34: Consumer Credit Decisions,https://www.youtube.com/watch?v=T5-H2iXX4nU
9831,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 35: Loans and Amortization,https://www.youtube.com/watch?v=QkXlfs5h84A
9832,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 36: Loans and Amortization (Contd.),https://www.youtube.com/watch?v=PlBE0g9NSg0
9833,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 37: Credit Card as Source of Consumer Credit,https://www.youtube.com/watch?v=BEBG2yNnGQw
9834,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 38: Alternative Investment,https://www.youtube.com/watch?v=RhT5MqBfYow
9835,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 39: Alternative Investment (Contd.),https://www.youtube.com/watch?v=0_CscMO7Rqs
9836,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 40: Structured Finance,https://www.youtube.com/watch?v=Gldrr3dQPdk
9837,Finance,NOC Jan 2020: Behavioral and Personal Finance,,12th,English/Hindi,Module 8: Wealth Managment,Lecture 41: Wealth Managment,https://www.youtube.com/watch?v=nS5EV3uE2Q0
