S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),225hrs 17min,12th,English/Hindi,Module 1: Introduction to Drawing & Materials,"Free Basic Drawing Class #1! Getting Started with simple drawings, and Art Supply buying guide.",https://www.youtube.com/watch?v=6QOboH_wKL4
2,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 1: Introduction to Drawing & Materials,"How to Draw BASIC SHAPES: Cubes, Cylinders & Cones! Free Basic Drawing Class #2 (live stream + Q&A)",https://www.youtube.com/watch?v=YbQSU_2NPCY
3,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 1: Introduction to Drawing & Materials,Draw a VALUE SCALE using Hatching and Blending! Free Basic Drawing Class #3 (live stream + Q&A),https://www.youtube.com/watch?v=0FOXOawrGMk
4,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 1: Introduction to Drawing & Materials,Use SHADING to Add Volume and Dimension to Shapes! Free Basic Drawing Class #4 (live stream + Q&A),https://www.youtube.com/watch?v=cf2uO4cWK2E
5,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 2: Perspective Application & Simplification,One-Point Perspective EXPLAINED for beginners! – Free Basic Drawing Class #5 (live stream + Q&A),https://www.youtube.com/watch?v=lID7KaUi8ZQ
6,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 2: Perspective Application & Simplification,Using Single-Point Perspective to Draw your Bedroom! Free Basic Drawing Class #6 (live stream + Q&A),https://www.youtube.com/watch?v=HXQV70K2WqQ
7,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 2: Perspective Application & Simplification,Draw ANYTHING Using Only Simple Shapes! Free Basic Drawing Class #7 (live stream + Q&A),https://www.youtube.com/watch?v=so6A4LmUO7c
8,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 2: Perspective Application & Simplification,How to find YOUR OWN Drawing Style! Embrace your Quirks! Basic Drawing Class #8 (live stream + Q&A),https://www.youtube.com/watch?v=fg6NFr2cCjY
9,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 3: Figure Drawing Techniques & Proportions,Draw a Copy of ANY Photograph using a GRID! Free Basic Drawing Class #9 (live stream + Q&A),https://www.youtube.com/watch?v=0Bi7DmnT-2I
10,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 3: Figure Drawing Techniques & Proportions,Drawing what you SEE - with a VIEWFINDER! Free Basic Drawing Class #10 (live stream + Q&A),https://www.youtube.com/watch?v=j8g6pT_t2yA
11,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 3: Figure Drawing Techniques & Proportions,Draw the Male Figure! Basic Proportions Intro – Free Basic Drawing Class #11 (live stream + Q&A),https://www.youtube.com/watch?v=6UlRHajoKnU
12,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 3: Figure Drawing Techniques & Proportions,Line of Action: Learn how to SEE it and DRAW it! – Free Basic Drawing Class #12 (live stream + Q&A),https://www.youtube.com/watch?v=jyucg0CA93A
13,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 4: Profile & 3/4 View,Draw the Female Figure! Basic Proportions Intro – Free Basic Drawing Class #13 (live stream + Q&A),https://www.youtube.com/watch?v=BAj8S_jKGHM
14,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 4: Profile & 3/4 View,Draw the Body Using Block-in / Envelope Method – Free Basic Drawing Class #14 (live stream + Q&A),https://www.youtube.com/watch?v=fxIbyoIpD2A
15,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 4: Profile & 3/4 View,Draw Babies and Kids! Basic Body Proportions – Free Basic Drawing Class #15 (live stream + Q&A),https://www.youtube.com/watch?v=Xd71u_iAnVw
16,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 4: Profile & 3/4 View,Draw Old People! Basic Elderly Body Proportions – Free Basic Drawing Class #16 (live stream + Q&A),https://www.youtube.com/watch?v=hEpUSyd9uto
17,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 5: Shoes & Baby Portraits,Draw Portraits! The Structure of the Human Face – Free Basic Drawing Class #17 (live stream + Q&A),https://www.youtube.com/watch?v=hycILTX6B4o
18,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 5: Shoes & Baby Portraits,Draw Eyes! Learn Basic Expressions and Structure – Free Basic Drawing Class #18 (live stream + Q&A),https://www.youtube.com/watch?v=MST_doFfkh4
19,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 5: Shoes & Baby Portraits,Draw Noses! Learn Basic Structure and Styles – Free Basic Drawing Class #19 (live stream + Q&A),https://www.youtube.com/watch?v=1hozeKgXJOU
20,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 5: Shoes & Baby Portraits,Draw Lips & Mouths! Intro to Structure and Styles – Free Basic Drawing Class #20 (live stream + Q&A),https://www.youtube.com/watch?v=e9I81aRGDTQ
21,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 6: Landscape Sketching & Materials,Draw Ears! Intro to Structure and Styles – Free Basic Drawing Class #21 (live stream + Q&A),https://www.youtube.com/watch?v=cVj7HSe_YYI
22,Fine Arts,Beginner's Drawing Course – 40 Episodes! (2020),,12th,English/Hindi,Module 6: Landscape Sketching & Materials,Draw Hair! Intro to Structure and Styles – Free Basic Drawing Class #22 (live stream + Q&A),https://www.youtube.com/watch?v=wUEyFqCqirQ
