S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fine Arts,Performance Art,3hrs 14min,12th,English/Hindi,Module 1: Gender Self Pen Pal | Sugar and Spice and Everything Nice | An ode to wanting what we can't have,Gender Self Pen Pal,https://www.youtube.com/watch?v=3w_x1TesfRc
2,Fine Arts,Performance Art,,12th,English/Hindi,Module 1: Gender Self Pen Pal | Sugar and Spice and Everything Nice | An ode to wanting what we can't have,Sugar and Spice and Everything Nice,https://www.youtube.com/watch?v=aJyEUQ4m7l4
3,Fine Arts,Performance Art,,12th,English/Hindi,Module 1: Gender Self Pen Pal | Sugar and Spice and Everything Nice | An ode to wanting what we can't have,An ode to wanting what we can't have,https://www.youtube.com/watch?v=K6vEuubZikA
4,Fine Arts,Performance Art,,12th,English/Hindi,Module 2: Voicemails I can't delete but I can't seem to pick up the phone | In a city in a building in a room in a window,Voicemails I can't delete but I can't seem to pick up the phone,https://www.youtube.com/watch?v=mrs4e0gvcJc
5,Fine Arts,Performance Art,,12th,English/Hindi,Module 2: Voicemails I can't delete but I can't seem to pick up the phone | In a city in a building in a room in a window,In a city in a building in a room in a window,https://www.youtube.com/watch?v=FeAAdipJB8E
6,Fine Arts,Performance Art,,12th,English/Hindi,Module 3: figuring it out | Life,figuring it out,https://www.youtube.com/watch?v=6C0XwFy_Spg
7,Fine Arts,Performance Art,,12th,English/Hindi,Module 3: figuring it out | Life,Life,https://www.youtube.com/watch?v=TX7fBYcAVN4
8,Fine Arts,Performance Art,,12th,English/Hindi,Module 4: Beach Dialogue | Real Pleasures and Real Disappointments,Beach Dialogue,https://www.youtube.com/watch?v=Ie0-t6f31aw
9,Fine Arts,Performance Art,,12th,English/Hindi,Module 4: Beach Dialogue | Real Pleasures and Real Disappointments,Real Pleasures and Real Disappointments,https://www.youtube.com/watch?v=Sj6xpkAVHzQ
10,Fine Arts,Performance Art,,12th,English/Hindi,Module 5: Walking myself through it | Trying to fit into an old me,Walking myself through it,https://www.youtube.com/watch?v=W2ZH-g49XF8
11,Fine Arts,Performance Art,,12th,English/Hindi,Module 5: Walking myself through it | Trying to fit into an old me,Trying to fit into an old me,https://www.youtube.com/watch?v=_IcpcPmFw1w
12,Fine Arts,Performance Art,,12th,English/Hindi,Module 6: Parts of the Head,Parts of the Head,https://www.youtube.com/watch?v=tNUgHchzxKE
13,Fine Arts,Performance Art,,12th,English/Hindi,Module 7: Nightmares,Nightmares,https://www.youtube.com/watch?v=8MhpD4RyKuw
