S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fine Arts,Sculpture Playlist,39hrs 22min,12th,English/Hindi,Module 1: Polymer Clay Dinosaurs,Art Lesson :  How to Sculpt A Triceratops in Polymer Clay,https://www.youtube.com/watch?v=PjF5bnU49Og
2,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 1: Polymer Clay Dinosaurs,How to Custom Sculpt a Mattel Sinoceratops Jurassic World,https://www.youtube.com/watch?v=4n81ByqlIvs
3,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 2: Intro to 3D Printing,3D Printing: 13 Things I Wish I Knew When I Got Started,https://www.youtube.com/watch?v=Sqh3FM12KVg
4,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 2: Intro to 3D Printing,The Ultimate Beginner's Guide to 3D Printing - Part 1,https://www.youtube.com/watch?v=3LBTkLsjHGQ
5,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 2: Intro to 3D Printing,How 3-D-Printed Prosthetic Hands Are Changing These Kids’ Lives | Short Film Showcase,https://www.youtube.com/watch?v=Cl8ijPGEKO8
6,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 3: Painting Jurassic World Dinosaurs,Mattel Spinosaurus Repaint,https://www.youtube.com/watch?v=dfalmXEYyMI
7,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 3: Painting Jurassic World Dinosaurs,Sinoceratops Repaint,https://www.youtube.com/watch?v=FqRy0UjZf0w
8,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 3: Painting Jurassic World Dinosaurs,Jurassic World Alpha Sinoceratops Custom & Repaint Deutsch/German,https://www.youtube.com/watch?v=ospw_zH81oc
9,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 3: Painting Jurassic World Dinosaurs,Camp Cretaceous Para Repaint,https://www.youtube.com/watch?v=yHn1wh7YXkM
10,Fine Arts,Sculpture Playlist,,12th,English/Hindi,Module 3: Painting Jurassic World Dinosaurs,Mattel Ankylosaurus Repaint,https://www.youtube.com/watch?v=bwIyvo0Qfys
