S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fine Arts,cool installation art,5hrs 9min,12th,English/Hindi,Module 1: Interactive Installations,One Hundred and Eight - Interactive Installation,https://www.youtube.com/watch?v=1BfHY5sFGJM
2,Fine Arts,cool installation art,,12th,English/Hindi,Module 1: Interactive Installations,Ballet de Plastique | Daniel Wurtzel,https://www.youtube.com/watch?v=gGbhp6Y_7d0
3,Fine Arts,cool installation art,,12th,English/Hindi,Module 1: Interactive Installations,Miami Art Museum Installation of Large-Scale Work by Tomás Saraceno,https://www.youtube.com/watch?v=-UERbJtEAvs
4,Fine Arts,cool installation art,,12th,English/Hindi,Module 1: Interactive Installations,Interactive Snow Projection,https://www.youtube.com/watch?v=auDxn_i9Jkc
5,Fine Arts,cool installation art,,12th,English/Hindi,Module 2: Large-Scale Art,Kinetica Art Fair - Creepy Walking Thing,https://www.youtube.com/watch?v=KJhYIzJrbaE
6,Fine Arts,cool installation art,,12th,English/Hindi,Module 2: Large-Scale Art,KINETICA ART FAIR 2011,https://www.youtube.com/watch?v=GbPB92a6v7U
7,Fine Arts,cool installation art,,12th,English/Hindi,Module 2: Large-Scale Art,Amazing Water Technology in Osaka/ 水と映像の融合 大阪駅にて,https://www.youtube.com/watch?v=E2XIE2v_bvI
8,Fine Arts,cool installation art,,12th,English/Hindi,Module 2: Large-Scale Art,Diana Vishneva: Beauty in motion - F.L.O.W part III,https://www.youtube.com/watch?v=2h2fdZ6XpR8
9,Fine Arts,cool installation art,,12th,English/Hindi,Module 3: Kinetic Art,Street Art: Joshua Allen Harris' Inflatable Bag Monsters,https://www.youtube.com/watch?v=PH6xCT2aTSo
10,Fine Arts,cool installation art,,12th,English/Hindi,Module 3: Kinetic Art,"Amazing Art Installation Turns You Into A Bird | Chris Milk ""The Treachery of Sanctuary""",https://www.youtube.com/watch?v=I5__9hq-yas
11,Fine Arts,cool installation art,,12th,English/Hindi,Module 3: Kinetic Art,When Infinity Comes To Life,https://www.youtube.com/watch?v=hUbweJG68SI
12,Fine Arts,cool installation art,,12th,English/Hindi,Module 4: Urban Interventions,Transforming Urban Landscapes,https://www.youtube.com/watch?v=Ig9Hnrp5EjM
13,Fine Arts,cool installation art,,12th,English/Hindi,Module 4: Urban Interventions,Kinetic Sculptor Puts Cyber Dreams In Motion,https://www.youtube.com/watch?v=FoM8UoMuvl8
14,Fine Arts,cool installation art,,12th,English/Hindi,Module 4: Urban Interventions,Turning Video Games Into Live Music,https://www.youtube.com/watch?v=Vd8xbM2V5pQ
15,Fine Arts,cool installation art,,12th,English/Hindi,Module 5: Immersive Experiences,10 Examples of Great Art Installations,https://www.youtube.com/watch?v=zzFBI3-dBxU
16,Fine Arts,cool installation art,,12th,English/Hindi,Module 5: Immersive Experiences,Interactive Art Installation: UNM Arts Unexpected 2015,https://www.youtube.com/watch?v=iScTVvdbEjA
17,Fine Arts,cool installation art,,12th,English/Hindi,Module 5: Immersive Experiences,20 Unbelievable Art Istallations,https://www.youtube.com/watch?v=SVcZiuBsZwU
18,Fine Arts,cool installation art,,12th,English/Hindi,Module 5: Immersive Experiences,23 Cool Sculptures You Won't Believe Actually Exist,https://www.youtube.com/watch?v=Jh6QiH9ZVSk
