S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fine Arts,printmaking playlist,24hrs 14min,12th,English/Hindi,Module 1: Destiny - Music and Soundscapes,Destiny - Crota's End Theme,https://www.youtube.com/watch?v=rEDo12axUWc
2,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 1: Destiny - Music and Soundscapes,Mötley Crüe - Live Wire (Official Music Video),https://www.youtube.com/watch?v=Ahq4blDfU5s
3,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 1: Destiny - Music and Soundscapes,Hunter x Hunter (2011) OST - Elegy Of The Dynast,https://www.youtube.com/watch?v=tCAS50dQ8F4
4,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 1: Destiny - Music and Soundscapes,Hunter x Hunter 2011 OST 3 - 1 - Kingdom of Predators,https://www.youtube.com/watch?v=q43wzP6A1CM
5,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 2: Anime Inspiration - Hunter x Hunter,Attack on Titan Season 3 OST Levi VS Beast Titan,https://www.youtube.com/watch?v=Raufri3ShFs
6,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 2: Anime Inspiration - Hunter x Hunter,Hunter x Hunter OST | In The Palace~Lamentoso/In The Palace~Agitato,https://www.youtube.com/watch?v=pucT5R6AV5o
7,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 2: Anime Inspiration - Hunter x Hunter,Best $1000 Gaming PC Build Guide - RTX 2060 Ryzen 7 2700X (w/ STREAMING BENCHMARKS),https://www.youtube.com/watch?v=5BAMdv3YI50
8,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 2: Anime Inspiration - Hunter x Hunter,Killing Floor 2 | NEON NIGHTMARES Theme Music | Spring Update 2020,https://www.youtube.com/watch?v=crX1gFE6O98
9,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 3: Gaming and Tech,Rocky Gray - Cyberpunk [Killing Floor 2 Soundtrack - Cyber Revolt],https://www.youtube.com/watch?v=JrKk5ZgKwLs
10,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 3: Gaming and Tech,Call of Duty Zombies - All Easter Egg Songs (Until Black Ops 4),https://www.youtube.com/watch?v=CzEe3ehjxtI
11,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 3: Gaming and Tech,IDLES - NEVER FIGHT A MAN WITH A PERM (Official Video),https://www.youtube.com/watch?v=dEe4i2osF5A
12,Fine Arts,printmaking playlist,,12th,English/Hindi,Module 3: Gaming and Tech,How to disable laptop  keyboard when external plugged in,https://www.youtube.com/watch?v=8SmytOiX-lQ
