Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
10903,Graphic Design,Design Thinking - Dwivedi Guidance,26hrs 23min,12th,English/Hindi,Module 1: Introduction to Design Thinking,"Design Thinking, design thinking process, design thinking examples, design thinking aktu notes, mba",https://www.youtube.com/watch?v=9XnYUgI7zsE
10904,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 1: Design Thinking Process and Examples,"Design Thinkers, Characteristics of Design Thinkers, design thinkers meaning, design thinking aktu",https://www.youtube.com/watch?v=kk21KHRo21s
10905,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 1: Design Thinking for MBA Students,"Iteration in design thinking, iteration benefits, meaning of iteration, design thinking aktu notes,",https://www.youtube.com/watch?v=zJwAVZx0Y4k
10906,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 1: Design Thinking Notes (AKU),"Empathize in design thinking, empathy meaning, design thinking aktu notes, design thinking process",https://www.youtube.com/watch?v=AfarKm0roNE
10907,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 2: Design Thinkers and their Characteristics,"Convergent thinking and divergent thinking, convergent thinking example, divergent thinking example",https://www.youtube.com/watch?v=DsvZrVBbQCc
10908,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 2: Understanding Design Thinking Principles,"Persona Meaning, Persona in Design thinking, Creating effective Persona, examine the term personas",https://www.youtube.com/watch?v=ZPVuHIiAL2k
10909,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 2: Design Thinking (AKU),"Design Thinking aktu, design thinking process, design thinking examples, design thinking unit 1 aktu",https://www.youtube.com/watch?v=3Cv3iggjN00
10910,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 3: Iteration in Design Thinking,"Design thinking exercise, design thinking workshop, 6 thinking hats, design thinking in hindi, aktu",https://www.youtube.com/watch?v=LMy16vYcbUQ
10911,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 3: Benefits and Meaning of Iteration,"Design Thinking aktu, benefit of design thinking, design thinking case study examples, dwivedi",https://www.youtube.com/watch?v=CcuqAhm5Ctg
10912,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 3: Design Thinking Notes (AKU),"Design Thinking in Health Sector, design thinking case study,design thinking case study examples,",https://www.youtube.com/watch?v=HcjhWXM9dqM
10913,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 4: Empathy in Design Thinking,"Design Thinking in Education, design thinking case study,design thinking case study examples,",https://www.youtube.com/watch?v=wMH5b391qyE
10914,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 4: Empathy and its Role in the Design Process,"Design Thinking in Banking Sector, design thinking case study,design thinking case study examples,",https://www.youtube.com/watch?v=hfn2_fVilf0
10915,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 4: Design Thinking Notes (AKU),"Design Thinking in management decisions, design thinking case study design thinking dwivedi guidance",https://www.youtube.com/watch?v=z5WskbY7xug
10916,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 5: Convergent and Divergent Thinking,"Difference between innovation and creativity, aktu previous year question paper mba, Design thinking",https://www.youtube.com/watch?v=HVO6zC-mkmg
