"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
10871,"Graphic Design","Drawing Basics | Proko","18hrs 4min","12th","English/Hindi","Module 1: Welcome to Drawing Basics","Learning How to Draw","https://www.youtube.com/watch?v=tx5kJvI14Jg"
10872,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 1: Learning How to Draw","Intro to Drawing Basics","https://www.youtube.com/watch?v=2szSyXx8cZQ"
10873,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 1: Intro to Drawing Basics","Ultimate Guide to Sketchbooks and Paper","https://www.youtube.com/watch?v=Bkd2mjB-8eI"
10874,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 1: Ultimate Guide to Sketchbooks and Paper","5 Pencil Sharpening Techniques for Pros","https://www.youtube.com/watch?v=rWUYuDlXUoY"
10875,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 2: Mastering Pencils","Improve Shape Design by Simplifying","https://www.youtube.com/watch?v=X2yunBkdQfE"
10876,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 2: 5 Pencil Sharpening Techniques for Pros","Simple Trick to Improve Your Shading","https://www.youtube.com/watch?v=t1Oy4EYjlT8"
10877,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 2: Improve Shape Design by Simplifying","13 Types of Lines and How to Use Them","https://www.youtube.com/watch?v=mysAqNK6CHI"
10878,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 2: Simple Trick to Improve Your Shading","How to Draw Confident Lines - The Tapered Stroke","https://www.youtube.com/watch?v=xZYpXKqY4iA"
10879,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 3: The Power of Lines","Learning to Sketch from Imagination","https://www.youtube.com/watch?v=-Ww0BXehQ5E"
10880,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 3: 13 Types of Lines and How to Use Them","Too Tense with Your Sketches? Here’s How to Stay Loose","https://www.youtube.com/watch?v=6mUELtAliPU"
10881,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 3: How to Draw Confident Lines - The Tapered Stroke","6 Habits for Good Line Quality","https://www.youtube.com/watch?v=lTslVOUJ0jI"
10882,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 3: 6 Habits for Good Line Quality","How to Draw with Line Weight","https://www.youtube.com/watch?v=7m3wGbPMSUY"
10883,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 4: Line Weight and Sketching","Line Weight Communicates So Much More Than You Think","https://www.youtube.com/watch?v=KF32FMVvIxk"
10884,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 4: How to Draw with Line Weight","Doing THIS Made My Line Quality Improve Drastically","https://www.youtube.com/watch?v=ULvovwwAFLk"
10885,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 4: Line Weight Communicates So Much More Than You Think","7 Ways Simple Shapes Can Improve Your Drawings","https://www.youtube.com/watch?v=Uigc8ofhDuo"
10886,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 4: Doing THIS Made My Line Quality Improve Drastically","How to Draw Accurate Proportions","https://www.youtube.com/watch?v=1J7RQvKnWf4"
10887,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 5: Mastering Shapes","Shape Hacks - How to Draw Interesting Shapes","https://www.youtube.com/watch?v=ID8r0OhiYe0"
10888,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 5: 7 Ways Simple Shapes Can Improve Your Drawings","THIS Improves Your Gesture Drawing","https://www.youtube.com/watch?v=2fl5LYouyoY"
10889,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 5: How to Draw Accurate Proportions","3 Basic Shapes and Their IMPACT on Your Art","https://www.youtube.com/watch?v=h9qGMVRdn4Q"
10890,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 5: Shape Hacks - How to Draw Interesting Shapes","Draw ANY Pose From ANY Angle","https://www.youtube.com/watch?v=QNYZ_NsTc24"
10891,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 6: Gesture Drawing and 3D Forms","How to Draw Arms and Legs From Any Angle","https://www.youtube.com/watch?v=FyZYTVn0zYU"
10892,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 6: THIS Improves Your Gesture Drawing","The Easy Way to Draw Hard Poses","https://www.youtube.com/watch?v=c_0xzTOAjs0"
10893,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 6: 3 Basic Shapes and Their IMPACT on Your Art","Thinking in 3D","https://www.youtube.com/watch?v=oUIkswy_sXo"
10894,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 6: Draw ANY Pose From ANY Angle","Perspective for Beginners","https://www.youtube.com/watch?v=BYlW8XC0MlI"
10895,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 7: Anatomy and Poses","Two-Point Perspective Drawing Made Simple","https://www.youtube.com/watch?v=9-Y4K4hqZwo"
10896,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 7: How to Draw Arms and Legs From Any Angle","How to Draw 3D Heads with Perspective","https://www.youtube.com/watch?v=HleWk-vemLs"
10897,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 7: The Easy Way to Draw Hard Poses","X-ray Perspective Drawing Techniques","https://www.youtube.com/watch?v=QonjtiJdk7w"
10898,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 7: Thinking in 3D","The Truth About Perspective","https://www.youtube.com/watch?v=50XAa3AOihc"
10899,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 8: Perspective Fundamentals","How to Draw Cylinders and Ellipses","https://www.youtube.com/watch?v=PdtDtGBu-Dc"
10900,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 8: Perspective for Beginners","An Easier Way to Draw Perspective","https://www.youtube.com/watch?v=ZMuoU_NWmlE"
10901,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 8: Two-Point Perspective Drawing Made Simple","4 Weeks to Better Perspective Drawing","https://www.youtube.com/watch?v=HxHkZZims3c"
10902,"Graphic Design","Drawing Basics | Proko","","12th","English/Hindi","Module 8: How to Draw 3D Heads with Perspective","6 Ways to Add Gesture to Perspective","https://www.youtube.com/watch?v=FdDGB3J85Kg"
