Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
8511,Healthcare Management,4.1 - Epidemiology,78hrs 22min,12th,English/Hindi,Module 1: Introduction to Epidemiology,"Endemic, Epidemic, Pandemic & Sporadic | PSM lecture | Community Medicine lecture | PSM made easy",https://www.youtube.com/watch?v=NLMSPJDMeq4
8512,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 1: Introduction to Epidemiology,Steps of Investigation of an Epidemic | PSM lecture | Community Medicine lecture | PSM made easy,https://www.youtube.com/watch?v=FsFG3D3DGVY
8513,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 1: Introduction to Epidemiology,Case Control Study | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=WDhCW2wddus
8514,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 1: Introduction to Epidemiology,Cohort study | PSM lectures | Community Medicine lectures | Arpit | PSM made easy | PSM revision,https://www.youtube.com/watch?v=NM1S3X-10rQ
8515,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 2: Observational Studies,Difference between Case Control study and Cohort study | PSM lecture | Community Medicine lecture,https://www.youtube.com/watch?v=JWDeyZYhyGY
8516,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 2: Observational Studies,Cross Sectional Study | PSM lecture | Community Medicine lecture | PSM made easy | PSM revision,https://www.youtube.com/watch?v=zSdPxyTsZIY
8517,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 2: Observational Studies,Nested Case Control Study | PSM lecture | Community Medicine lecture | PSM made easy | Arpit,https://www.youtube.com/watch?v=MNi64gpKqhc
8518,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 2: Observational Studies,Ecological study | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=gvYsEzc7oXk
8519,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 3: Experimental and Other Study Designs,Case Series Study | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=s9U4_S_MhRE
8520,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 3: Experimental and Other Study Designs,Study designs | Case Control Study | Cohort Study | PSM lecture | Community Medicine lecture | Arpit,https://www.youtube.com/watch?v=CPrcGiSRGV0
8521,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 3: Experimental and Other Study Designs,RCT Randomized Control Trial | Experimental Epidemiology | PSM lecture | Community Medicine lecture,https://www.youtube.com/watch?v=1HkJjLKnLIE
8522,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 3: Experimental and Other Study Designs,Clinical trials | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=4ZdQTmhNb1M
8523,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 4: Bias and Confounding,Meta- analysis | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=aNW8w6fPMvE
8524,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 4: Bias and Confounding,Bias | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision | Arpit,https://www.youtube.com/watch?v=W40BZ9P-gfQ
8525,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 4: Bias and Confounding,Blinding | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapidrevision | Arpits,https://www.youtube.com/watch?v=x1yW6iO8qUY
8526,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 4: Bias and Confounding,Confounding | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision | Arpit,https://www.youtube.com/watch?v=IGQngXLq1YE
8527,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 5: Applications of Epidemiology,Matching | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision | Arpit,https://www.youtube.com/watch?v=lMslMjeYTik
8528,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 5: Applications of Epidemiology,Standardization of Death Rate | PSM lecture | Community Medicine lecture | PSM made easy | Arpit,https://www.youtube.com/watch?v=k8NJ-qTQ_Nc
8529,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 5: Applications of Epidemiology,Association | Causation | PSM lecture | Community Medicine lecture | PSM made easy | PSM  Rivision,https://www.youtube.com/watch?v=YuUdNGVlWCA
8530,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 5: Applications of Epidemiology,Uses of Epidemiology | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=A2zZlbiNgfU
8531,Healthcare Management,4.1 - Epidemiology,,12th,English/Hindi,Module 5: Applications of Epidemiology,International Death Certificate | IDC | PSM lecture | Community Medicine lecture | PSM made easy,https://www.youtube.com/watch?v=2i2xPQYg3qo
