Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
8855,Healthcare Management,Managed care,127hrs 12min,12th,English/Hindi,Module 1: Introduction to Managed Care Pharmacy,Is managed care pharmacy worth it? | Pharmacy Podcast,https://www.youtube.com/watch?v=1prqzyN8jEk
8856,Healthcare Management,Managed care,,12th,English/Hindi,Module 1: Pioneers and Perspectives in Managed Care,Pharmacy Managed Care and PBM Pioneers,https://www.youtube.com/watch?v=l7AdRZwz06c
8857,Healthcare Management,Managed care,,12th,English/Hindi,Module 1: Understanding Managed Care Basics,A Unique View Into Managed Care Pharmacy,https://www.youtube.com/watch?v=eYA7F0OVQnI
8858,Healthcare Management,Managed care,,12th,English/Hindi,Module 1: Comparing Healthcare Plans,"Emerging Areas For A Successful Pharmacy Career – Specialty Pharmacy, Pharmacogenomics, Informatics",https://www.youtube.com/watch?v=lgM9t9TcXvo
8859,Healthcare Management,Managed care,,12th,English/Hindi,Module 2: Impact and Evolution of Managed Care,Managed Care 101,https://www.youtube.com/watch?v=OJ5P9-G_7lQ
8860,Healthcare Management,Managed care,,12th,English/Hindi,Module 2: Exploring Career Paths in Pharmacy,The Economics of Healthcare: Crash Course Economics #29,https://www.youtube.com/watch?v=cbBKoyjFLUY
8861,Healthcare Management,Managed care,,12th,English/Hindi,Module 2: Economic Principles of Healthcare,Managed Care,https://www.youtube.com/watch?v=q-GpgceQo5Q
8862,Healthcare Management,Managed care,,12th,English/Hindi,Module 3: Managed Care vs. Managed Costs,Managed Care vs Managed Costs,https://www.youtube.com/watch?v=G51B2b3o9dA
8863,Healthcare Management,Managed care,,12th,English/Hindi,Module 3: Medicaid Managed Care,"What Are The Differences Between HMO, PPO, And EPO Health Plans NEW",https://www.youtube.com/watch?v=AUmuJIe86dk
8864,Healthcare Management,Managed care,,12th,English/Hindi,Module 3: Medicaid Managed Care,managed care organizations,https://www.youtube.com/watch?v=BrLLODxDCWc
8865,Healthcare Management,Managed care,,12th,English/Hindi,Module 3: Medicaid Managed Care,Medicaid Managed Care: The Provider Impact,https://www.youtube.com/watch?v=QCgcQlB9i0Q
8866,Healthcare Management,Managed care,,12th,English/Hindi,Module 3: Medicaid Managed Care,Evolution of Managed Care,https://www.youtube.com/watch?v=3uTvV4W7OVU
