Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
8646,Healthcare Management,Power Quality Improvement Technique,5hrs 15min,12th,English/Hindi,Module 1: Introduction to Power Quality,Power Quality Improvement Technique,https://www.youtube.com/watch?v=z_E8uvhTrwY
8647,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 1: Introduction to Power Quality,Lecture 1: Introduction,https://www.youtube.com/watch?v=x3rmrSof2W8
8648,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 1: Introduction to Power Quality,Lecture 02 :Overview,https://www.youtube.com/watch?v=XwB33QdNAnA
8649,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 1: Introduction to Power Quality,Lecture 03 : Overview II,https://www.youtube.com/watch?v=SGpXDuvi_X8
8650,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 2: Sources of Poor Power Quality,Lecture 04 : Overview III,https://www.youtube.com/watch?v=j16pYe3KIM4
8651,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 2: Sources of Poor Power Quality,Lecture 05: Source of Poor Power quality,https://www.youtube.com/watch?v=iwD1yuAf5P4
8652,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 06: Source of Poor Power quality - II,https://www.youtube.com/watch?v=6TdMq9RlM9A
8653,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 07 : AC Power Quality Standard,https://www.youtube.com/watch?v=AQkobcPO6eo
8654,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 08: Improvement of Power Factor By Capacitor,https://www.youtube.com/watch?v=MxXKxkST9lU
8655,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 09: Passive Filter,https://www.youtube.com/watch?v=nBhp42Z35VE
8656,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 4: Passive Filter Design,Lecture 10: Passive Filter - II,https://www.youtube.com/watch?v=zMPxS4Hl3Jw
8657,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 4: Passive Filter Design,Lecture 11:Passive Filter Design,https://www.youtube.com/watch?v=tKPiS__Uo8s
8658,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 4: Passive Filter Design,Lecture  12: Passive Filter Design -II,https://www.youtube.com/watch?v=MULuZsULdB4
8659,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 5: PWM Rectifiers,Lecture 13: PWM Rectifier,https://www.youtube.com/watch?v=ajLM59ZqvZA
8660,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 5: PWM Rectifiers,Lecture 14: PWM Rectifier -II,https://www.youtube.com/watch?v=96zf4DfLCxQ
8661,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 5: PWM Rectifiers,Lecture 15: PWM Rectifier -III,https://www.youtube.com/watch?v=-mk1ogePTac
8662,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 6: Three Phase Converters,Lecture 16:Three Phase Converter,https://www.youtube.com/watch?v=pfmiEP4cOxQ
8663,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 6: Three Phase Converters,Lecture 17: Three phase Converters- II and Multipulse  Converters,https://www.youtube.com/watch?v=r-aMpiyjKQY
8664,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 6: Three Phase Converters,Lecture 18: Three phase Converter III and Multipulse Converters,https://www.youtube.com/watch?v=mljPPs5Cl54
8665,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 7: Multilevel Inverters,Lecture  19: VSI and CSI,https://www.youtube.com/watch?v=GSpH3s6K0Ic
8666,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 7: Multilevel Inverters,Lecture 20: Multilevel Inverter,https://www.youtube.com/watch?v=vKKO7uPe6fI
8667,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 7: Multilevel Inverters,Lecture 21:Multilevel Inverter II,https://www.youtube.com/watch?v=ObKTbs0RmrI
8668,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture 22: Multilevel Inverter -  III,https://www.youtube.com/watch?v=5_LCLoAahD4
8669,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture  23: PWM for Voltage Source Inverter,https://www.youtube.com/watch?v=Z8xkU0QLCvM
8670,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture 24: PWM for Voltage Source Inverter-II,https://www.youtube.com/watch?v=57U8-Cc89Pc
8671,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture 25: PWM for Voltage Source Inverter -III,https://www.youtube.com/watch?v=oJCSoYDdGRw
8672,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 26: PWM for Voltage Source Inverter -IV,https://www.youtube.com/watch?v=yxxQaogL8Fs
8673,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 27: Operation and Control of grid Connected VSC,https://www.youtube.com/watch?v=nClZct8Vmw4
8674,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 28: Grid Connected VSC with Inner Current Control,https://www.youtube.com/watch?v=Ul1cDojt2HI
8675,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 29: Shunt Active Power Filter,https://www.youtube.com/watch?v=WCo_nyjPuI8
8676,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 10: Hybrid Active Power Filters,Lecture 30: Shunt Active Power Filter -II,https://www.youtube.com/watch?v=bbWFpASs41k
8677,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 10: Hybrid Active Power Filters,Lecture 31: Shunt  Active Power Filter III,https://www.youtube.com/watch?v=SMOQdcgAkWM
8678,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 10: Hybrid Active Power Filters,Lecture 32: Shunt Active Power Filter- IV,https://www.youtube.com/watch?v=63EorzQMc4Y
8679,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 33: Hybrid Active Power Filter,https://www.youtube.com/watch?v=TK0LJ_x9NaY
8680,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 34: Hybrid Active Power Filter -II,https://www.youtube.com/watch?v=xxnJZLMa37Y
8681,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 35 : Hybrid Shunt Active Power Filter,https://www.youtube.com/watch?v=vVwNEQG9uLY
8682,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 36: UPQC Introduction and Classification,https://www.youtube.com/watch?v=NYPHGZtHF0c
8683,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 37:  UPQC Classification,https://www.youtube.com/watch?v=t0ufVQMGfWc
8684,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 38 : Operational and Control UPQC,https://www.youtube.com/watch?v=04OTo_VMDDg
8685,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 39: Control of UPQC,https://www.youtube.com/watch?v=d9QOT8Uembg
8686,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 40: Conclusion,https://www.youtube.com/watch?v=ZSw8BFXXots
