"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
3681,"Hospitality Management","FUNDAMENTALS OF TOURISM","0hrs 238min","12th","English/Hindi","Module 1: Introduction to Tourism","INTRODUCTION TO TOURISM (DEFINTION, MEANING AND ORIGIN)","https://www.youtube.com/watch?v=9J0y-t0KgEw"
3682,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 1: Introduction to Tourism","HISTORICAL BACKGROUND OF TOURISM","https://www.youtube.com/watch?v=3XTQhvToEi8"
3683,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 1: Introduction to Tourism","COLLEGES OFFERING TOURISM COURSES","https://www.youtube.com/watch?v=a1VRFT5RESw"
3684,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 1: Introduction to Tourism","JOBS IN TOURISM SECTOR","https://www.youtube.com/watch?v=Oei3Jel2BoI"
3685,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 2: Components of Tourism","COMPONENTS OF TOURISM (5A's)- PART 1","https://www.youtube.com/watch?v=46JedFgb9kw"
3686,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 2: Components of Tourism","COMPONENTS OF TOURISM (5A's) PART 2","https://www.youtube.com/watch?v=oUK4IfFlanA"
3687,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 2: Components of Tourism","TYPES OF TOURISM- PART 2","https://www.youtube.com/watch?v=LhVKbO6P3Ng"
3688,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 3: Types of Tourism","TYPES OF TOURISM PART 1","https://www.youtube.com/watch?v=dh2_ogUcfOc"
3689,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 3: Types of Tourism","TYPES OF TOURISM PART 1","https://www.youtube.com/watch?v=dh2_ogUcfOc"
3690,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 3: Types of Tourism","TYPES OF TOURISM- PART 3","https://www.youtube.com/watch?v=F1wX5BzMrfY"
3691,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 3: Types of Tourism","TYPES OF TOURISM- PART 3","https://www.youtube.com/watch?v=F1wX5BzMrfY"
3692,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 4: Tourism Organizations","TOURISM ORGANISATIONS IN INDIA","https://www.youtube.com/watch?v=SgUSJ1ZseaQ"
3693,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 4: Tourism Organizations","TOURISM ORGANISATIONS IN INDIA","https://www.youtube.com/watch?v=SgUSJ1ZseaQ"
3694,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 4: Tourism Organizations","TOURISM ORGANISATIONS IN INDIA","https://www.youtube.com/watch?v=SgUSJ1ZseaQ"
3695,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 4: Tourism Organizations","GLOBAL TOURISM ORGANISATIONS","https://www.youtube.com/watch?v=CSJtENEfWQU"
3696,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 5: Tourism Concepts & Theories","TERMINOLOGIES IN TOURISM","https://www.youtube.com/watch?v=X-neoni0wE8"
3697,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 5: Tourism Concepts & Theories","TERMINOLOGIES IN TOURISM","https://www.youtube.com/watch?v=X-neoni0wE8"
3698,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 5: Tourism Concepts & Theories","TOURISM THEORIES","https://www.youtube.com/watch?v=c-W6tfIkzBs"
3699,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 5: Tourism Concepts & Theories","TOURISM THEORIES","https://www.youtube.com/watch?v=c-W6tfIkzBs"
3841,"Hospitality Management","FUNDAMENTALS OF TOURISM","0hrs 238min","12th","English/Hindi","Module 1: Introduction to Tourism","INTRODUCTION TO TOURISM (DEFINTION, MEANING AND ORIGIN)","https://www.youtube.com/watch?v=9J0y-t0KgEw"
3842,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 1: Introduction to Tourism","HISTORICAL BACKGROUND OF TOURISM","https://www.youtube.com/watch?v=3XTQhvToEi8"
3843,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 1: Introduction to Tourism","COLLEGES OFFERING TOURISM COURSES","https://www.youtube.com/watch?v=a1VRFT5RESw"
3844,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 1: Introduction to Tourism","JOBS IN TOURISM SECTOR","https://www.youtube.com/watch?v=Oei3Jel2BoI"
3845,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 2: Components of Tourism","COMPONENTS OF TOURISM (5A's)- PART 1","https://www.youtube.com/watch?v=46JedFgb9kw"
3846,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 2: Components of Tourism","COMPONENTS OF TOURISM (5A's) PART 2","https://www.youtube.com/watch?v=oUK4IfFlanA"
3847,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 2: Components of Tourism","TYPES OF TOURISM- PART 2","https://www.youtube.com/watch?v=LhVKbO6P3Ng"
3848,"Hospitality Management","FUNDAMENTALS OF TOURISM","","12th","English/Hindi","Module 3: Types of Tourism","TYPES OF TOURISM PART 1","https://www.youtube.com/watch?v=dh2_ogUcfOc"
