"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
4587,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","72hrs 21min","12th","English/Hindi","Module 1: Introduction to SHRM","SHRM: Adding Value Through People","https://www.youtube.com/watch?v=JzHmdrR0iyA"
4588,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 1: The Evolving Role of HR","Strategic HR vs. Traditional HR","https://www.youtube.com/watch?v=wcOzf3MhRNQ"
4589,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 1: SHRM in the 21st Century","Strategic Selection","https://www.youtube.com/watch?v=SEBjkJ0f1K0"
4590,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 1: Strategic HR vs. Traditional HR","Manpower Development and Career Concerns","https://www.youtube.com/watch?v=eYQm6bMYcgY"
4591,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 2: Strategic HR Planning","Downsizing","https://www.youtube.com/watch?v=_W4lFWEtdFw"
4592,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 2: Techniques of Strategic HR Planning","Techniques of Strategic HR Planning","https://www.youtube.com/watch?v=TPWncBWfMcw"
4593,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 2: Linking HRM to Business Strategy","Performance Evaluation","https://www.youtube.com/watch?v=qOY4-RvQeTQ"
4594,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 2:  Human Resource Strategy Options","External Business Environment & SHRM","https://www.youtube.com/watch?v=1vSUs3pn-tc"
4595,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 3: Strategic Selection","The Context of SHRM","https://www.youtube.com/watch?v=zawKdFn84KM"
4596,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 3: Strategic Approach to Manpower Acquisition","Introduction: SHRM in 21st Century","https://www.youtube.com/watch?v=gDkyyVp6iqI"
4597,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 3: Strategic Recruitment","Linking HRM to Business Strategy","https://www.youtube.com/watch?v=Bi5--CVWMTI"
4598,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 3: Manpower Development and Career Concerns","The Evolving/Strategic Role of Human Resources","https://www.youtube.com/watch?v=BkSIqkrMN_A"
4599,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 4: Training and Development","Development of Human Resources","https://www.youtube.com/watch?v=OCyIEHYlbis"
4600,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 4: Performance Evaluation","Human Resource Strategy Options","https://www.youtube.com/watch?v=I7V9Ouz9doE"
4601,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 4: Strategic Management of Performance","Objectives of Strategic HR Management","https://www.youtube.com/watch?v=6Uq2WOd64SM"
4602,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 4: Relevance of Performance Management","Strategic Approach to Manpower Acquisition","https://www.youtube.com/watch?v=oH84uU5d5Jw"
4603,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 5: Compensation and Benefits","Strategic Recruitment","https://www.youtube.com/watch?v=7gDbmCAsTQc"
4604,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 5: Financial and Non-financial Compensation","Financial and Non-financial Compensation","https://www.youtube.com/watch?v=DbFAYulB028"
4605,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 5: Basis for Pay-Internal and External Equity","Strategic Management of Performance","https://www.youtube.com/watch?v=5FY0Y37Zsjc"
4606,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 5: Strategic Linking of Compensation","Training and Development","https://www.youtube.com/watch?v=UflUHARALyE"
4607,"Human Resource Management","HRM: P13- Strategic Human Resource Management (e-PGP)","","12th","English/Hindi","Module 6: Employee Relations","Outsourcing","https://www.youtube.com/watch?v=Qy00z3Whjx8"
