Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
4625,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),34hrs 8min,12th,English/Hindi,Module 1: Introduction to International HRM,"1| International Human Resource Management, IHRM, international HRM, mba lectures, mba classes",https://www.youtube.com/watch?v=cZip3IoqTA0
4626,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 1: International HRM vs. Domestic HRM,"2| International Human Resource Planning, Organizational Structure and HRM, IHRM, aktu mba",https://www.youtube.com/watch?v=zAVQIa73Fi8
4627,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 1: Models of IHRM,"3| International Human Resource management, Staffing, Recruitment, Global Staffing Practices, mba",https://www.youtube.com/watch?v=qlhNyLSvbnY
4628,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 1: International HR Planning,"4| International Human Resource management, expatriate, international transfer, repatriate, training",https://www.youtube.com/watch?v=AXRAsYlp7yc
4629,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 2: International Recruitment & Staffing,"5| International Human Resource management, Global Compensation Practices, Compensation structure",https://www.youtube.com/watch?v=jAHtRPdI3Ng
4630,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 2: Global Staffing Practices,"6| International Industrial Relations, Industrial Relations, International human, IHRM, aktu mba",https://www.youtube.com/watch?v=o2LhEjemsS8
4631,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 2: Expatriate Management,"7| Trade Unions, Global Unions, Global union in ihrm, International human resource, IHRM, aktu mba",https://www.youtube.com/watch?v=kRJxr7kaxCQ
4632,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 3: International Compensation & Benefits,"8| International Labour Standards, ILO, International Strategic Human Resource Management, Regional",https://www.youtube.com/watch?v=7-XKIw4WGM0
4633,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 3: Global Compensation Practices,"9| emerging trends in international HRM, HR issues in MNCs, IR issues in mnc, IHRM, international",https://www.youtube.com/watch?v=VJrCwHrE4Lc
4634,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 4: International Industrial Relations & Labor Standards,"10| Sensitivity to cultural diversity, convergence, divergence, employee trends in employee relation",https://www.youtube.com/watch?v=BkpBW8L_Jf0
4635,Human Resource Management,International Human Resource Management IHRM (Dwivedi Guidance),,12th,English/Hindi,Module 4: Cultural Diversity and Sensitivity in IHRM,"CSR, Corporate Social Responsibility, CSR Committee Function, Schedule VII, Strategic Management mba",https://www.youtube.com/watch?v=AzHaDKZ-iiI
