Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
4555,Human Resource Management,Organizational Development [Extended],14hrs 22min,12th,English/Hindi,Module 1: Introduction to Organization Development,What is Organization Development?,https://www.youtube.com/watch?v=8KzoLo7mw7o
4556,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 1: What is Organization Development?,History of Organization Development,https://www.youtube.com/watch?v=Fx1Ab1Asp6o
4557,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 1: History of Organization Development,Ethics of Organization Development,https://www.youtube.com/watch?v=rqq6A3l3fDY
4558,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 1: Ethics of Organization Development,Foundations of Organizational Change,https://www.youtube.com/watch?v=okkIn0orhJE
4559,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 2: Foundations of Change,Organization Development Consulting,https://www.youtube.com/watch?v=mm7McNa2oVg
4560,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 2: Foundations of Organizational Change,Entry and Contracting,https://www.youtube.com/watch?v=0DTqd6EkLQQ
4561,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 2: Organization Development Consulting,Data Gathering,https://www.youtube.com/watch?v=lXnQct-zx4M
4562,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 2: Entry and Contracting,Diagnosis and Feedback,https://www.youtube.com/watch?v=91WLVmyJQK4
4563,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 3: Diagnosis and Intervention,Introduction to Interventions,https://www.youtube.com/watch?v=nhGRLycM2CQ
4564,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 3: Data Gathering,Individual Interventions,https://www.youtube.com/watch?v=bck57tZC3BE
4565,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 3: Diagnosis and Feedback,Multiple Organization Interventions,https://www.youtube.com/watch?v=C9V7hGv93hE
4566,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 3: Introduction to Interventions,Organizational Culture and Design Intervention,https://www.youtube.com/watch?v=MJ7kqSil7-8
4567,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 4: Implementing and Sustaining Change,Sustaining Change After the Intervention,https://www.youtube.com/watch?v=WR9j97mfcAE
4568,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 4: Individual Interventions,Team Interventions,https://www.youtube.com/watch?v=p05MwG0ranA
4569,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 4: Multiple Organization Interventions,Global Issues in Organizational Development,https://www.youtube.com/watch?v=HVEgyJktV6g
4570,Human Resource Management,Organizational Development [Extended],,12th,English/Hindi,Module 4: Organizational Culture and Design Intervention,The Future of Organization Development,https://www.youtube.com/watch?v=v0ezxwakX0k
