"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
4455,"Human Resource Management","Strategic Performance Management","77hrs 1min","12th","English/Hindi","Module 1: Introduction to Performance Management","Lecture 1 Introduction to Performance management","https://www.youtube.com/watch?v=OFwFznQ2e6w"
4456,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 1: Aim and Purpose of Performance Management","Lecture 2 Aim and purpose of performance management","https://www.youtube.com/watch?v=hZY7vC2R28g"
4457,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 1: Characteristics of an Effective PM System","Lecture 3 Characteristics of an effective PM system","https://www.youtube.com/watch?v=ygvk-x-1qlo"
4458,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 1: Performance Management Process","Lecture 4 Performance Management Process","https://www.youtube.com/watch?v=Zb-dl5SPL-w"
4459,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 2: Role of PM in Employee Development","Lecture 5 Role of PM in employee development and identification of Key performance areas","https://www.youtube.com/watch?v=VkysKyPygtY"
4460,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 2: Identification of Key Performance Areas","Lecture 6 Understanding performance planning","https://www.youtube.com/watch?v=yWTl3Qhoy0c"
4461,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 2: Understanding Performance Planning","Lecture 7 Strategic Planning and performance","https://www.youtube.com/watch?v=YXJa_-J1lPU"
4462,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 2: Strategic Planning and Performance","Lecture 8 Strategic planning and performance(2)","https://www.youtube.com/watch?v=vCBBvgb4gLc"
4463,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 3: Strategic Planning and Performance (2)","Lecture 9 Strategic planning and performance(3)","https://www.youtube.com/watch?v=BDjTweyK5FE"
4464,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 3: Strategic Planning and Performance (3)","lecture 10: Strategy and performance alignment","https://www.youtube.com/watch?v=tTaW2HGun8k"
4465,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 3: Strategy and Performance Alignment","Lecture 11 : Performance dimensions: Task and context","https://www.youtube.com/watch?v=8FNO1V03vSk"
4466,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 3: Performance Dimensions: Task and Context","Lecture 12 : Behavior, result and trait approach system","https://www.youtube.com/watch?v=paH8yZ2lxUg"
4467,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 4: Behavior, Result, and Trait Approach System","Lecture 13 : Measuring behavior and results","https://www.youtube.com/watch?v=vHH_flkSmDc"
4468,"Human Resource Management","Strategic Performance Management","","12th","English/Hindi","Module 4: Measuring Behavior and Results","Lecture 14 : Measurement system","https://www.youtube.com/watch?v=NAyFVd2WzBU"
