Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11542,Human Resources,Conflict Resolution,13hrs 5min,12th,English/Hindi,Module 1: Introduction to Conflict,MGMT 313: Mean girls clips Problem Solving & Creativity,https://www.youtube.com/watch?v=DkzG0TwS1vw
11543,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 1: Introduction to Conflict,Everybody Loves Raymond Uses Active Listening - from Parent Effectiveness Training,https://www.youtube.com/watch?v=4VOubVB4CTU
11544,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 1: Introduction to Conflict,Conflict management sample clip Hunger Games,https://www.youtube.com/watch?v=uATmPPnUuVE
11545,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 1: Introduction to Conflict,Conflict management sample clip Despicable Me,https://www.youtube.com/watch?v=EPQjUJFVFC4
11546,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 2: Communication and Conflict,The Sum of All Fears (1/9) Movie CLIP - Everyone Has Opinions (2002) HD,https://www.youtube.com/watch?v=8GPu-oZ4p64
11547,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 2: Communication and Conflict,Conflict Resolution - The Waterboy,https://www.youtube.com/watch?v=_ZpDnXYIFjo
11548,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 2: Communication and Conflict,The Break-Up (8/10) Movie CLIP - Mediation (2006) HD,https://www.youtube.com/watch?v=yiZpb7GPLYs
11549,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 3: Conflict Resolution Strategies,Conflict Resolution,https://www.youtube.com/watch?v=KY5TWVz5ZDU
11550,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 3: Conflict Resolution Strategies,How To Deal With Conflict,https://www.youtube.com/watch?v=QLbGHQo4qnA
11551,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 3: Conflict Resolution Strategies,How I Met Your Mother -- Where Will The TV Go?,https://www.youtube.com/watch?v=ewD7nAYntOo
11552,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 4: Conflict in Relationships,Billy Madison (2/9) Movie CLIP - Billy Mocks a Third Grader (1995) HD,https://www.youtube.com/watch?v=KIAzalQUui4
11553,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 4: Conflict in Relationships,Billy Madison (3/9) Movie CLIP - Billy Has a Cursive Problem (1995) HD,https://www.youtube.com/watch?v=o7WSgC9oGic
11554,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 4: Conflict in Relationships,What a Girl Wants (2/9) Movie CLIP - I'm Your Daughter (2003) HD,https://www.youtube.com/watch?v=y6i9UH65q2g
11555,Human Resources,Conflict Resolution,,12th,English/Hindi,Module 4: Conflict in Relationships,Most Explosive Couple Fights! | 90 Day Fiancé,https://www.youtube.com/watch?v=cx9OjiG-y5Y
