Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11442,Human Resources,Employee Engagement,3hrs 21min,12th,English/Hindi,Module 1: Understanding Employee Engagement,What Makes Gallup’s Q12 the Best Employee Engagement Survey?,https://www.youtube.com/watch?v=RFlDM8a_9mk
11443,Human Resources,Employee Engagement,,12th,English/Hindi,Module 1: Understanding Employee Engagement,Why is Employee Engagement Important?,https://www.youtube.com/watch?v=KZjKY9I6UYE
11444,Human Resources,Employee Engagement,,12th,English/Hindi,Module 1: Understanding Employee Engagement,What Is Gallup’s Q12 Employee Engagement Survey,https://www.youtube.com/watch?v=VMYAuk1fdtQ
11445,Human Resources,Employee Engagement,,12th,English/Hindi,Module 2: The Impact of Work Environment and Resources,Why Work Expectations are Integral to Employee Engagement,https://www.youtube.com/watch?v=6_t6JPGkqZY
11446,Human Resources,Employee Engagement,,12th,English/Hindi,Module 2: The Impact of Work Environment and Resources,How Work Equipment and Materials Impact Employee Engagement,https://www.youtube.com/watch?v=XMwR3sqIph4
11447,Human Resources,Employee Engagement,,12th,English/Hindi,Module 3: Fostering a Positive and Supportive Workplace,Why Recognition Improves Employee Engagement,https://www.youtube.com/watch?v=oUnSQZKLn_E
11448,Human Resources,Employee Engagement,,12th,English/Hindi,Module 3: Fostering a Positive and Supportive Workplace,How Gallup’s Q12 Survey Drives Organizational Performance,https://www.youtube.com/watch?v=2-UjtG688y8
11449,Human Resources,Employee Engagement,,12th,English/Hindi,Module 3: Fostering a Positive and Supportive Workplace,How to Give Your Employees the Opportunity to Use Their Strengths,https://www.youtube.com/watch?v=FmqnYmbW68s
11450,Human Resources,Employee Engagement,,12th,English/Hindi,Module 4: Empowering Employees for Growth and Development,How Caring for Employees Improves Employee Engagement,https://www.youtube.com/watch?v=wiRbcuJoAPc
11451,Human Resources,Employee Engagement,,12th,English/Hindi,Module 4: Empowering Employees for Growth and Development,Why Encouraging Employee Development Boosts Engagement,https://www.youtube.com/watch?v=GzcBO7svAkY
11452,Human Resources,Employee Engagement,,12th,English/Hindi,Module 4: Empowering Employees for Growth and Development,How Listening to Employees' Opinions Can Grow Engagement,https://www.youtube.com/watch?v=6DAX9tMn5Xw
11453,Human Resources,Employee Engagement,,12th,English/Hindi,Module 5: Aligning Work with Purpose and Growth,How to Connect Your Employee's Role to the Company Mission,https://www.youtube.com/watch?v=O7Cx49nr5v8
11454,Human Resources,Employee Engagement,,12th,English/Hindi,Module 5: Aligning Work with Purpose and Growth,How a Culture of Quality Work Boosts Employee Engagement,https://www.youtube.com/watch?v=DTVcgWddaBo
11455,Human Resources,Employee Engagement,,12th,English/Hindi,Module 5: Aligning Work with Purpose and Growth,Why Having a Best Friend at Work Improves Engagement,https://www.youtube.com/watch?v=asFTR-ueP9I
11456,Human Resources,Employee Engagement,,12th,English/Hindi,Module 6: Performance Management and Continuous Improvement,How Progress Reviews with Employees Can Improve Engagement,https://www.youtube.com/watch?v=06llMDVSvhQ
11457,Human Resources,Employee Engagement,,12th,English/Hindi,Module 6: Performance Management and Continuous Improvement,How Continuous Learning for Employees Boosts Engagement,https://www.youtube.com/watch?v=uX0zyaj5kKk
11458,Human Resources,Employee Engagement,,12th,English/Hindi,Module 7: Gallup Access Platform Demo,Gallup Access Platform Demo,https://www.youtube.com/watch?v=xKhlHyPxDcM
