Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11556,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,48hrs 4min,12th,English/Hindi,Module 1: Introduction to Job Analysis and Description,Job Analysis | Human Resource Management | Part-4 | Job Description | Meaning | BBA | B.Com | MBA,https://www.youtube.com/watch?v=dqaE5s7hQS4
11557,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 1: Introduction to Job Analysis and Description,Job Analysis | Job Description | Job specification | Part-5 | HRM | Meaning | BBA | B.Com | MBA,https://www.youtube.com/watch?v=HzIYfS9jUAc
11558,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 1: Introduction to Job Analysis and Description,Human Resource Planning | Human Resource Management | Part-6 | Meaning | Objective | BBA  B.Com MBA,https://www.youtube.com/watch?v=8rVrsL7u8Gs
11559,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 2: Human Resource Planning,Human Resource Planning | Human Resource Management | Part-7 | Meaning | Objective | BBA  B.Com MBA,https://www.youtube.com/watch?v=kyxXt68EIMw
11560,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 2: Human Resource Planning,Recruitment | Human Resource Management | Part-8 | Meaning | Sources | Objective | BBA | B.Com | MBA,https://www.youtube.com/watch?v=0OUGCS4bPZs
11561,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 3: Recruitment and Selection,Recruitment | Human Resource Management | Part-9 | Sources Of Recruitment | BBA | B.Com | MBA,https://www.youtube.com/watch?v=egIHGkq39WY
11562,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 3: Recruitment and Selection,Recruitment | Human Resource Management | Part-10 | Methods Of Recruitment | BBA | B.Com | MBA,https://www.youtube.com/watch?v=_aE_2LJJDOc
11563,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 3: Recruitment and Selection,Selection | Human Resource Management | Part-11 | Meaning | Selection Process | BBA | B.Com | MBA,https://www.youtube.com/watch?v=in1zHCJkFvQ
11564,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 4: Placement and Internal Mobility,Placement | Induction | Orientation | Human Resource Management | Part-12 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=83tdfS3TVWg
11565,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 4: Placement and Internal Mobility,Internal Mobility | Transfer | Promotion | Human Resource Management | Part-13 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=kVWY3sTeULM
11566,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 5: Employee Separation and Training,Promotion | Internal Mobility | Transfer | Human Resource Management | Part-14 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=ZpX5-QoDmn0
11567,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 5: Employee Separation and Training,Employee Separation | Resignation | Retirement | Retrenchment | Lay Off | Part-15| BBA | B.Com | MBA,https://www.youtube.com/watch?v=Ym1WvQB9aak
11568,Human Resources,Human Resource Management | Full Course | BBA | B.Com |MBA,,12th,English/Hindi,Module 5: Employee Separation and Training,Training | Purpose | Method | Types | Human Resource Management | Part-16 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=LFmWiY1VQJM
