Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11317,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",26hrs 23min,12th,English/Hindi,Module 1: Introduction to Trade Unions,Unit 1  Meaning and Objective of Trade Union,https://www.youtube.com/watch?v=2jnZeAyhg6c
11318,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 1: Introduction to Trade Unions,Definition and Registration,https://www.youtube.com/watch?v=CMwpX5VEpbU
11319,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 1: Introduction to Trade Unions,Rights of Trade Union,https://www.youtube.com/watch?v=9M8paMl3vUY
11320,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 2: Legal Framework of Trade Unions,Liabilities of Registered Trade Unions,https://www.youtube.com/watch?v=8kIBr8tdiaw
11321,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 2: Legal Framework of Trade Unions,Industrial Dispute Act 1947 objectives and causes,https://www.youtube.com/watch?v=3BTZDVSUm9Q
11322,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,"Module 3: The Industrial Disputes Act, 1947",The Industrial Disputes Act 1947,https://www.youtube.com/watch?v=0zFM-MHglrE
11323,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,"Module 3: The Industrial Disputes Act, 1947",ID Act  Industry in detail,https://www.youtube.com/watch?v=3igV1k3PFns
11324,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,"Module 3: The Industrial Disputes Act, 1947",ID Act  Strike and its types,https://www.youtube.com/watch?v=nIgqXyjzJS8
11325,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,"Module 3: The Industrial Disputes Act, 1947",Provisions related to strike,https://www.youtube.com/watch?v=hJHiLxLK1K0
11326,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 4: Dispute Resolution Mechanisms,ID Act Lockout in detail,https://www.youtube.com/watch?v=Lv6ipvi09Pk
11327,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 4: Dispute Resolution Mechanisms,ID Act Layoff and closure in details,https://www.youtube.com/watch?v=o2ruUgGtL8I
11328,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 4: Dispute Resolution Mechanisms,Retrenchment in detail,https://www.youtube.com/watch?v=BPuJqXF9S1Y
11329,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 4: Dispute Resolution Mechanisms,Works Committees/Conciliation Officers/Board of Conciliation,https://www.youtube.com/watch?v=Bi35E8EcIFs
11330,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 5: Collective Bargaining and Labour Law,Court of Inquiry/Labour Courts/Industrial Tribunal/National Tibunal,https://www.youtube.com/watch?v=yFRpMCyPFLw
11331,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 5: Collective Bargaining and Labour Law,"Reference of Disputes to Boards, Courts or Tribunals by AG",https://www.youtube.com/watch?v=61Di1NmxqUE
11332,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 5: Collective Bargaining and Labour Law,Unit 5/ Labor Law/LLB 3rd Year/3rd Semester/RTMNU,https://www.youtube.com/watch?v=onnEFSBHbQM
11333,Human Resources,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 5: Collective Bargaining and Labour Law,Collective Bargaining,https://www.youtube.com/watch?v=RGQGgglAEyQ
