Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
6790,Information Systems,Human Computer Interaction (HCI),34hrs 0min,12th,English/Hindi,Module 1: Introduction to Human Computer Interaction,HCI 1. 2 Introduction of Human Computer Interaction (HCI) (HCI Full course),https://www.youtube.com/watch?v=uB9LaBIAcRs
6791,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 1: Introduction to Human Computer Interaction,HCI 1. 3 Goals  of Human Computer Interaction | HCI Full Course,https://www.youtube.com/watch?v=IWlyZ1DLiIE
6792,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 1: Introduction to Human Computer Interaction,HCI 1. 4 Benefits & Functionalities of Human Computer Interaction | Good & Poor Designs,https://www.youtube.com/watch?v=A1cKfcVbNmw
6793,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 1: Introduction to Human Computer Interaction,HCI 1.5 Component's of Human Computer Interaction with Examples,https://www.youtube.com/watch?v=_v25vDViSlw
6794,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 2: Goals and Benefits of HCI,HCI 1.6 Multidisciplinary Fields in Human Computer Interaction,https://www.youtube.com/watch?v=NECAVHy4gYA
6795,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 2: Goals and Benefits of HCI,HCI 1.7  User Centered Design (UCD) Process with Examples,https://www.youtube.com/watch?v=dRIavYjuXek
6796,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 2: Goals and Benefits of HCI,HCI 1.8 Principles of Human Computer Interaction with Examples,https://www.youtube.com/watch?v=v__Yhk1U94k
6797,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 3: Components and Multidisciplinary Fields of HCI,HCI 2.1 Input Output Channel in Human Computer Interaction with Examples,https://www.youtube.com/watch?v=UzDUQNLolLE
6798,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 3: Components and Multidisciplinary Fields of HCI,HCI 2.2 Human Memory | Encoding & Retrieval Working | Model of Memory with Example,https://www.youtube.com/watch?v=Sv8AolXA3Vk
6799,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 4: User-Centered Design and Principles,"HCI 2.3 Type 1: Sensory Memory (Iconic, Echoic and Haptic Memory) with Examples",https://www.youtube.com/watch?v=mV5i4dIhjqs
6800,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 4: User-Centered Design and Principles,2.4 Type 2: Long Term Memory (Episodic & Semantic Memory) with Examples,https://www.youtube.com/watch?v=xDaPsr0Izeo
6801,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 5: Input-Output Channels and Human Memory,HCI 2.5 Type 3: Short Term Memory With Examples | Difference between Human Memories,https://www.youtube.com/watch?v=auI7TQBxyE4
6802,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 5: Input-Output Channels and Human Memory,HCI 2.6 General Factors Affecting on Human Memory with Examples,https://www.youtube.com/watch?v=emRS0rJmf5E
6803,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 5: Input-Output Channels and Human Memory,HCI 2.7 Human Emotions with Examples | Emotions Recognitions | HCI,https://www.youtube.com/watch?v=CbCpm3SIRWM
6804,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 6: Sensory and Long-Term Memory,HCI 2.8 Human Errors | Types | Sources | Safety with Examples | HCI,https://www.youtube.com/watch?v=NITIjFlGau4
6805,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 6: Sensory and Long-Term Memory,HCI 2.9 Individual Differences with Examples | Human Computer Interaction,https://www.youtube.com/watch?v=HJhx_jyXrDM
6806,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 7: Short-Term Memory and Factors Affecting Memory,HCI 2.10 Thinking & Reasoning  | Deductive | Inductive | Abductive Reasoning with Examples | HCI,https://www.youtube.com/watch?v=GAfvSQFApwM
6807,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 7: Short-Term Memory and Factors Affecting Memory,"HCI 2.11 Problem Solving (Gestalt, Problem Space & Analogy Theory) | Types with Examples | HCI",https://www.youtube.com/watch?v=WU111xfRWdU
6808,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 8: Human Emotions and Errors,"HCI 2.12 Psychology , Design & Career Goals in Human Computer Interaction",https://www.youtube.com/watch?v=90dSeG6TZhQ
6809,Information Systems,Human Computer Interaction (HCI),,12th,English/Hindi,Module 8: Human Emotions and Errors,HCI 3.1 Interaction in Human Computer Interaction | Interaction Goals | Scope | Design,https://www.youtube.com/watch?v=vd6q1ozonik
