"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
6846,"Information Systems","Knowledge Management","72hrs 6min","12th","English/Hindi","Module 1: Introduction to Knowledge Management","Introduction to KM","https://www.youtube.com/watch?v=xAuabdJcNss"
6847,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 1: Introduction to Knowledge Management (Contd.)","Introduction to KM (Contd.)","https://www.youtube.com/watch?v=zATytAbNhJQ"
6848,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 1: Why KM","Why KM","https://www.youtube.com/watch?v=bpB2D0QCFK0"
6849,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 1: KM System Life Cycle (KSLC)","KM System Life Cycle (KSLC)","https://www.youtube.com/watch?v=85ce8mWjBOs"
6850,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 2: Aligning KM and Business Strategy","Aligning KM and business strategy","https://www.youtube.com/watch?v=OFGdS_LDodI"
6851,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 2: Process and Models of KM Cycle","Process and models of KM cycle.","https://www.youtube.com/watch?v=FndGoL6-O_M"
6852,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 2: Process and Models of KM Cycle (CONTD)","Process and models of KM cycle(CONTD)","https://www.youtube.com/watch?v=Bl_ieE0cSyI"
6853,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 3: Knowledge Creation and Architecture","Knowledge creation and architecture.","https://www.youtube.com/watch?v=iEcs0t9hFM8"
6854,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 3: Capturing Tacit Knowledge","Capturing tacit knowledge","https://www.youtube.com/watch?v=_jhd1dJVebE"
6855,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 3: Capturing Tacit Knowledge (contd.)","Capturing tacit knowledge (contd.)","https://www.youtube.com/watch?v=r1hwbyAAn6M"
6856,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 4: Knowledge Codification","knowledge codification","https://www.youtube.com/watch?v=CLxS-jX28mA"
6857,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 4: Knowledge Codification (Contd.)","Knowledge codification (Contd.)","https://www.youtube.com/watch?v=6p0x31Wjmbg"
6858,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 4: System Development: System Testing and Deployment","System development: system testing and deployment","https://www.youtube.com/watch?v=By0Vdz6cdqU"
6859,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 5: System Development: System Testing and Deployment (cond.)","System development: system testing and deployment  (cond.)","https://www.youtube.com/watch?v=avMnK9FpZd0"
6860,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 5: Knowledge Transfer and Knowledge Sharing","Knowledge transfer and knowledge sharing","https://www.youtube.com/watch?v=ETliFlM_yhk"
6861,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 5: Knowledge Infrastructure","Knowledge Infrastructure","https://www.youtube.com/watch?v=BhCCav0tXnE"
6862,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 6: Knowledge Infrastructure (Contd.)","Knowledge Infrastructure (Contd.)","https://www.youtube.com/watch?v=yBAqNRyq_DM"
6863,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 6: Knowledge Audit","Knowledge Audit","https://www.youtube.com/watch?v=NUJ2zW9Zqbk"
6864,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 6: The Knowledge Team","The knowledge team","https://www.youtube.com/watch?v=PyViCiq4-vM"
6865,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 7: The Knowledge Team (contd.)","The knowledge team (contd.)","https://www.youtube.com/watch?v=L2J_k7wG_UI"
6866,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 7: Analysis, Design of KM System","Analysis, design of KM system","https://www.youtube.com/watch?v=B5H4Wgkpm3I"
6867,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 7: Analysis, Design of KM System (contd.)","Analysis, design of KM system (contd.)","https://www.youtube.com/watch?v=VMMYlrIwAL0"
6868,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 8: Developing the KM System","Developing the KM system","https://www.youtube.com/watch?v=7AtYQ8R3X8A"
6869,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 8: Prototyping and Deployment","Prototyping and deployment","https://www.youtube.com/watch?v=PwnD0dlPLxc"
6870,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 8: Prototyping and Deployment (Contd.)","Prototyping and deployment (Contd.)","https://www.youtube.com/watch?v=MwfjDFn0QII"
6871,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 9: Inferences from Data","Inferences from data.","https://www.youtube.com/watch?v=JxP7qvi93sQ"
6872,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 9: Inferences from Data (Contd.)","Inferences from data (Contd.)","https://www.youtube.com/watch?v=QRyymiWezFw"
6873,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 9: Data Mining","Data mining","https://www.youtube.com/watch?v=9QYbqriXyvg"
6874,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 10: Data Management","Data Management","https://www.youtube.com/watch?v=3JXr_Pl2giM"
6875,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 10: Knowledge Portals","Knowledge Portals","https://www.youtube.com/watch?v=WC3Ol0rXZ7U"
6876,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 10: Evaluation of KM Effectiveness: Tools and","Evaluation of KM effectiveness: Tools and","https://www.youtube.com/watch?v=TnwKJB6iC1Q"
6877,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 11: Metrics","Metrics","https://www.youtube.com/watch?v=m-gWfWeR3kg"
6878,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 11: Legal Issues","Legal issues","https://www.youtube.com/watch?v=SSijgMgjZzg"
6879,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 11: Ethical Issues","Ethical Issues","https://www.youtube.com/watch?v=UD4yHIP3ztc"
6880,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 12: Managerial Issues","Managerial issues","https://www.youtube.com/watch?v=OHDw9o2zBqI"
6881,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 12: KM. Experiences from Indian Companies","KM. Experiences form Indian companies","https://www.youtube.com/watch?v=dH0LBMr4_so"
6882,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 13: KM Practices of Select Industries","KM practices of select industries","https://www.youtube.com/watch?v=kIssrI885d4"
6883,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 13: KM Practices of Select Industries cont.","KM practices of select industries cont.","https://www.youtube.com/watch?v=XoPYpgP9Mqo"
6884,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 13: Linking KM with Innovation and Learning Organization","Linking KM with innovation and learning organization","https://www.youtube.com/watch?v=daqsNgyxEkE"
6885,"Information Systems","Knowledge Management","","12th","English/Hindi","Module 14: Future of KM","Future of KM","https://www.youtube.com/watch?v=9Bu478-ehk4"
