Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
6172,Information Systems,System Analysis and Design,28hrs 8min,12th,English/Hindi,Module 1: Introduction to System Analysis and Design,01 - System Analysis and Design | What is system analysis | What is system design,https://www.youtube.com/watch?v=kuy3lj2zGfI
6173,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 1: System Concepts and Properties,02 - System Analysis and Design | What is system | Elements of system | Properties of system,https://www.youtube.com/watch?v=zHORyOGONU8
6174,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 1: Types of Systems,03 - System Analysis And Design | What is System | Types of System in SAD,https://www.youtube.com/watch?v=oTN3CqknqIw
6175,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 1: Role of a System Analyst,"04 - System Analysis and Design | Who is System Analyst | His Qualities, Role and Responsibilities",https://www.youtube.com/watch?v=aM0V8FiCyws
6176,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),05 - System Analysis and Design | What is SDLC | Phases of SDLC | Importance of SDLC,https://www.youtube.com/watch?v=LmN7m4bERtM
6177,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 2: Phases of SDLC,06 - System Analysis and Design | What is Feasibility Study | Types of Feasibility Study,https://www.youtube.com/watch?v=bgOKpmtff3k
6178,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 2: Feasibility Study,07 - System Analysis and Design | What is SRS document | Features or Characteristics of good SRS |,https://www.youtube.com/watch?v=jxLDCNRvBu4
6179,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 3: Software Requirements Specification (SRS),08 - System Analysis and Design | What is structured analysis | What is structured design,https://www.youtube.com/watch?v=YM_mrcvQbFA
6180,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 3: Structured Analysis and Design,"09 - System Analysis and Design | What is Data Flow Diagram (DFD) | Types of DFD, Levels of DFD",https://www.youtube.com/watch?v=Y7S3sKB--5Q
6181,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 4: Data Flow Diagrams (DFDs),10 - System Analysis and Design | What is Data Dictionary | Types of Data Dictionary & Advantages,https://www.youtube.com/watch?v=YflikN1VJ50
6182,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 4: Levels of DFDs,11 - System Analysis and Design | What is Entity Relationship Diagram (ERD) | What is ER-Model,https://www.youtube.com/watch?v=YsNnDPjmAPs
6183,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 4: Data Dictionary,12 - System Analysis and Design | SDLC Models | What is Waterfall Model | Advantages | Disadvantages,https://www.youtube.com/watch?v=OUXfAls-P1Q
6184,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 5: Entity Relationship Diagrams (ERDs),13 - System Analysis and Design | What is Iterative Model | When to use | Advantages | Disadvantages,https://www.youtube.com/watch?v=Eu1Sq3ekxW8
6185,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 5: ER-Modeling,14 - System Analysis and Design | What is Prototype Model | When to use | Advantages | Disadvantages,https://www.youtube.com/watch?v=vrjfPY98bak
6186,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 6: Waterfall Model,15 - System Analysis and Design | What is Spiral Model | When to use | Advantages | Disadvantages,https://www.youtube.com/watch?v=xXfKCIYufMY
6187,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 6: Advantages and Disadvantages of Waterfall,16 - System Analysis and Design | What are Information Gathering Tools | Interview | Questionnaires,https://www.youtube.com/watch?v=DvLpWvxa35c
6188,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 7: Iterative Model,17 - System Analysis and Design | Cost Benefit Analysis | Perform Cost Benefit Analysis,https://www.youtube.com/watch?v=534lEmL6CtM
6189,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 7: Advantages and Disadvantages of Iterative,18 - System Analysis and Design | Decision Tree | Decision Table,https://www.youtube.com/watch?v=c7np18s7H8Y
6190,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 8: Prototype and Spiral Models,19 - System Analysis and Design | Software testing | Need of software testing and its Importance,https://www.youtube.com/watch?v=u19Sjj4hLeg
6191,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 9: Information Gathering Techniques,20 - System Analysis and Design | Types of software testing | White Box Testing | Black Box Testing,https://www.youtube.com/watch?v=609XMG51VZQ
6192,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 9: Cost-Benefit Analysis,21 - System Analysis and Design | Functional Testing | Non Functional Testing,https://www.youtube.com/watch?v=dHMY-7pSZ3Y
6193,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 10: Software Testing and its Types,22 - System Analysis and Design | What is Software Design | Basic Principles of Software Design,https://www.youtube.com/watch?v=1-Lo0127nyI
6194,Information Systems,System Analysis and Design,,12th,English/Hindi,Module 11: Software Design Principles,23 - System Analysis and Design | Coupling and Cohesion,https://www.youtube.com/watch?v=Sku73xdulG0
