"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7500,"Information Technology","Blockchain","22hrs 0min","12th","English/Hindi","Module 1: Introduction to Blockchain","Introduction To Blockchain Part-1 Explained in Hindi","https://www.youtube.com/watch?v=mfSr-c9sAjI"
7501,"Information Technology","Blockchain","","12th","English/Hindi","Module 1: Introduction to Blockchain","Introduction To Blockchain Part-2 Explained in Hindi","https://www.youtube.com/watch?v=jUsb5bw5W-U"
7502,"Information Technology","Blockchain","","12th","English/Hindi","Module 1: Introduction to Blockchain","Blockchain kya hota hai l Blockchain Definition Explained in Hindi","https://www.youtube.com/watch?v=5FHTWHelw98"
7503,"Information Technology","Blockchain","","12th","English/Hindi","Module 1: Introduction to Blockchain","What's in the Block of a Blockchain Part-1 Explained in Hindi","https://www.youtube.com/watch?v=TCOx8TaHIlY"
7504,"Information Technology","Blockchain","","12th","English/Hindi","Module 2: Components of Blockchain","What's in the Block of a Blockchain Part-2 Explained in Hindi","https://www.youtube.com/watch?v=N-xVvh2FqzU"
7505,"Information Technology","Blockchain","","12th","English/Hindi","Module 2: Components of Blockchain","Distributed P2P Network in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=Hg22gjHWRLM"
7506,"Information Technology","Blockchain","","12th","English/Hindi","Module 2: Components of Blockchain","What is Mining in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=SBZ20jnzXdY"
7507,"Information Technology","Blockchain","","12th","English/Hindi","Module 2: Components of Blockchain","What is Immutable Ledger Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=ykKyZDdWgPc"
7508,"Information Technology","Blockchain","","12th","English/Hindi","Module 3: Smart Contracts & Transactions","What are Smart Contracts in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=-2RJz-_8lbo"
7509,"Information Technology","Blockchain","","12th","English/Hindi","Module 3: Smart Contracts & Transactions","Traditional Contract Vs Smart Contract l Blockchain Series","https://www.youtube.com/watch?v=isEkBZuYTX4"
7510,"Information Technology","Blockchain","","12th","English/Hindi","Module 3: Smart Contracts & Transactions","Hashing in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=7EX7dMvOjWE"
7511,"Information Technology","Blockchain","","12th","English/Hindi","Module 3: Smart Contracts & Transactions","What is Proof of Work (PoW) in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=FbSlv_kNEL8"
7512,"Information Technology","Blockchain","","12th","English/Hindi","Module 4: Types and Components of Blockchain","Blockchain Wallet Explained in Hindi","https://www.youtube.com/watch?v=fPy1-flTKAY"
7513,"Information Technology","Blockchain","","12th","English/Hindi","Module 4: Types and Components of Blockchain","What is Mempool Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=01dwk9vK4RY"
7514,"Information Technology","Blockchain","","12th","English/Hindi","Module 4: Types and Components of Blockchain","Types of Blockchain : Public, Private, Hybrid and Consortium Explained in Hindi","https://www.youtube.com/watch?v=2VWhJgeQiXE"
7515,"Information Technology","Blockchain","","12th","English/Hindi","Module 4: Types and Components of Blockchain","UTXO Unspent Transaction Output Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=j4omKmCWp9A"
7516,"Information Technology","Blockchain","","12th","English/Hindi","Module 5: Blockchain Mechanisms","Coinbase Transaction Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=QRVHCkbUdu8"
7517,"Information Technology","Blockchain","","12th","English/Hindi","Module 5: Blockchain Mechanisms","What is Timestamp Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=H8Dk9u47EIo"
7518,"Information Technology","Blockchain","","12th","English/Hindi","Module 5: Blockchain Mechanisms","How Miners Pick Transactions Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=e-xWW78u2WM"
7519,"Information Technology","Blockchain","","12th","English/Hindi","Module 5: Blockchain Mechanisms","How Mempool Works Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=BklcXS9MwJ8"
7520,"Information Technology","Blockchain","","12th","English/Hindi","Module 6: DeFi and Applications","Competing Chains and Orphaned Blocks in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=fCjnlmMRrFA"
7521,"Information Technology","Blockchain","","12th","English/Hindi","Module 6: DeFi and Applications","Proof of Stake Explained in Hindi | Blockchain","https://www.youtube.com/watch?v=ytlWyqVi0vA"
7522,"Information Technology","Blockchain","","12th","English/Hindi","Module 6: DeFi and Applications","Decentralized Finance | DeFi Explained in Hindi | Blockchain","https://www.youtube.com/watch?v=qRBoohuUdis"
7523,"Information Technology","Blockchain","","12th","English/Hindi","Module 6: DeFi and Applications","NFT : Non-Fungible Token Explained in Hindi | Blockchain Series","https://www.youtube.com/watch?v=8PW4qKFXMvg"
7524,"Information Technology","Blockchain","","12th","English/Hindi","Module 7: Ethereum Ecosystem","What is Ethereum Explained in Hindi | Blockchain Series","https://www.youtube.com/watch?v=HAGUO03JInk"
7525,"Information Technology","Blockchain","","12th","English/Hindi","Module 7: Ethereum Ecosystem","Bitcoin Cash | BCH Explained in Hindi | Blockchain Series","https://www.youtube.com/watch?v=cK5yeSryRTU"
7526,"Information Technology","Blockchain","","12th","English/Hindi","Module 7: Ethereum Ecosystem","What is Tether Explained in Hindi | Cryptocurrency | Blockchain Series","https://www.youtube.com/watch?v=ZWNBtFySD2k"
7527,"Information Technology","Blockchain","","12th","English/Hindi","Module 7: Ethereum Ecosystem","Decentralized Applications Explained in Hindi l Dapps l Blockchain Series","https://www.youtube.com/watch?v=Tl_Pueia_gY"
7528,"Information Technology","Blockchain","","12th","English/Hindi","Module 8: Decentralization & DAOs","Ethereum Virtual Machine l EVM Explained in Hindi","https://www.youtube.com/watch?v=BzzU70SaZiU"
7529,"Information Technology","Blockchain","","12th","English/Hindi","Module 8: Decentralization & DAOs","Ethereum Gas Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=MOQClCYdnUs"
7530,"Information Technology","Blockchain","","12th","English/Hindi","Module 8: Decentralization & DAOs","Decentralized Autonomous Organization l DAOs Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=AoYYvIpsdhs"
7531,"Information Technology","Blockchain","","12th","English/Hindi","Module 9: Forks & Tokenomics","The DAO Attack Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=cDmoODUErMQ"
7532,"Information Technology","Blockchain","","12th","English/Hindi","Module 9: Forks & Tokenomics","Hard Fork Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=4hwwxO4ekxc"
7533,"Information Technology","Blockchain","","12th","English/Hindi","Module 9: Forks & Tokenomics","Soft Fork Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=wI6b_TRJERo"
7534,"Information Technology","Blockchain","","12th","English/Hindi","Module 9: Forks & Tokenomics","Initial Coin Offering (ICO) Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=u_IPGEbtBbQ"
7535,"Information Technology","Blockchain","","12th","English/Hindi","Module 10: Altcoins & Consensus Mechanisms","Coin Vs Token Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=0qplGqRlU98"
7536,"Information Technology","Blockchain","","12th","English/Hindi","Module 10: Altcoins & Consensus Mechanisms","Wrapped Tokens Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=SK_3CgxBCVs"
7537,"Information Technology","Blockchain","","12th","English/Hindi","Module 10: Altcoins & Consensus Mechanisms","Airdrop in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=ftG73aS7ZmU"
7538,"Information Technology","Blockchain","","12th","English/Hindi","Module 10: Altcoins & Consensus Mechanisms","Crypto Faucet Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=Yh3DEnglpHE"
7539,"Information Technology","Blockchain","","12th","English/Hindi","Module 11: Advanced Concepts","LiteCoin Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=sZ3uTSkrI8Q"
7540,"Information Technology","Blockchain","","12th","English/Hindi","Module 11: Advanced Concepts","Governance Tokens Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=lu2yb8w8Q3M"
7541,"Information Technology","Blockchain","","12th","English/Hindi","Module 11: Advanced Concepts","Consensus in Blockchain Explained in Hindi","https://www.youtube.com/watch?v=80GC5USD_ds"
7542,"Information Technology","Blockchain","","12th","English/Hindi","Module 11: Advanced Concepts","Proof of Work Vs Proof of Stake Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=V6tLmOzJRkQ"
7543,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","Proof of Burn (PoB) Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=vGyzuN8-bJw"
7544,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","Proof of Activity (PoA) Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=d2khgH40K7M"
7545,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","Proof of Elapsed Time (PoET) Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=6QQCSfPpfLc"
7546,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","Byzantine Generals Problem and Byzantine Fault Tolerance Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=3-qCkMzH4Fg"
7547,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","What is Solidity Explained in Hindi l Blockchain Series","https://www.youtube.com/watch?v=XZD39fYJ0XI"
7548,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","Remix IDE Explained in Hindi | Solidity Programming","https://www.youtube.com/watch?v=AgysW96m9dY"
7549,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","Hello World First Code in Solidity Programming Language","https://www.youtube.com/watch?v=jbzLP7ZrlKo"
7550,"Information Technology","Blockchain","","12th","English/Hindi","Module 12: Solidity Programming","Blockchain Layers Explained in Hindi","https://www.youtube.com/watch?v=NapAwAadGd8"
