"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7458,"Information Technology","Business Intelligence","23hrs 1min","12th","English/Hindi","Module 1: Introduction to Business Intelligence","Business Intelligence Introduction","https://www.youtube.com/watch?v=pi52FfTQtRU"
7459,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 1: Mathematical Modeling for BI","Business Intelligence .Mathematical Modelling Using Excel/Solver Add-In","https://www.youtube.com/watch?v=RwKmLo_eR9s"
7460,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 1: BI Architecture and Components","Business Intelligence Architecture, Components of BI Architecture.","https://www.youtube.com/watch?v=GV7HkgMj1hk"
7461,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 1: Decision Support Systems","Business Intelligence Decision Support System. Components Phases and Limitations.","https://www.youtube.com/watch?v=LX3uGnyT-LA"
7462,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 2: Data Mining and Predictive Modeling","Types of Mathematical Models.","https://www.youtube.com/watch?v=A5xJdW7WQUQ"
7463,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 2: Classification Techniques in Data Mining","Classes of Models: Predictive, Pattern recognition, optimization and risk analysis models.","https://www.youtube.com/watch?v=gpBzVbnKhJc"
7464,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 2: Clustering Techniques in Data Mining","Data Mining, Application of D.M, CRISP-D.M","https://www.youtube.com/watch?v=lg_Ce7nbzI8"
7465,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 2: Applications of Data Mining","Classification & Regression.","https://www.youtube.com/watch?v=c4YOLFrhAgQ"
7466,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Knowledge Management and AI","Classification Algorithms- KNN, Decision Tree, Bayes Theorem","https://www.youtube.com/watch?v=aJw0i2wDoUo"
7467,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Expert Systems and Knowledge Engineering","Classification Algorithms.- Regression, Artificial Neural Network, SVM.","https://www.youtube.com/watch?v=SgdYV4uKL4A"
7468,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Advanced AI and Business Intelligence","Clustering| k-means clustering.","https://www.youtube.com/watch?v=7MRLDU92hPU"
7469,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Hierarchical Clustering.","https://www.youtube.com/watch?v=iofJBkR7LGA"
7470,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Marketing Models, Relational Marketing.","https://www.youtube.com/watch?v=6xYZMApayoE"
7471,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Supply Chain Management. | Revenue Management","https://www.youtube.com/watch?v=asKS1jNZg-E"
7472,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Knowledge Management Introduction| K.M activities","https://www.youtube.com/watch?v=Xr8hxoIBsQc"
7473,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Knowledge Management Process and Approaches.","https://www.youtube.com/watch?v=vRPqkKku-58"
7474,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Artificial Intelligence| Machine learning| Deep learning.| A.I vs Natural Intelligence in Hindi.","https://www.youtube.com/watch?v=4WttbXoYTIE"
7475,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Expert System in Artificial Intelligence.","https://www.youtube.com/watch?v=v-3RQJMvHus"
7476,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Knowledge Engineering.","https://www.youtube.com/watch?v=PULn1I6X80o"
7477,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Knowledge Engineering in First-Order Logic. Example: Electronic circuits.","https://www.youtube.com/watch?v=oocGZmWSXD8"
7478,"Information Technology","Business Intelligence","","12th","English/Hindi","Module 3: Business Intelligence Review","Business Intelligence IMP Questions","https://www.youtube.com/watch?v=pHbKdKOQWcc"
