Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7028,Information Technology,Cloud Computing,30hrs 20min,12th,English/Hindi,Module 1: Introduction to Cloud Computing,Introduction to Cloud Computing ll Cloud Computing Course Explained with Real Life Examples in Hindi,https://www.youtube.com/watch?v=HhStJ7FDBpc
7029,Information Technology,Cloud Computing,,12th,English/Hindi,Module 1: Introduction to Cloud Computing,Cloud Service Models : Infrastructure as a Service (IaaS) ll Cloud Computing Course in Hindi,https://www.youtube.com/watch?v=CaHBhnc1e_I
7030,Information Technology,Cloud Computing,,12th,English/Hindi,Module 1: Introduction to Cloud Computing,Cloud Service Models : Platform as a Service (Paas) ll Cloud Computing Course,https://www.youtube.com/watch?v=cj1C7A6pQTQ
7031,Information Technology,Cloud Computing,,12th,English/Hindi,Module 1: Introduction to Cloud Computing,Cloud Service Models : Software as a Service (SaaS) ll Cloud Computing Course in Hindi,https://www.youtube.com/watch?v=Gphz3lkrSH0
7032,Information Technology,Cloud Computing,,12th,English/Hindi,Module 2: Cloud Service and Deployment Models,XaaS Everything as a Service Explained with Example in Hindi l Cloud Computing Series,https://www.youtube.com/watch?v=NbQijlAuGMg
7033,Information Technology,Cloud Computing,,12th,English/Hindi,Module 2: Cloud Service and Deployment Models,"Cloud Deployment Models : Public, Private and Hybrid Cloud Explained in Hindi",https://www.youtube.com/watch?v=5G0L7XCt6XQ
7034,Information Technology,Cloud Computing,,12th,English/Hindi,Module 2: Cloud Service and Deployment Models,Benefits Of Cloud Computing ll Cloud Computing Course Explained with Examples in Hindi,https://www.youtube.com/watch?v=oFga9Q1nd8M
7035,Information Technology,Cloud Computing,,12th,English/Hindi,Module 3: Introduction to Hadoop,Characteristics Of Cloud Computing ll Cloud Computing Course Explained in Hindi,https://www.youtube.com/watch?v=r7HTgHbZ4ko
7036,Information Technology,Cloud Computing,,12th,English/Hindi,Module 3: Introduction to Hadoop,Applications Of Cloud Computing ll Cloud Computing Course Explained in Hindi,https://www.youtube.com/watch?v=MuW848rnOxs
7037,Information Technology,Cloud Computing,,12th,English/Hindi,Module 3: Introduction to Hadoop,Hadoop ll Introduction to Hadoop ll Features Explained with Examples in Hindi,https://www.youtube.com/watch?v=ByjLuByuK-M
7038,Information Technology,Cloud Computing,,12th,English/Hindi,Module 3: Introduction to Hadoop,"Hadoop Architecture ll Map Reduce,HDFS,YARN Framework, Common Utilities Explained in Hindi",https://www.youtube.com/watch?v=YzAAhbmSt_k
7039,Information Technology,Cloud Computing,,12th,English/Hindi,Module 4: Hadoop Ecosystem and Components,Map Reduce ll Master Job Tracker and Slave Tracker Explained with Examples in Hindi,https://www.youtube.com/watch?v=nDdSZzP8SD8
7040,Information Technology,Cloud Computing,,12th,English/Hindi,Module 4: Hadoop Ecosystem and Components,Hadoop Distributed File System (HDFS) ll Blocks ll Name Node and Data Naode Explained in Hindi,https://www.youtube.com/watch?v=LX2vERESOp4
7041,Information Technology,Cloud Computing,,12th,English/Hindi,Module 4: Hadoop Ecosystem and Components,What is Hadoop Ecosystem and It's Components Explained in Hindi,https://www.youtube.com/watch?v=5adOBPARH4E
7042,Information Technology,Cloud Computing,,12th,English/Hindi,Module 5: Virtualization and AWS,Apache HBase ll Hadoop Ecosystem Component ll Explained with Working Flow in Hindi,https://www.youtube.com/watch?v=ViuLZjC1B0c
7043,Information Technology,Cloud Computing,,12th,English/Hindi,Module 5: Virtualization and AWS,Introduction to Virtualization ll Cloud Computing Course Explained in Hindi,https://www.youtube.com/watch?v=7yXlLgZkiJM
7044,Information Technology,Cloud Computing,,12th,English/Hindi,Module 5: Virtualization and AWS,Introduction To Amazon Web Services (AWS)  and it's Benefits Explained in Hindi,https://www.youtube.com/watch?v=AGnYEHU-zvY
