S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Information Technology,System Analysis and Design,28hrs 8min,12th,English/Hindi,Module 1: Introduction to System Analysis and Design,01 - System Analysis and Design | What is system analysis | What is system design,https://www.youtube.com/watch?v=kuy3lj2zGfI
2,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 1: Introduction to System Analysis and Design,02 - System Analysis and Design | What is system | Elements of system | Properties of system,https://www.youtube.com/watch?v=zHORyOGONU8
3,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 1: Introduction to System Analysis and Design,03 - System Analysis And Design | What is System | Types of System in SAD,https://www.youtube.com/watch?v=oTN3CqknqIw
4,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 1: Introduction to System Analysis and Design,"04 - System Analysis and Design | Who is System Analyst | His Qualities, Role and Responsibilities",https://www.youtube.com/watch?v=aM0V8FiCyws
5,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 2: Understanding Systems,05 - System Analysis and Design | What is SDLC | Phases of SDLC | Importance of SDLC,https://www.youtube.com/watch?v=LmN7m4bERtM
6,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 2: Understanding Systems,06 - System Analysis and Design | What is Feasibility Study | Types of Feasibility Study,https://www.youtube.com/watch?v=bgOKpmtff3k
7,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 2: Understanding Systems,07 - System Analysis and Design | What is SRS document | Features or Characteristics of good SRS |,https://www.youtube.com/watch?v=jxLDCNRvBu4
8,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 2: Understanding Systems,08 - System Analysis and Design | What is structured analysis | What is structured design,https://www.youtube.com/watch?v=YM_mrcvQbFA
9,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 3: Types of Systems,"09 - System Analysis and Design | What is Data Flow Diagram (DFD) | Types of DFD, Levels of DFD",https://www.youtube.com/watch?v=Y7S3sKB--5Q
10,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 3: Types of Systems,10 - System Analysis and Design | What is Data Dictionary | Types of Data Dictionary & Advantages,https://www.youtube.com/watch?v=YflikN1VJ50
11,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 3: Types of Systems,11 - System Analysis and Design | What is Entity Relationship Diagram (ERD) | What is ER-Model,https://www.youtube.com/watch?v=YsNnDPjmAPs
12,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 3: Types of Systems,12 - System Analysis and Design | SDLC Models | What is Waterfall Model | Advantages | Disadvantages,https://www.youtube.com/watch?v=OUXfAls-P1Q
13,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 4: The System Analyst,13 - System Analysis and Design | What is Iterative Model | When to use | Advantages | Disadvantages,https://www.youtube.com/watch?v=Eu1Sq3ekxW8
14,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 4: The System Analyst,14 - System Analysis and Design | What is Prototype Model | When to use | Advantages | Disadvantages,https://www.youtube.com/watch?v=vrjfPY98bak
15,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 4: The System Analyst,15 - System Analysis and Design | What is Spiral Model | When to use | Advantages | Disadvantages,https://www.youtube.com/watch?v=xXfKCIYufMY
16,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 4: The System Analyst,16 - System Analysis and Design | What are Information Gathering Tools | Interview | Questionnaires,https://www.youtube.com/watch?v=DvLpWvxa35c
17,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 5: Software Development Life Cycle (SDLC),17 - System Analysis and Design | Cost Benefit Analysis | Perform Cost Benefit Analysis,https://www.youtube.com/watch?v=534lEmL6CtM
18,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 5: Software Development Life Cycle (SDLC),18 - System Analysis and Design | Decision Tree | Decision Table,https://www.youtube.com/watch?v=c7np18s7H8Y
19,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 5: Software Development Life Cycle (SDLC),19 - System Analysis and Design | Software testing | Need of software testing and its Importance,https://www.youtube.com/watch?v=u19Sjj4hLeg
20,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 5: Software Development Life Cycle (SDLC),20 - System Analysis and Design | Types of software testing | White Box Testing | Black Box Testing,https://www.youtube.com/watch?v=609XMG51VZQ
21,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 6: Feasibility Studies,21 - System Analysis and Design | Functional Testing | Non Functional Testing,https://www.youtube.com/watch?v=dHMY-7pSZ3Y
22,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 6: Feasibility Studies,22 - System Analysis and Design | What is Software Design | Basic Principles of Software Design,https://www.youtube.com/watch?v=1-Lo0127nyI
23,Information Technology,System Analysis and Design,,12th,English/Hindi,Module 6: Feasibility Studies,23 - System Analysis and Design | Coupling and Cohesion,https://www.youtube.com/watch?v=Sku73xdulG0
