S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Interior Design,Lighting design and calculations,2hrs 7min,12th,English/Hindi,Module 1: Introduction to Lighting Design,00  Lighting course   Introduction to lighting,https://www.youtube.com/watch?v=g0U8HU_JjKg
2,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 1: Introduction to Lighting Design,01  Lighting course   Lm vs  LUX,https://www.youtube.com/watch?v=z1KoMKxJ5Ac
3,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 1: Introduction to Lighting Design,02  Lighting course   Installation types,https://www.youtube.com/watch?v=DLCQd7E9JNE
4,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 1: Introduction to Lighting Design,03  Lighting course   Lamps properties,https://www.youtube.com/watch?v=VVlLISleQhg
5,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 2: Room Index Calculations,04  Lighting course   Color temperature,https://www.youtube.com/watch?v=Jud2jlVEeJg
6,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 2: Room Index Calculations,05  Lighting course   Ballast types,https://www.youtube.com/watch?v=dtGtbdfhTI8
7,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 2: Room Index Calculations,06  Lighting course   Lamp data sheet,https://www.youtube.com/watch?v=Ah9nw7nWGM0
8,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 3: Introduction to DIALux,07  Lighting course   Room index calculations,https://www.youtube.com/watch?v=urQyYBo7qEE
9,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 3: Introduction to DIALux,08  Lighting course   Reflectance factor and utilization factor,https://www.youtube.com/watch?v=9FjJ3xV47yY
10,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 3: Introduction to DIALux,09  Lighting course   maintenance factor,https://www.youtube.com/watch?v=PDueS9tgTkA
11,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 4: LUX Levels Recommendations & Ingress Protection,10  Lighting course   Manual calculations,https://www.youtube.com/watch?v=o3igvxlLE5k
12,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 4: LUX Levels Recommendations & Ingress Protection,11  Lighting course   Download and install DAILUX and Plugins,https://www.youtube.com/watch?v=kF0q35M7hl4
13,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 4: LUX Levels Recommendations & Ingress Protection,12  Lighting course   Dailux calculations,https://www.youtube.com/watch?v=XA_PKuXs0JE
14,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 5: Concept of Design Part 3,13  Lighting course   LUX levels recommendations,https://www.youtube.com/watch?v=B6SEJ-y1Fps
15,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 5: Concept of Design Part 3,14  Lighting course   Ingress protection,https://www.youtube.com/watch?v=iGRNeR0nQIE
16,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 5: Concept of Design Part 3,14  Lighting course   Ingress protection,https://www.youtube.com/watch?v=hdSixTACPsU
17,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 6: Emergency Lighting Part 1,15  Lighting course   Concept of design part 1,https://www.youtube.com/watch?v=IAa9k9uMcaE
18,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 6: Emergency Lighting Part 1,16  Lighting course   Concept of design part 2,https://www.youtube.com/watch?v=vt3dNt0-GFY
19,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 7: Project Work & Case Studies,17  Lighting course   Concept of design part 3,https://www.youtube.com/watch?v=lbeKHhr3Lxo
20,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 7: Project Work & Case Studies,18  Lighting course   Normal   emergency   safety lighting,https://www.youtube.com/watch?v=x_saa_iSPw0
21,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 7: Project Work & Case Studies,19  Lighting course   lighting SLD,https://www.youtube.com/watch?v=v6-43ubY9Ak
22,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 7: Project Work & Case Studies,20  Lighting course   Emergency lighting part 1,https://www.youtube.com/watch?v=jcQNRlPXEKw
23,Interior Design,Lighting design and calculations,,12th,English/Hindi,Module 7: Project Work & Case Studies,21  Lighting course   Emergency lighting locations,https://www.youtube.com/watch?v=r6aMQZo_O98
