"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
11029,"Interior Design","Principles of Interior Design - Interior Design Principles","38hrs 16min","12th","English/Hindi","Module 1: Introduction to Balance","Symmetrical Balance in Interior Design - Design Principle of Balance","https://www.youtube.com/watch?v=MEDgO5chnxA"
11030,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 1: Symmetrical Balance","Interior Design Principle of Scale and Proportion - Creating a Cohesive and Balanced Design","https://www.youtube.com/watch?v=pnubDJCruC8"
11031,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 1: Asymmetrical Balance","Repetition in Interior Design - How to Make a Room Look Cohesive - Interior Design Principles","https://www.youtube.com/watch?v=mTgcbG2NSfs"
11032,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 1: Radial Balance","Learn About the Interior Design Principle of Asymmetrical Balance in Interior Design","https://www.youtube.com/watch?v=8igQq9GwOKo"
11033,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 2: Scale and Proportion","Learn About the Interior Design Principles & How They Help Us Design a Beautiful & Functional Space","https://www.youtube.com/watch?v=5C0HFLj3zTc"
11034,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 2: Visual Weight","How to Make a Room Look Better by Using Variety in Interior Design - Principles of Interior Design","https://www.youtube.com/watch?v=jq1sVVEY7t4"
11035,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 2: Choosing the Right Size Elements","Creating a Focal Point with Contrast & Variety - Design Principle of Emphasis - Room Interior Design","https://www.youtube.com/watch?v=XCP8JO9Ysvo"
11036,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 3: Repetition and Rhythm","How to Make Your Home Look Cohesive Using Repetition - Interior Design Principles","https://www.youtube.com/watch?v=KtdvLOWI73A"
11037,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 3: Creating Cohesion with Repetition","Learn About the Interior Design Principle of Harmony in Interior Design","https://www.youtube.com/watch?v=V4diUvhDki0"
11038,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 4: Variety and Contrast","Lighter & Darker Colors - Creating Emphasis, Repetition, & Variety - Elements & Principles of Design","https://www.youtube.com/watch?v=vcDHdfrRBbk"
11039,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 4: Creating a Focal Point","Visual Weight in Interior Design - What is Grabbing Our Attention in a Room? - Balance in a Room","https://www.youtube.com/watch?v=HhOyYNSAr3A"
11040,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 4: Adding Visual Interest","What Size Chandelier for Dining Room? - Considering the Design Principle of Scale and Proportion","https://www.youtube.com/watch?v=BeXXnsB6OZQ"
11041,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 5: Harmony in Interior Design","Creating Variety in Your Home - Interior Design Principle of Contrast - Interior Design Tips","https://www.youtube.com/watch?v=hKUcU0kDONY"
11042,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 5: Using Shape and Form","3 Ways to Arrange Accessories in an Entryway - Entryway Decorating Ideas  - Interior Design Ideas","https://www.youtube.com/watch?v=vierMP1VKE8"
11043,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 6: Pattern in Interior Design","Learn About the Interior Design Principle of Pattern & How to Use Pattern in Interior Design","https://www.youtube.com/watch?v=PDqqt64nXOU"
11044,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 6:  Elements and Principles of Design","Learn About Radial Balance in Interior Design & the Interior Design Principles","https://www.youtube.com/watch?v=B9MgGPJJqgI"
11045,"Interior Design","Principles of Interior Design - Interior Design Principles","","12th","English/Hindi","Module 6: Lighter & Darker Colors","How to Use Shape and Form to Create Harmony in Interior Design - Principles of Interior Design","https://www.youtube.com/watch?v=HrswqezTWl4"
