S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Interior Design,Space Planning,14hrs 4min,12th,English/Hindi,Module 1: Introduction to Space Planning,Space Planning,https://www.youtube.com/watch?v=wjTcUzMDqzY
2,Interior Design,Space Planning,,12th,English/Hindi,Module 1: Introduction to Space Planning,Space Planning a new project - Designer Life!,https://www.youtube.com/watch?v=6h0aAGIxaoc
3,Interior Design,Space Planning,,12th,English/Hindi,Module 1: Introduction to Space Planning,BBC - Design Rules - 5/6 - Interior Planning,https://www.youtube.com/watch?v=kdh08cVW8Os
4,Interior Design,Space Planning,,12th,English/Hindi,Module 1: Introduction to Space Planning,#BOHNAFIDE // EP. 4: THE INTERIOR DESIGN PROCESS,https://www.youtube.com/watch?v=fSi13gYaAqA
5,Interior Design,Space Planning,,12th,English/Hindi,Module 2: Space Planning Fundamentals,Living Room Design Fundamentals,https://www.youtube.com/watch?v=DYI1hsYK_80
6,Interior Design,Space Planning,,12th,English/Hindi,Module 2: Space Planning Fundamentals,Interior Design Planning Process of: Living Room Renovation PART 1,https://www.youtube.com/watch?v=kr_vp7-2j1w
7,Interior Design,Space Planning,,12th,English/Hindi,Module 2: Space Planning Fundamentals,Ask the Expert: How to plan a living room layout,https://www.youtube.com/watch?v=1uYkt2-FNgw
8,Interior Design,Space Planning,,12th,English/Hindi,Module 2: Space Planning Fundamentals,Interior Design Planning Process of: Living Room Renovation!!! PART 2,https://www.youtube.com/watch?v=mOxqpXFvaQQ
9,Interior Design,Space Planning,,12th,English/Hindi,Module 3: Living Room Planning,How To Arrange Furniture in Open Floor Plans,https://www.youtube.com/watch?v=lqAQdLijbOA
10,Interior Design,Space Planning,,12th,English/Hindi,Module 3: Living Room Planning,Floor Plan Design TUTORIAL,https://www.youtube.com/watch?v=R7YxG4nsqeg
11,Interior Design,Space Planning,,12th,English/Hindi,Module 3: Living Room Planning,Interior Design / Space Planning and Layouts,https://www.youtube.com/watch?v=kEIfP1uknKs
12,Interior Design,Space Planning,,12th,English/Hindi,Module 3: Living Room Planning,Developing the Architectural Concept - Architecture Short Course (Part 2),https://www.youtube.com/watch?v=U2W5Wmp15YA
13,Interior Design,Space Planning,,12th,English/Hindi,Module 4: Open Floor Plan Design,SPACE PLANNING TIPS AND TRICKS | CO-WORKING OFFICE,https://www.youtube.com/watch?v=sCViynewfiI
14,Interior Design,Space Planning,,12th,English/Hindi,Module 4: Open Floor Plan Design,What is Space Planning?,https://www.youtube.com/watch?v=cX-ja9zdBjg
15,Interior Design,Space Planning,,12th,English/Hindi,Module 4: Open Floor Plan Design,How to Separate Space in an Open Floor Plan,https://www.youtube.com/watch?v=fwkcmxdGLtM
16,Interior Design,Space Planning,,12th,English/Hindi,Module 4: Open Floor Plan Design,Architecture Short Course: How to Develop a Design Concept,https://www.youtube.com/watch?v=k4dVgbuxBAw
17,Interior Design,Space Planning,,12th,English/Hindi,Module 5: Architectural Concepts and Design,"Architectural Design Process | Form, Orientation and Sunlight",https://www.youtube.com/watch?v=ly8orBNiNQM
18,Interior Design,Space Planning,,12th,English/Hindi,Module 5: Architectural Concepts and Design,Space Planning for a Living Room,https://www.youtube.com/watch?v=Z6CXHjLqGGc
19,Interior Design,Space Planning,,12th,English/Hindi,Module 5: Architectural Concepts and Design,4 LIVING ROOM LAYOUT IDEAS | Easy Transformation,https://www.youtube.com/watch?v=wV_o64RkAlw
20,Interior Design,Space Planning,,12th,English/Hindi,Module 5: Architectural Concepts and Design,5 Best Living Room Layouts | MF Home TV,https://www.youtube.com/watch?v=MuiDW2Pwqws
