"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
2501,"Law","ENVIRONMENTAL LAW","9hrs 17min","12th","English/Hindi","Module 1: Introduction to Environmental Law","Introduction | Environmental Law","https://www.youtube.com/watch?v=uXxlImWRP4M"
2502,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 1: Environmental Protection Act","Environment Protection Act | Environmental Law","https://www.youtube.com/watch?v=eJ9o00TNZfM"
2503,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 1: Powers of Central Government under EPA","Powers of Central Government under Environment Protection Act | Environmental Law","https://www.youtube.com/watch?v=uJQOsuluu7E"
2504,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 2: Hazardous Substances","Hazardous Substances | Environmental Law","https://www.youtube.com/watch?v=cmeEf2Rd21A"
2505,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 2: Constitution & Environmental Protection","Constitution & Environmental Protection | Environmental Law","https://www.youtube.com/watch?v=ahfPJdUG4h8"
2506,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 2: PIL & Environmental Protection","PIL & Environmental Protection | Environmental Law","https://www.youtube.com/watch?v=aMsv47gkVPQ"
2507,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 3: Water (Prevention & Control of Pollution) Act","Water (Prevention & Control of Pollution) Act | Environmental Law","https://www.youtube.com/watch?v=BBBnZYQtGao"
2508,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 3: Central Pollution Control Board","Central Pollution Control Board","https://www.youtube.com/watch?v=TNUhagcNuoM"
2509,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 3: State Pollution Control Board","State Pollution Control Board | Environmental Law","https://www.youtube.com/watch?v=h7t5HvgeLDg"
2510,"Law","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 4: Members, Terms of Service, Disqualification, Govt. Supersede Board","Members, Terms of Service, Disqualification, Govt. Supersede Board","https://www.youtube.com/watch?v=YdgxstVYra8"
