S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,Archival studies,37hrs 19min,12th,English/Hindi,Module 1: Introduction to Cultural Memory,The Future of Cultural Memory in Australia - Steven Fox,https://www.youtube.com/watch?v=9IbN_WKzdn0
2,Library Science,Archival studies,,12th,English/Hindi,Module 1: Introduction to Cultural Memory,The Future of Cultural Memory in Australia - Craig Middleton,https://www.youtube.com/watch?v=CdlPy1dSkz0
3,Library Science,Archival studies,,12th,English/Hindi,Module 1: Introduction to Cultural Memory,The Future of Cultural Memory in Australia - Alison Dellit,https://www.youtube.com/watch?v=OfssSfkoFnk
4,Library Science,Archival studies,,12th,English/Hindi,Module 1: Introduction to Cultural Memory,The Future of Cultural Memory in Australia - Jacqui Uhlmann,https://www.youtube.com/watch?v=4M3czSqTmiI
5,Library Science,Archival studies,,12th,English/Hindi,Module 2:  Cultural Memory in Australia,Paula Hamilton on 'Collective memory',https://www.youtube.com/watch?v=4kkwg8y9H90
6,Library Science,Archival studies,,12th,English/Hindi,Module 2:  Cultural Memory in Australia,Why does cultural memory matter today?,https://www.youtube.com/watch?v=-LYYxWNxYgs
7,Library Science,Archival studies,,12th,English/Hindi,Module 2:  Cultural Memory in Australia,What's the role of public libraries during a crisis?,https://www.youtube.com/watch?v=-uMyHCuhlis
8,Library Science,Archival studies,,12th,English/Hindi,"Module 3: Libraries, Metadata, and Intellectual Property",basics of metadata,https://www.youtube.com/watch?v=-0vc6LeVa14
9,Library Science,Archival studies,,12th,English/Hindi,"Module 3: Libraries, Metadata, and Intellectual Property",The Metadata Librarian Explains Metadata,https://www.youtube.com/watch?v=ABF2FvSPVYE
10,Library Science,Archival studies,,12th,English/Hindi,"Module 3: Libraries, Metadata, and Intellectual Property",ATSILIRN Protocol 3: Intellectual Property,https://www.youtube.com/watch?v=JptMD-k3CGY
