S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,Computer Organization and Architecture (Complete Playlist),34hrs 4min,12th,English/Hindi,Module 1: Introduction to Computer Architecture,L-1.1: Computer Organization and Architecture Syllabus Discussion for GATE and UGC NTA NET,https://www.youtube.com/watch?v=L9X7XXfHYdU
2,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Computer Architecture,L-1.2: Von Neumann's Architecture | Stored Memory Concept in Computer Architecture,https://www.youtube.com/watch?v=j8NnE1YeSN0
3,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Computer Architecture,L-1.3:Various General Purpose Registers in Computer Organization and Architecture,https://www.youtube.com/watch?v=2mowjC3dCqk
4,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Computer Architecture,"L-1.4:Types of Buses (Address, Data and Control) in Computer Organization and Architecture",https://www.youtube.com/watch?v=xBYhHC8_A6o
5,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.5: Common bus system using multiplexer | Computer organization and Architecture,https://www.youtube.com/watch?v=nbDd46e_LpE
6,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.6: Common Bus system| How basic computer works,https://www.youtube.com/watch?v=60fQEm6oodc
7,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.7: Types of Instructions in General Purpose Computer | Computer Organization and Architecture,https://www.youtube.com/watch?v=r6PChksvxp8
8,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.8: Data Transfer Instructions in Computer Organisation and Architecture,https://www.youtube.com/watch?v=bNkiChXPRhM
9,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.9: Arithmetic Instructions(Data Manipulation) in Computer Organisation and Architecture,https://www.youtube.com/watch?v=M0znE3jqaxs
10,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.10: Logical Instructions(Data Manipulation) in Computer Organisation and Architecture,https://www.youtube.com/watch?v=_YJU5WFT9qw
11,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.11: Shift Instructions(Data Manipulation) in Computer Organisation and Architecture,https://www.youtube.com/watch?v=i2UKe6lgrqg
12,Library Science,Computer Organization and Architecture (Complete Playlist),,12th,English/Hindi,Module 2: Instruction Set Architecture and Design,L-1.12: Program Control Instructions(Types of Control Instructions) | Computer Organization,https://www.youtube.com/watch?v=OXz7wKHr0_I
