S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,IGNOU BLIS - 222 Information Sources and Services,108hrs 15min,12th,English/Hindi,Module 1: Introduction to Information Sources,Categorisation Of Resources  -  IGNOU - BLIS 222 Unit - 1  #IGNOU_BLIS,https://www.youtube.com/watch?v=Jiqjq6PJxdA
2,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 1: Introduction to Information Sources,Primary Sources  IGNOU - BLIS 222  -  Unit 2  #IGNOU_BLIS,https://www.youtube.com/watch?v=rx9sG5hzeyQ
3,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 2: Primary and Secondary Sources,Secondary and Tertiary Sources  IGNOU BLIS 221 Unit - 3  #IGNOU  #BLIS,https://www.youtube.com/watch?v=RsQoHC3h7MI
4,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 2: Primary and Secondary Sources,Human as a Source of Information  IGNOU BLIS - Unit 5  #ignou #BLIS,https://www.youtube.com/watch?v=2a3UbhIZMf8
5,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 3: Human and Institutional Sources,Institution as a source of Information  IGNOU BLIS 221 Unit 6  #IGNOU  #BLIS,https://www.youtube.com/watch?v=ak87isdBmx8
6,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 3: Human and Institutional Sources,Media as a Source of Information  IGNOU BLIS 222 - Unit - 7   #ignou  #BLIS,https://www.youtube.com/watch?v=jIOt3H_0mAs
7,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 4: Media and Information Services,Information Services: An Overview  IGNOU BLIS Unit 8   #IGNOU  #BLIS,https://www.youtube.com/watch?v=P_nXas1JgMo
8,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 4: Media and Information Services,"Types of Services: Reference Services, CAS, etc  IGNOU BLIS Unit - 9  #IGNOU #BLIS",https://www.youtube.com/watch?v=w9QxkkTjiOo
9,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 5: Reference and Database Services,Literature Search and Database Services IGNOU BLIS 222 Unit - 10  #IGNOU  #BLIS,https://www.youtube.com/watch?v=Lzekwihlyz8
10,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 5: Reference and Database Services,User Education and Information Literacy  IGNOU BLIS Unit - 11  #IGNOU  #BLIS,https://www.youtube.com/watch?v=AReY5xkgJVk
11,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 6: User-centric Services,User Studies  IGNOU BLIS 222 Unit - 12  #IGNOU  #BLIS,https://www.youtube.com/watch?v=p7Nc0GIAK0Q
12,Library Science,IGNOU BLIS - 222 Information Sources and Services,,12th,English/Hindi,Module 6: User-centric Services,Marketing of Information Services  IGNOU BLIS 222 Unit - 14   #IGNOU   #BLIS,https://www.youtube.com/watch?v=JRHJayXtGRA
