S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,72hrs 6min,12th,English/Hindi,Module 1: Introduction to Information Literacy,BIG 6 INFORMATION LITERACY MODEL | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MAAM,https://www.youtube.com/watch?v=oUpMbe2SfZ0
2,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 1: Introduction to Information Literacy,QUESTION PAPER JUNE 2023 | PART 5 | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MAAM,https://www.youtube.com/watch?v=SJhRrS4Ctb8
3,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 1: Introduction to Information Literacy,QUESTION PAPER JUNE 2023 | PART 4 | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MAAM,https://www.youtube.com/watch?v=MJVjebiVfww
4,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 1: Introduction to Information Literacy,QUESTION PAPER JUNE 2023 | PART 3 | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MAAM,https://www.youtube.com/watch?v=KUzawvRMEag
5,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 2: UGC-NET June 2023 Exam Analysis,QUESTION PAPER JUNE 2023 | PART 1 | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MAAM,https://www.youtube.com/watch?v=6boW-Cwqr2I
6,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 2: UGC-NET June 2023 Exam Analysis,QUESTION PAPER JUNE 2023 | PART 2 | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MAAM,https://www.youtube.com/watch?v=xa0HtBtZcKk
7,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 2: UGC-NET June 2023 Exam Analysis,SCONUL SEVEN PILLARS OF INFORMATION LITERACY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=dCdjRB5adcg
8,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 2: UGC-NET June 2023 Exam Analysis,INFORMATION LITERACY AND THEIR MODELS | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MAAM,https://www.youtube.com/watch?v=Khymy8sCCtU
9,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 2: UGC-NET June 2023 Exam Analysis,IMPACT METHODS | PART 2 | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=o07KE2B7-FE
10,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 2: UGC-NET June 2023 Exam Analysis,IMPACT METHODS | PART 1 | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=BWjoy5dUTaM
11,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 3: Research Methodology: Foundations,HOW TO SOLVE PASSAGE ? | READING COMPREHENSION | PART 2 | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=SqL_R0WU6RQ
12,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 3: Research Methodology: Foundations,HOW TO SOLVE PASSAGE ? | READING COMPREHENSION | PART 1 | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=yo_YTyLJRFo
13,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 3: Research Methodology: Foundations,HOW TO PREPARE ? | STRATEGY | LIBRARY & INFORMATION SCIENCE | UGC-NET | BY NITIKA MA'AM,https://www.youtube.com/watch?v=Pe6JcXRQ9m0
14,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 4: Research Methodology: Methods & Design,METRIC STUDY | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=dXtc9VKAm9M
15,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 4: Research Methodology: Methods & Design,PREVIOUS YEAR QUESTION | PART 5 | LIBRARY & INFORMATION NETWORK | UGC-NET | BY NITIKA MA'AM,https://www.youtube.com/watch?v=zq-b8aHdRVw
16,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 4: Research Methodology: Methods & Design,STATISTICAL PACKAGES | BIBEXCEL | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=vZ-z8hlSOIA
17,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 4: Research Methodology: Methods & Design,STATISTICAL PACKAGES | SPREADSHEET | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=XgW7JZ4c2Zk
18,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 4: Research Methodology: Methods & Design,PREVIOUS YEAR QUESTION | PART 1 | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=l9lBPnUOyfA
19,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 4: Research Methodology: Methods & Design,EXPERIMENTAL & DESCRIPTIVE RESEARCH | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=r2XdKGI__po
20,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 4: Research Methodology: Methods & Design,SPIRAL OF SCIENTIFIC METHOD | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=nxp5lSX8AxE
21,Library Science,LIBRARY SCIENCE BY NITIKA MA'AM,,12th,English/Hindi,Module 5: Library Management Principles,DATA COLLECTION AND ANALYSIS | RESEARCH METHODOLOGY | LIBRARY & INFORMATION SCIENCE | UGC-NET,https://www.youtube.com/watch?v=9C54Pzmadb0
