S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,74hrs 14min,12th,English/Hindi,Module 1: Introduction to Library Management Systems,library management system complete project with source code in ASP.NET C# & SQL Part-1,https://www.youtube.com/watch?v=CEx9VM0bIlg
2,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 1: Introduction to Library Management Systems,library management system project with source code in ASP.NET C# & SQL Server Part-2,https://www.youtube.com/watch?v=LoMpQ2Gyrks
3,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 1: Introduction to Library Management Systems,library management system project with source code in ASP.NET C# & SQL Server Part-3,https://www.youtube.com/watch?v=wN46VZEkdXg
4,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 1: Introduction to Library Management Systems,library management system project with source code in asp.net C# and SQL server Database part-4,https://www.youtube.com/watch?v=h1YpwR_aLsY
5,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 2: Setting up the Development Environment,library management system complete project with source code in ASP.NET C# & SQL Server Part-5,https://www.youtube.com/watch?v=yp2IeN3DAbY
6,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 2: Setting up the Development Environment,library management system project ASP.NET C# with source code Part-6  #coderbaba,https://www.youtube.com/watch?v=9Rk-QxAw1fA
7,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 2: Setting up the Development Environment,library management system ASP.NET C# SQL Server complete project with source code | Part-7,https://www.youtube.com/watch?v=DQXyLQhS1gI
8,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 3: Database Design and Implementation,Library Management System ASP.NET C# Project with source code Part-8 | Publisher Page  | CoderBaba,https://www.youtube.com/watch?v=MiuoElqOETQ
9,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 3: Database Design and Implementation,Library Management System ASP.NET C# Project with source code Part-9 | Search Record | CoderBaba,https://www.youtube.com/watch?v=dVLGhhEUvBc
10,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 3: Database Design and Implementation,Library Management System ASP.NET C# Project with source code Part-10 | Update Account Status,https://www.youtube.com/watch?v=m9oDrMZdrxs
11,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 4: User Interface Design,Library Management System ASP.NET C# Project with source code Part-11 |  Bind Gridview | coderbaba,https://www.youtube.com/watch?v=NXQS3GQvbTY
12,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 4: User Interface Design,Library Management System complete project with source code in ASP.NET C# & SQL Server Part-12,https://www.youtube.com/watch?v=8u20S-iKwb4
13,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 4: User Interface Design,"Library Management System Complete project with source code in ASP.NET C# ,SQL | Part-13 | CoderBaba",https://www.youtube.com/watch?v=MPcvXdcVBUA
14,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 5: Core Functionalities Implementation,"Library Management System Complete project with source code in ASP.NET C# ,SQL | Part-14",https://www.youtube.com/watch?v=8fmBci_l1pY
15,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 5: Core Functionalities Implementation,Library Management System Project with source code in asp.net customize Gridview Part-15 | coderbaba,https://www.youtube.com/watch?v=npezUlujPDs
16,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 5: Core Functionalities Implementation,Library Management System Project with source code in ASP.NET Part-16 | Issue Return | Live Training,https://www.youtube.com/watch?v=D1gtO8X1wLw
17,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 6: Advanced Features and Customization,"Library Management System C# project , Book Issue Button code| project with source code , Part 17",https://www.youtube.com/watch?v=YKXWMEbffxk
18,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 6: Advanced Features and Customization,Library Management System in ASP.NET: Return Button Code & Date Calculation for Due Dates | Part-18,https://www.youtube.com/watch?v=TK0XUVpYH2A
19,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 6: Advanced Features and Customization,Library Management System asp.net How to Calculate Fine Amount for Overdue Books Part-19 @CoderBaba,https://www.youtube.com/watch?v=LZuBeQKZCRk
20,Library Science,Library Management System Website - Complete Project Training in ASP.NET and C#,,12th,English/Hindi,Module 7: Deployment and Maintenance,Library Management System asp.net C# website Project with source code Part-20,https://www.youtube.com/watch?v=odMoSUQ0i58
