Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11919,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,80hrs 10min,12th,English/Hindi,"Module 1: Conservation, Restoration and Preservation – Principles","Conservation, Restoration and Preservation – Principles",https://www.youtube.com/watch?v=OyO_c_YSrjw
11920,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 1: Writing materials,Writing materials,https://www.youtube.com/watch?v=cTIryR2Kv-U
11921,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 1: History of Writing,History of Writing,https://www.youtube.com/watch?v=CTwnFgd4zGw
11922,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 2: Systematic drawing and description of chopper and chopping tool (Pre-historic archaeology),Systematic drawing and description of chopper and chopping tool (Pre-historic archaeology),https://www.youtube.com/watch?v=1g42fC8ysFw
11923,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 2: Systematic drawing and description of chopper and chopping tool (Pre-historic archaeology),Systematic drawing and description of chopper and chopping tool (Pre-historic archaeology),https://www.youtube.com/watch?v=1g42fC8ysFw
11924,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 3: भोजपत्र का पेड़ कैसा होता है। What is a birch tree.#bhojpatra,भोजपत्र का पेड़ कैसा होता है। What is a birch tree.#bhojpatra,https://www.youtube.com/watch?v=UwmH50HzFVY
11925,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,"Module 3: शिलालेख, भोजपत्र, ताड़पत्र, ताम्रपत्र,जीवाश्म क्या हैं?Source of History-Incriptions, bhojpatra.","शिलालेख, भोजपत्र, ताड़पत्र, ताम्रपत्र,जीवाश्म क्या हैं?Source of History-Incriptions, bhojpatra.",https://www.youtube.com/watch?v=n6z3nAs53PY
11926,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 3: भोजपत्र की छाल चलती है हज़ारों साल।,भोजपत्र की छाल चलती है हज़ारों साल।,https://www.youtube.com/watch?v=i2iBh4pRdPs
11927,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 4: Library Preservation at Harvard,Library Preservation at Harvard,https://www.youtube.com/watch?v=urExYDdVx4I
11928,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 4: Preservation and Conservation of Manuscripts,Preservation and Conservation of Manuscripts,https://www.youtube.com/watch?v=2Xn-eX-Xwm8
11929,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,"Module 5: Collection, Preservation and Conservation of Manuscripts Equipments Writing Method","Collection, Preservation and Conservation of Manuscripts Equipments Writing Method",https://www.youtube.com/watch?v=moxGv5zQr4I
11930,Library Science,PRESERVATION AND CONSERVATION OF LIBRARY MATERIALS PLAYLIST (MLIS)  PAPER 8 NOU,,12th,English/Hindi,Module 5: INTERNATIONAL WEBINAR ON PRESERVATION AND CONSERVATION OF MANUSCRIPTS AND LIBRARY MATERIALS,INTERNATIONAL WEBINAR ON PRESERVATION AND CONSERVATION OF MANUSCRIPTS AND LIBRARY MATERIALS,https://www.youtube.com/watch?v=qNa_IOzJB0E
