"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
12131,"Library Science","Public Library Commute","8hrs 9min","12th","English/Hindi","Module 1: Buddha, Summertime, You Been on My Mind, mint","Buddha","https://www.youtube.com/watch?v=ZVzPsFTm2NA"
12132,"Library Science","Public Library Commute","","12th","English/Hindi","Module 1: Buddha, Summertime, You Been on My Mind, mint","Summertime","https://www.youtube.com/watch?v=4bfJBewGaGQ"
12133,"Library Science","Public Library Commute","","12th","English/Hindi","Module 1: Buddha, Summertime, You Been on My Mind, mint","You Been on My Mind","https://www.youtube.com/watch?v=9Ub_GhdqAPM"
12134,"Library Science","Public Library Commute","","12th","English/Hindi","Module 1: Buddha, Summertime, You Been on My Mind, mint","mint","https://www.youtube.com/watch?v=FHv_fuoUbCw"
12135,"Library Science","Public Library Commute","","12th","English/Hindi","Module 2: Moonlight, California (feat. Healy), All Day, 2000","Moonlight","https://www.youtube.com/watch?v=cPQQf2oLEIQ"
12136,"Library Science","Public Library Commute","","12th","English/Hindi","Module 2: Moonlight, California (feat. Healy), All Day, 2000","California (feat. Healy)","https://www.youtube.com/watch?v=q899R_Wk_2g"
12137,"Library Science","Public Library Commute","","12th","English/Hindi","Module 2: Moonlight, California (feat. Healy), All Day, 2000","All Day","https://www.youtube.com/watch?v=qaJ3wkPEnic"
12138,"Library Science","Public Library Commute","","12th","English/Hindi","Module 2: Moonlight, California (feat. Healy), All Day, 2000","2000","https://www.youtube.com/watch?v=FxxwYIfIba4"
12139,"Library Science","Public Library Commute","","12th","English/Hindi","Module 3: When I Walk Out, Squid, time moves slow, exposition","When I Walk Out","https://www.youtube.com/watch?v=53h5OPNoREY"
12140,"Library Science","Public Library Commute","","12th","English/Hindi","Module 3: When I Walk Out, Squid, time moves slow, exposition","Squid","https://www.youtube.com/watch?v=j1kNjqGeq7M"
12141,"Library Science","Public Library Commute","","12th","English/Hindi","Module 3: When I Walk Out, Squid, time moves slow, exposition","time moves slow","https://www.youtube.com/watch?v=Jc1e3w2cUYY"
12142,"Library Science","Public Library Commute","","12th","English/Hindi","Module 3: When I Walk Out, Squid, time moves slow, exposition","exposition","https://www.youtube.com/watch?v=2zABLlz8lEQ"
12143,"Library Science","Public Library Commute","","12th","English/Hindi","Module 4: 2 Far, August, old now, Fake Hawaii","2 Far","https://www.youtube.com/watch?v=ePw1UUQDcR0"
12144,"Library Science","Public Library Commute","","12th","English/Hindi","Module 4: 2 Far, August, old now, Fake Hawaii","August","https://www.youtube.com/watch?v=S9Fwn4-HQkk"
12145,"Library Science","Public Library Commute","","12th","English/Hindi","Module 4: 2 Far, August, old now, Fake Hawaii","old now","https://www.youtube.com/watch?v=iXAcFetR2Ag"
