S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,School library playlist,11hrs 21min,12th,English/Hindi,"Module 1: TUNNEL VISION, FAERIE SOIRÉE, LEECHES",TUNNEL VISION,https://www.youtube.com/watch?v=xuhIFRdszbM
2,Library Science,School library playlist,,12th,English/Hindi,"Module 1: TUNNEL VISION, FAERIE SOIRÉE, LEECHES",FAERIE SOIRÉE,https://www.youtube.com/watch?v=z61w9HxJAb0
3,Library Science,School library playlist,,12th,English/Hindi,"Module 1: TUNNEL VISION, FAERIE SOIRÉE, LEECHES",LEECHES,https://www.youtube.com/watch?v=-K-AXrTLqPU
4,Library Science,School library playlist,,12th,English/Hindi,"Module 2: SPIDER WEB, BATTLE OF THE LARYNX, THE CONTORTIONIST",SPIDER WEB,https://www.youtube.com/watch?v=bf6hlhpsgsg
5,Library Science,School library playlist,,12th,English/Hindi,"Module 2: SPIDER WEB, BATTLE OF THE LARYNX, THE CONTORTIONIST",BATTLE OF THE LARYNX,https://www.youtube.com/watch?v=iW1djiqFzAk
6,Library Science,School library playlist,,12th,English/Hindi,"Module 2: SPIDER WEB, BATTLE OF THE LARYNX, THE CONTORTIONIST",THE CONTORTIONIST,https://www.youtube.com/watch?v=8Y3BXWkG-Bk
7,Library Science,School library playlist,,12th,English/Hindi,"Module 3: NYMPHOLOGY, Wilt, Party Anthem",NYMPHOLOGY,https://www.youtube.com/watch?v=kZtLeFs5fCA
8,Library Science,School library playlist,,12th,English/Hindi,"Module 3: NYMPHOLOGY, Wilt, Party Anthem",Wilt,https://www.youtube.com/watch?v=diJmLo_j1r0
9,Library Science,School library playlist,,12th,English/Hindi,"Module 3: NYMPHOLOGY, Wilt, Party Anthem",Party Anthem,https://www.youtube.com/watch?v=nmysYwK9_II
10,Library Science,School library playlist,,12th,English/Hindi,"Module 4: Doin' Time, California Dreamin', Melanie Martinez - Field Trip (Live from Can’t Wait Till I'm Out Of K-12 Virtual Tour) [HD]",Doin' Time,https://www.youtube.com/watch?v=5NAlXos329A
