S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,Special Library ..hwa,5hrs 5min,12th,English/Hindi,Module 1: Special Library(3),Special Library(3),https://www.youtube.com/watch?v=lQ5YotR54D0
2,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 1: Special Library(3),Special Library(4),https://www.youtube.com/watch?v=Q7BxbhpsLNM
3,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 1: Special Library(3),Special Library(5),https://www.youtube.com/watch?v=WXa_iEDPcdc
4,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 1: Special Library(3),Special Library(6),https://www.youtube.com/watch?v=or1a-kJqBpI
5,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 2: Special Library(8),Special Library(8),https://www.youtube.com/watch?v=mcogp8q6Ncs
6,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 2: Special Library(8),Special Library(1),https://www.youtube.com/watch?v=7-9O7Pw8kNQ
7,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 2: Special Library(8),Special Library(13),https://www.youtube.com/watch?v=B2N0CEHko9Y
8,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 2: Special Library(8),Special Library(12),https://www.youtube.com/watch?v=W5qd8yj_mEc
9,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 3: Special Library(10),Special Library(10),https://www.youtube.com/watch?v=ANy5DSiE_TE
10,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 3: Special Library(10),Special Library(15),https://www.youtube.com/watch?v=rpyHv--gAN0
11,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 3: Special Library(10),Special Library(11),https://www.youtube.com/watch?v=qqo9nRyU3yI
12,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 4: Special Library(14),Special Library(14),https://www.youtube.com/watch?v=JYbMDPOnJRU
13,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 4: Special Library(14),Special Library(16),https://www.youtube.com/watch?v=V7Ng7KkNUhg
14,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 4: Special Library(14),Special Library(7),https://www.youtube.com/watch?v=kjgTzM_30Jo
15,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 5: Special Library(9),Special Library(9),https://www.youtube.com/watch?v=Ha2ulqT5Caw
16,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 5: Special Library(9),Fu-Hwa Wang - Performance Engineering Project Manager Sun Studio Compiler Group,https://www.youtube.com/watch?v=1_vt9DPQG9Y
17,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 6: The Mighty Influence of a Praying Mom: Rhonwyn Kendrick’s Story,The Mighty Influence of a Praying Mom: Rhonwyn Kendrick’s Story,https://www.youtube.com/watch?v=CWvPqfXTvLE
18,Library Science,Special Library ..hwa,,12th,English/Hindi,Module 7: Embarrassing mom and her squeaky oven go viral to Usher's 'Yeah',Embarrassing mom and her squeaky oven go viral to Usher's 'Yeah',https://www.youtube.com/watch?v=IF5oortC1Zo
