S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Linguistics,Computational Linguistics I,58hrs 18min,12th,English/Hindi,Module 1: Introduction to Computational Linguistics,Computational Linguistics I: Python and Probability,https://www.youtube.com/watch?v=fdAC4ALCCLA
2,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 1: Introduction to Computational Linguistics,Computational Linguistics I: Morphology,https://www.youtube.com/watch?v=hNhI6-qM454
3,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 1: Introduction to Computational Linguistics,Computational Linguistics I: Language Models,https://www.youtube.com/watch?v=I_o0QHLuYo0
4,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 1: Introduction to Computational Linguistics,Computational Linguistics I: Lexical Semantics,https://www.youtube.com/watch?v=YjGJpfELzgY
5,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 2: Python and Probability,Computational Linguistics I: Topic Modeling,https://www.youtube.com/watch?v=4p9MSJy761Y
6,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 2: Python and Probability,Computational Linguistics I: Machine Translation (IBM Model 1),https://www.youtube.com/watch?v=nKqyU0bUKTQ
7,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 2: Python and Probability,Computational Linguistics I: Maximum Entropy,https://www.youtube.com/watch?v=XqgDtD_P75A
8,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 2: Python and Probability,Computational Linguistics I: Constituency Grammars,https://www.youtube.com/watch?v=sL_W_I8DpuU
9,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 3: Morphology,Computational Linguistics 1: Dependency Parsing,https://www.youtube.com/watch?v=du9VQaFEyeA
10,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 3: Morphology,Computational Linguistics I: Part of Speech Tagging,https://www.youtube.com/watch?v=F1ZgIS7pZNo
11,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 3: Morphology,Introduction to Computational Linguistics,https://www.youtube.com/watch?v=rwCwJB5UV0g
12,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 4: Language Models,Distributional and Distributed Semantics: Intro,https://www.youtube.com/watch?v=s0My5BReLJE
13,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 4: Language Models,Word Embedding Evaluation,https://www.youtube.com/watch?v=Jid_EVBoVLU
14,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 4: Language Models,Deep Averaging Networks: Example in Pytorch,https://www.youtube.com/watch?v=losFCNJbnZY
15,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 4: Language Models,Pytorch,https://www.youtube.com/watch?v=AZwwDIV2vcI
16,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 5: Lexical Semantics,Language Models: Backoff and Smoothing with the Chinese Restaurant Process,https://www.youtube.com/watch?v=4wa2WyDrgMA
17,Linguistics,Computational Linguistics I,,12th,English/Hindi,Module 5: Lexical Semantics,Deep Learning Frameworks: Computation Graphs,https://www.youtube.com/watch?v=FJQl0ujTAGw
