S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Linguistics,Corpus Linguistics for Beginners,18hrs 6min,12th,English/Hindi,Module 1: Introduction,#1 Introduction to Corpus Linguistics - What is Corpus Linguistics? (For Absolute Beginners),https://www.youtube.com/watch?v=ePD46YjYRzQ
2,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 1: Introduction,#2 Introduction to Corpus Linguistics - Types of Corpora,https://www.youtube.com/watch?v=GWVFWgRgeOA
3,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 1: Introduction,# 3 Introduction to Corpus Linguistics - Compiling and Analysing our First Corpus,https://www.youtube.com/watch?v=g6xJLqDeU7E
4,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 2: Corpus Analysis Techniques,#4 Introduction to Corpus Linguistics - Part-of-Speech Tagging and Working with Tagged Data.,https://www.youtube.com/watch?v=BZoXR7saE1s
5,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 2: Corpus Analysis Techniques,#5 Introduction to Corpus Linguistics - Rank Words that Belong to a Specific Word Class.,https://www.youtube.com/watch?v=e9_dPFeAsEI
6,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 2: Corpus Analysis Techniques,#6 Introduction to Corpus Linguistics - Look for Constructions in a Corpus.,https://www.youtube.com/watch?v=8jq8v6vF_rk
7,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 3: Applications and Advanced Topics,#7 Introduction to Corpus Linguistics - Searching with Regular Expressions (Regex),https://www.youtube.com/watch?v=cMLLe4qHHwk
8,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 3: Applications and Advanced Topics,#8 Now what? What can I do in Corpus Linguistics?,https://www.youtube.com/watch?v=LHXrVQOHP9M
9,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 3: Applications and Advanced Topics,Sociolinguistics and Corpus Linguistics - Compare a language across different regions and speakers.,https://www.youtube.com/watch?v=9s7cJY8EIrE
10,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 3: Applications and Advanced Topics,#10 Formulaic Language and Corpus Linguistics,https://www.youtube.com/watch?v=19nS-8wHdJY
11,Linguistics,Corpus Linguistics for Beginners,,12th,English/Hindi,Module 3: Applications and Advanced Topics,"Arabic Corpora, AntConc, and the Problem of the Concordance Lines",https://www.youtube.com/watch?v=3nSs9gUwT6Y
