S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Linguistics,Morphology,10hrs 45min,12th,English/Hindi,Module 1: Introduction to Morphology,What is morphology?,https://www.youtube.com/watch?v=TqAtAqGqU28
2,Linguistics,Morphology,,12th,English/Hindi,Module 1: Introduction to Morphology,Morphemes: How many? Free or bound?,https://www.youtube.com/watch?v=4JP5r3FklI8
3,Linguistics,Morphology,,12th,English/Hindi,Module 1: Introduction to Morphology,Morphology: Discreteness,https://www.youtube.com/watch?v=XarY3q9xjDQ
4,Linguistics,Morphology,,12th,English/Hindi,Module 1: Introduction to Morphology,Let's count us some morphemes! (Part 1),https://www.youtube.com/watch?v=lXWlg_98rtU
5,Linguistics,Morphology,,12th,English/Hindi,Module 2: Morphemes and Their Types,Let´s count us some morphemes! (Part 2: Etymeme),https://www.youtube.com/watch?v=9sg9Evgkr2Q
6,Linguistics,Morphology,,12th,English/Hindi,Module 2: Morphemes and Their Types,Let´s count us some berries (/morphemes)! (Part 3),https://www.youtube.com/watch?v=qpM7ms1L1nI
7,Linguistics,Morphology,,12th,English/Hindi,Module 2: Morphemes and Their Types,Let’s count us some morphemes)! (Part 4: Negative prefix),https://www.youtube.com/watch?v=76Ytu42QUP4
8,Linguistics,Morphology,,12th,English/Hindi,Module 2: Morphemes and Their Types,"Morphology: Linearity, hence Hierarchy",https://www.youtube.com/watch?v=RXG0JNU_UBY
9,Linguistics,Morphology,,12th,English/Hindi,Module 3: Morphological Processes,"Affix, Root, Stem, Base",https://www.youtube.com/watch?v=3X8Q4gPQPsI
10,Linguistics,Morphology,,12th,English/Hindi,Module 3: Morphological Processes,Morphological Rules,https://www.youtube.com/watch?v=5IiE8g_RgT0
11,Linguistics,Morphology,,12th,English/Hindi,Module 3: Morphological Processes,Fun facts about affixes (Part 1),https://www.youtube.com/watch?v=KYjjgkBdlO0
12,Linguistics,Morphology,,12th,English/Hindi,Module 3: Morphological Processes,Types of affix,https://www.youtube.com/watch?v=5XZ3yyRX1Sc
13,Linguistics,Morphology,,12th,English/Hindi,Module 4: Word Formation Processes,Some English Inflection,https://www.youtube.com/watch?v=TCHY51xDgq0
14,Linguistics,Morphology,,12th,English/Hindi,Module 4: Word Formation Processes,class chainging or  maintaining,https://www.youtube.com/watch?v=MXMYJA1XV0A
15,Linguistics,Morphology,,12th,English/Hindi,Module 4: Word Formation Processes,Prefix,https://www.youtube.com/watch?v=okHz3T5im4U
16,Linguistics,Morphology,,12th,English/Hindi,Module 4: Word Formation Processes,Suffix,https://www.youtube.com/watch?v=Sc8EfHmnmFM
17,Linguistics,Morphology,,12th,English/Hindi,Module 5: Advanced Morphology,Infix,https://www.youtube.com/watch?v=uS4ozIwtfHI
18,Linguistics,Morphology,,12th,English/Hindi,Module 5: Advanced Morphology,Interfix,https://www.youtube.com/watch?v=uNshsiiYLQY
19,Linguistics,Morphology,,12th,English/Hindi,Module 5: Advanced Morphology,Circumfix,https://www.youtube.com/watch?v=Ct581ZBqg-g
20,Linguistics,Morphology,,12th,English/Hindi,Module 5: Advanced Morphology,Transfix,https://www.youtube.com/watch?v=aLEi2zLy6Ko
21,Linguistics,Morphology,,12th,English/Hindi,"Module 6: Inflection, Derivation, and Compounding",Simulfix,https://www.youtube.com/watch?v=wC4LfuxMMZc
22,Linguistics,Morphology,,12th,English/Hindi,"Module 6: Inflection, Derivation, and Compounding",Duplifix,https://www.youtube.com/watch?v=ls5yFZtr0y4
23,Linguistics,Morphology,,12th,English/Hindi,"Module 6: Inflection, Derivation, and Compounding",Suprafix,https://www.youtube.com/watch?v=5cJBmCAJCik
24,Linguistics,Morphology,,12th,English/Hindi,"Module 6: Inflection, Derivation, and Compounding",Disfix,https://www.youtube.com/watch?v=zdRy00bOUuM
25,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Morphology trees,https://www.youtube.com/watch?v=QVazAoJmGaM
26,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Morpheme vs. Word,https://www.youtube.com/watch?v=KNMbz0LlqSM
27,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Compound Words,https://www.youtube.com/watch?v=i13UDTuKmYo
28,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Compound Word: Head and Grammatical Category,https://www.youtube.com/watch?v=SaDYQs1pXqA
29,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Compound Adjectives,https://www.youtube.com/watch?v=WMF21fJApsI
30,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Verb+Noun Compounds,https://www.youtube.com/watch?v=bUXy-B3Vv08
31,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Compound Word: Endocentric vs. Exocentric,https://www.youtube.com/watch?v=PrFoV1DjsRY
32,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Derivational Morphemes,https://www.youtube.com/watch?v=9Ap8AFUXG04
33,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Compounding,https://www.youtube.com/watch?v=r27dcrWco90
34,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Conversion (Zero Derivation),https://www.youtube.com/watch?v=Sx4CYIAhhd4
35,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Blending,https://www.youtube.com/watch?v=SdGsvRIEjxI
36,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word formation: Suppletion,https://www.youtube.com/watch?v=oGxvF4wCm7w
37,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Reduplication,https://www.youtube.com/watch?v=ow2vu6x2OlM
38,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Acronym+,https://www.youtube.com/watch?v=t_Bd97cHm_8
39,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Borrowing,https://www.youtube.com/watch?v=xXFAfT7qJ3U
40,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Pseudo-Anglicism,https://www.youtube.com/watch?v=4ufoPTgPq5I
41,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Let's analyze some words!,https://www.youtube.com/watch?v=tZGfHi6fhQ0
42,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Word Formation: Coinage,https://www.youtube.com/watch?v=Xt15pm-8xEE
43,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology","Conjugation, Declension, Inflection",https://www.youtube.com/watch?v=PEWA1qxt2Do
44,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",What is Case?,https://www.youtube.com/watch?v=Dku8JTSuFQw
45,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",Plurals in English,https://www.youtube.com/watch?v=cU8BxImoDMY
46,Linguistics,Morphology,,12th,English/Hindi,"Module 7: Case, Plurals, and Sounds in Morphology",What is a Vowel or a Consonant?,https://www.youtube.com/watch?v=5vF0QUWag9k
