"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
10709,"Marketing","Advertising Management - Dwivedi Guidance","22hrs 18min","12th","English/Hindi","Module 1: Advertising Budget & Management","advertising budget, advertising management, advertising management bba 3rd semester, process, mba","https://www.youtube.com/watch?v=OYH4BB6yO_E"
10710,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 1: Advertising Management BBA 3rd Semester","advertising agency, advertising Management, advertising management bba 3rd semester, process, mba","https://www.youtube.com/watch?v=0-jSpfgtmJY"
10711,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 1: Advertising Management MBA","Copy writing, Advertising layout, Elements of Copy writing, advertisement management, ad copy","https://www.youtube.com/watch?v=G4XYcx1vRss"
10712,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 2: Advertising Agency & Process","advertising management, advertising management bba 3rd semester, advertising management mba, lu bba","https://www.youtube.com/watch?v=teQDiqxgg9w"
10713,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 2: Advertising Management BBA 3rd Semester","Appeals in Advertisement, Advertising appeals, advertising appeals types, advertising management","https://www.youtube.com/watch?v=3Y1btOg6VUs"
10714,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 2: Advertising Management MBA","AIDA Model, aida model advertising, aida model in marketing, aida marketing, advertising management","https://www.youtube.com/watch?v=bDHx3zW2w1E"
10715,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 3: Copywriting & Layout","Marketing Mix | Elements of Marketing Mix | marketing mix 4 p's | marketing mix class 12 | marketing","https://www.youtube.com/watch?v=2aHxvAL0qxQ"
10716,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 3: Elements of Copywriting & Ad Copy","4 p of marketing | four p of marketing | four p of marketing mix | 4 p of marketing mix | marketing","https://www.youtube.com/watch?v=sEs4kjjO87s"
10717,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 4: Appeals in Advertising & AIDA Model","Promotion Mix advertising, promotion mix elements, promotion mix in Marketing,advertising management","https://www.youtube.com/watch?v=COn5kJ8lYVY"
10718,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 5: Marketing Mix & 4 P's","Outdoor Media, Outdoor media Advertising, type of outdoor media advertising, advertising management","https://www.youtube.com/watch?v=kUSqBbfKU8Y"
10719,"Marketing","Advertising Management - Dwivedi Guidance","","12th","English/Hindi","Module 6: Promotion Mix & Outdoor Media","Role of Advertising in Social and Economic Development in India, Advertising Management, BBA, Bcom","https://www.youtube.com/watch?v=bWb5ivm3e5Q"
