"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
10821,"Marketing","IBO-02 || International Marketing Management","102hrs 11min","12th","English/Hindi","Module 1: Introduction to International Marketing","Unit -1 || International Marketing : Basic Concepts || IBO2","https://www.youtube.com/watch?v=RZEmdLcA7uk"
10822,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 1: International Marketing Orientation","Unit-2 || International Marketing Orientation & Involvement","https://www.youtube.com/watch?v=QWj2-S6kG90"
10823,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 1: Analyzing the Global Marketplace","Unit-3 || Analysis International Marketing Environment","https://www.youtube.com/watch?v=qb42GMPWcJA"
10824,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 1: Segmenting and Targeting International Markets","Unit-4 || International Market Segmentation","https://www.youtube.com/watch?v=CWfQBalfkVA"
10825,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 2: Entering Foreign Markets","Unit-5 || Foreign Market selection || IBO2 || ScoreMax","https://www.youtube.com/watch?v=j48tCDQ_kEw"
10826,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 2: Developing International Products","Unit-6 || International Marketing Entry Decisions","https://www.youtube.com/watch?v=YKxVIQLgW7U"
10827,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 2: Global Branding and Packaging","Unit-7 || International Product planning || IBO-2 || M.com","https://www.youtube.com/watch?v=q7WGGGTticY"
10828,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 3: International Pricing Strategies","Unit-8 || International Branding, Packing & Other Decisions","https://www.youtube.com/watch?v=r6VJfnwenEw"
10829,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 3: Global Distribution Channels","Unit-9 || International Pricing || IBO2 || IGNOU","https://www.youtube.com/watch?v=XuYnzGQJwWs"
10830,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 3: International Marketing Communications","Unit - 10 || International Distribution || IBO-2 || SCOREMAX || IGNOU","https://www.youtube.com/watch?v=A1bERNj4Q2E"
10831,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 4: International Advertising Campaigns","Unit-11 || International Marketing Communucation || IBO-2 || Scoremax+","https://www.youtube.com/watch?v=L1YG_GEU3FM"
10832,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 4: Personal Selling and Sales Promotion","Unit-12 || International Advertising || IBO-2 || Scoremax+","https://www.youtube.com/watch?v=zvR3RNrZCsI"
10833,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 4: Planning and Organizing for International Success","Unit-13 || Personal Selling, Publicity & Sales Promotion || IBO-2 || Scoremax+","https://www.youtube.com/watch?v=tRJwZ8upcg4"
10834,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 5: Marketing Services Globally","Unit-14 || International Marketing Planning, Organising & Control","https://www.youtube.com/watch?v=P4_dwP5WPIM"
10835,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 5: Trends and Issues in International Marketing","Unit-15 || International Marketing of Services","https://www.youtube.com/watch?v=ecjjgkgG_xY"
10836,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 5: Introduction to International Market Research","Unit-16 || Emerging Trends & Issues In International Marketing || IBO-2 || Scoremax+","https://www.youtube.com/watch?v=o2n_d0qpbf8"
10837,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 6: Data Collection for Global Insights","Unit-17 || Introduction To International Market Research || IBO-2 || Scoremax+","https://www.youtube.com/watch?v=tQ2Nm-IbYcE"
10838,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 6: Data Analysis and Report Writing","Unit-18 || Data Collection || IBO-2 || Scoremax+","https://www.youtube.com/watch?v=Umd1oRILI9Y"
10839,"Marketing","IBO-02 || International Marketing Management","","12th","English/Hindi","Module 6: Case Studies in International Marketing","Unit-19 || Data Analysis & Report Writing || IBO-2 || Scoremax+","https://www.youtube.com/watch?v=-8dFPITXaIc"
