Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
9747,Mathematics,Differential Equations,24hrs 16min,12th,English/Hindi,Module 1: Introduction to Ordinary Differential Equations,Introduction to Ordinary Differential Equations,https://www.youtube.com/watch?v=5UqNZZx8e_A
9748,Mathematics,Differential Equations,,12th,English/Hindi,Module 1: Directly Integrable Differential Equations,Directly Integrable Differential Equations,https://www.youtube.com/watch?v=F9bche3KH3E
9749,Mathematics,Differential Equations,,12th,English/Hindi,Module 2: Separable Differential Equations (Introduction),Separable Differential Equations (Introduction),https://www.youtube.com/watch?v=irtzsCr6k8M
9750,Mathematics,Differential Equations,,12th,English/Hindi,Module 2: Separable Differential Equations (Examples),Separable Differential Equations (Examples),https://www.youtube.com/watch?v=RvQMacjlolw
9751,Mathematics,Differential Equations,,12th,English/Hindi,Module 2: Separable Differential Equations (Initial-Value Problem Examples),Separable Differential Equations (Initial-Value Problem Examples),https://www.youtube.com/watch?v=mVEaIqJ8Plg
9752,Mathematics,Differential Equations,,12th,English/Hindi,Module 3: Exponential Change (Separable Differential Equations),Exponential Change (Separable Differential Equations),https://www.youtube.com/watch?v=8jix8zeq6Kg
9753,Mathematics,Differential Equations,,12th,English/Hindi,Module 3: Logistic Growth (Separable Differential Equations),Logistic Growth (Separable Differential Equations),https://www.youtube.com/watch?v=sKTmI7PQdzo
9754,Mathematics,Differential Equations,,12th,English/Hindi,Module 3: Newton's Law of Cooling (Separable Differential Equations),Newton's Law of Cooling (Separable Differential Equations),https://www.youtube.com/watch?v=VvVeTpfMiiM
9755,Mathematics,Differential Equations,,12th,English/Hindi,Module 4: First-Order Linear Differential Equations & Integrating Factors (Introduction),First-Order Linear Differential Equations & Integrating Factors (Introduction),https://www.youtube.com/watch?v=NLYpSMpSuMg
9756,Mathematics,Differential Equations,,12th,English/Hindi,Module 4: First-Order Linear Differential Equations (Examples),First-Order Linear Differential Equations (Examples),https://www.youtube.com/watch?v=8Yso2JXuMYE
9757,Mathematics,Differential Equations,,12th,English/Hindi,Module 4: Linear First-Order Equations (Initial-Value Problem Examples),Linear First-Order Equations (Initial-Value Problem Examples),https://www.youtube.com/watch?v=ZY4yNsoRHjE
9758,Mathematics,Differential Equations,,12th,English/Hindi,Module 5: Newton's Law of Cooling (First-Order Linear Differential Equation),Newton's Law of Cooling (First-Order Linear Differential Equation),https://www.youtube.com/watch?v=3MJ8c1dbkOE
9759,Mathematics,Differential Equations,,12th,English/Hindi,Module 5: Mixture/Concentration Example (Linear 1st-Order Differential Equation),Mixture/Concentration Example (Linear 1st-Order Differential Equation),https://www.youtube.com/watch?v=EZ2kp-RnPTg
9760,Mathematics,Differential Equations,,12th,English/Hindi,Module 5: RL Series Circuit (Linear First-Order Differential Equation),RL Series Circuit (Linear First-Order Differential Equation),https://www.youtube.com/watch?v=zsOQ4lbeiWI
9761,Mathematics,Differential Equations,,12th,English/Hindi,Module 6: Homogeneous First-Order Differential Equations (Introduction),Homogeneous First-Order Differential Equations (Introduction),https://www.youtube.com/watch?v=Wyhg1h_EGfQ
9762,Mathematics,Differential Equations,,12th,English/Hindi,Module 6: Homogeneous First-Order Differential Equations (Examples),Homogeneous First-Order Differential Equations (Examples),https://www.youtube.com/watch?v=Go5hX8UvqiQ
9763,Mathematics,Differential Equations,,12th,English/Hindi,Module 7: Bernoulli First-Order Differential Equations (Introduction),Bernoulli First-Order Differential Equations (Introduction),https://www.youtube.com/watch?v=IZQa5jGMVS8
9764,Mathematics,Differential Equations,,12th,English/Hindi,Module 7: Bernoulli First-Order Differential Equations (Examples),Bernoulli First-Order Differential Equations (Examples),https://www.youtube.com/watch?v=xusz7nX56JU
9765,Mathematics,Differential Equations,,12th,English/Hindi,Module 8: Exact Differential Equations (First-Order Differential Equations),Exact Differential Equations (First-Order Differential Equations),https://www.youtube.com/watch?v=qpPoI9gFF0g
9766,Mathematics,Differential Equations,,12th,English/Hindi,Module 8: Slope Fields (First-Order Differential Equations),Slope Fields (First-Order Differential Equations),https://www.youtube.com/watch?v=dk6Ki8peaxA
9767,Mathematics,Differential Equations,,12th,English/Hindi,Module 9: Euler's Method (Numerical Solutions for Differential Equations),Euler's Method (Numerical Solutions for Differential Equations),https://www.youtube.com/watch?v=Atvaac3_NlM
9768,Mathematics,Differential Equations,,12th,English/Hindi,Module 9: Improved Euler's Method (Numerical Solutions for Differential Equations),Improved Euler's Method (Numerical Solutions for Differential Equations),https://www.youtube.com/watch?v=E1si7kdQUew
9769,Mathematics,Differential Equations,,12th,English/Hindi,Module 10: Second-Order Differential Equations (Introduction),Second-Order Differential Equations (Introduction),https://www.youtube.com/watch?v=-Ox2m-X88Yg
9770,Mathematics,Differential Equations,,12th,English/Hindi,Module 10: Reduction of Order (Introduction),Reduction of Order (Introduction),https://www.youtube.com/watch?v=dtZjxolpzqM
