"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
2353,"Mechanical Engineering","Introduction to Materials Science and Engineering","31hrs 7min","12th","English/Hindi","Module 1: Introduction to Crystallography","1.1 Introduction","https://www.youtube.com/watch?v=KMcsjCXfLQw"
2354,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 1: Introduction to Crystallography","1.2 Crystal geometry","https://www.youtube.com/watch?v=KilQCJNucUw"
2355,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 1: Introduction to Crystallography","1.3 Unit cell","https://www.youtube.com/watch?v=ZmfxnA4H2MQ"
2356,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 1: Introduction to Crystallography","1.4 Classification of latices","https://www.youtube.com/watch?v=J8Bo9BHxesE"
2357,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 1: Introduction to Crystallography","1.5 Gaps in Bravais lattices","https://www.youtube.com/watch?v=Qz8QbRUdO8s"
2358,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 2: Symmetry in Crystallography","Symmetry I","https://www.youtube.com/watch?v=6w4jjiC_vTc"
2359,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 2: Symmetry in Crystallography","Symmetry II","https://www.youtube.com/watch?v=46M4EBoZMvk"
2360,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 2: Symmetry in Crystallography","Classification of lattices on the basis of symmetry","https://www.youtube.com/watch?v=n_5aAVB-xKA"
2361,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 2: Symmetry in Crystallography","A symmetry based approach to Bravais lattices","https://www.youtube.com/watch?v=5_FmJgp6sMQ"
2362,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 3: Miller Indices and Crystallographic Directions","Miller Indices of Directions","https://www.youtube.com/watch?v=mc-VocwArHY"
2363,"Mechanical Engineering","Introduction to Materials Science and Engineering","","12th","English/Hindi","Module 3: Miller Indices and Crystallographic Directions","Miller Indices for Planes","https://www.youtube.com/watch?v=1vsNxkdlcXw"
