Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
4114,Medicine,Anesthesiology,51hrs 18min,12th,English/Hindi,Module 1: Introduction to Anesthesiology,A Brief History of Anesthesiology | New Playlist 🤩,https://www.youtube.com/watch?v=FuYkXRmBO3g
4115,Medicine,Anesthesiology,,12th,English/Hindi,Module 1: Introduction to Anesthesiology,Basics of Anesthesia  -  An introduction to Anesthesiology,https://www.youtube.com/watch?v=ppap9UvbYBQ
4116,Medicine,Anesthesiology,,12th,English/Hindi,Module 1: Introduction to Anesthesiology,General Anesthetics Overview | Anesthesiology,https://www.youtube.com/watch?v=1HJuIne-BKg
4117,Medicine,Anesthesiology,,12th,English/Hindi,Module 1: Introduction to Anesthesiology,Pharmacokinetics - What your body does to the med - Quick Review - Pharmacology Series,https://www.youtube.com/watch?v=qvU3Ma_R9JE
4118,Medicine,Anesthesiology,,12th,English/Hindi,Module 2: Pharmacology in Anesthesiology,Pharmacodynamics - What the med does to your body - Quick Review - Pharmacology Lectures,https://www.youtube.com/watch?v=e2pM930x9xw
4119,Medicine,Anesthesiology,,12th,English/Hindi,Module 2: Pharmacology in Anesthesiology,Airway Management - Tracheal Intubation - Anesthesiology Series,https://www.youtube.com/watch?v=BS0v3-Aa_hM
4120,Medicine,Anesthesiology,,12th,English/Hindi,Module 2: Pharmacology in Anesthesiology,Epidural Anesthesia & Spinal Anesthesia | Regional Anesthesia,https://www.youtube.com/watch?v=cpZuHAZj3gM
4121,Medicine,Anesthesiology,,12th,English/Hindi,Module 2: Pharmacology in Anesthesiology,Limb Block | Peripheral Nerve Block | Regional anesthesia,https://www.youtube.com/watch?v=RENSJNKYvyw
4122,Medicine,Anesthesiology,,12th,English/Hindi,Module 3: Airway Management & Regional Anesthesia,Local Anesthetics and Neuromuscular Blockers | Anesthesiology,https://www.youtube.com/watch?v=iRsL9D7AAs8
4123,Medicine,Anesthesiology,,12th,English/Hindi,Module 3: Airway Management & Regional Anesthesia,All Anesthesiology in 13 minutes - Anesthesiology - Quick Review,https://www.youtube.com/watch?v=ZYSbzPjwhWE
4124,Medicine,Anesthesiology,,12th,English/Hindi,Module 3: Airway Management & Regional Anesthesia,Cushing Reflex - Cushing Triad - Intracranial Hypertension - Emergency Medicine and EMS/ EMT,https://www.youtube.com/watch?v=zFyVG5flJPQ
4125,Medicine,Anesthesiology,,12th,English/Hindi,Module 4: CNS Pharmacology: Sedatives & Anesthetics,Do you want to (Join) my Youtube membership program? Member-only videos!,https://www.youtube.com/watch?v=vyR-Xxw_Whc
4126,Medicine,Anesthesiology,,12th,English/Hindi,Module 4: CNS Pharmacology: Sedatives & Anesthetics,01. Introduction to CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=P59Uqa1V4i4
4127,Medicine,Anesthesiology,,12th,English/Hindi,Module 4: CNS Pharmacology: Sedatives & Anesthetics,02. Benzodiazepines (Sedatives & Hypnotics) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=8TGi13ypG0A
4128,Medicine,Anesthesiology,,12th,English/Hindi,Module 5: CNS Pharmacology: Movement and Mood Disorders,03. Barbiturates (Sedatives & Hypnotics) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=G6t3AMcOyNY
4129,Medicine,Anesthesiology,,12th,English/Hindi,Module 5: CNS Pharmacology: Movement and Mood Disorders,04. Parkinson Drugs (part 1) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=5Ey5-yNVmfU
4130,Medicine,Anesthesiology,,12th,English/Hindi,Module 5: CNS Pharmacology: Movement and Mood Disorders,05. Parkinson's drugs (Part 2) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=4l03aJwqYx0
4131,Medicine,Anesthesiology,,12th,English/Hindi,"Module 6: CNS Pharmacology: Pain, Seizures & Alzheimer's",06. Antipsychotics (Part 1) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=Bt8KCxPMyHg
4132,Medicine,Anesthesiology,,12th,English/Hindi,"Module 6: CNS Pharmacology: Pain, Seizures & Alzheimer's",07. Antipsychotics (Part 2) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=syHBVenAj84
4133,Medicine,Anesthesiology,,12th,English/Hindi,"Module 6: CNS Pharmacology: Pain, Seizures & Alzheimer's",08. Antidepressants (part 1) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=XYHv2gGCB44
4134,Medicine,Anesthesiology,,12th,English/Hindi,Module 7: CNS Pharmacology: Anesthesia & Headaches,09. Antidepressants (Part 2)  | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=vVZAfe9Orio
4135,Medicine,Anesthesiology,,12th,English/Hindi,Module 7: CNS Pharmacology: Anesthesia & Headaches,10. Opiates (Morphine) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=hsISJDiBCY4
4136,Medicine,Anesthesiology,,12th,English/Hindi,Module 7: CNS Pharmacology: Anesthesia & Headaches,11. Antiepileptics (Seizure Medications) | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=hY5oBQTYAGU
4137,Medicine,Anesthesiology,,12th,English/Hindi,Module 8: CNS Pharmacology: Stimulants and Abuse,12. Alzheimer's Dementia Pharmacology | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=T-Pk9OOGwys
4138,Medicine,Anesthesiology,,12th,English/Hindi,Module 8: CNS Pharmacology: Stimulants and Abuse,13. Mania and Bipolar | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=L-4hHe-i0jw
4139,Medicine,Anesthesiology,,12th,English/Hindi,Module 8: CNS Pharmacology: Stimulants and Abuse,14. General Anesthetics | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=4pNzuIVynsI
4140,Medicine,Anesthesiology,,12th,English/Hindi,Module 9: Special Topics in Anesthesiology,15. Local Anesthetics | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=WiZDITenhcQ
4141,Medicine,Anesthesiology,,12th,English/Hindi,Module 9: Special Topics in Anesthesiology,16. Headaches Types & Management | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=F2Ur2obHZ_Q
4142,Medicine,Anesthesiology,,12th,English/Hindi,Module 9: Special Topics in Anesthesiology,17. CNS stimulants Amphetamines for ADHD | CNS Pharmacology | Neuropharmacology Course,https://www.youtube.com/watch?v=Gf7h0HOwCSY
